frame,NOSE_x,NOSE_y,NOSE_distance,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_distance,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_distance,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_distance,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_distance,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_distance,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_distance,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_distance,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_distance,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_distance,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_distance,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_distance,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_distance,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_distance,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_distance,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_distance,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_distance,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_distance,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_distance,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_distance,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_distance,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_distance,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_distance,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_distance,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_distance,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_distance,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_distance,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_distance,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_distance,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_distance,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_distance,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_distance,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_distance,RIGHT_FOOT_INDEX_vis
0,-33.67968964576721,-531.95361328125,-177.7489013671875,0.9999998807907104,-17.375622510910034,-555.5423583984375,-174.83736991882324,0.9999998807907104,-15.2266366481781,-553.0499267578125,-168.10754013061523,0.9999998807907104,-15.735387325286865,-555.2186889648438,-169.31086921691895,0.9999998807907104,-28.37485957145691,-568.4345703125,-175.8467559814453,0.9999998807907104,-27.392181873321533,-567.0653686523438,-182.84969902038574,0.9999998807907104,-24.8177011013031,-555.3231201171875,-170.4968433380127,0.9999998807907104,36.42453145980835,-544.2675170898438,-122.50340366363525,0.9999998807907104,-39.56422662734985,-516.94140625,-90.60926914215088,0.9999990463256836,-9.357022404670715,-521.3465576171875,-152.22160148620605,0.9999983310699463,-29.1709885597229,-490.7198486328125,-157.3220386505127,0.9999971389770508,20.325550317764282,-388.6475524902344,-98.00589179992676,0.9999980926513672,2.8683119416236877,-471.39984130859375,58.49832630157471,0.9999374151229858,68.86939001083374,-161.87350463867188,-133.74912929534912,0.9934201836585999,-10.451363682746887,-164.97933959960938,57.57741451263428,0.03072153776884079,119.04998874664307,83.38355255126953,-94.04574966430664,0.981411874294281,-95.1064453125,-36.296478271484375,33.75463271141052,0.21580593287944794,132.6827688217163,113.90106964111328,-92.44212341308594,0.9595682621002197,-99.43672370910645,-27.753379821777344,23.28349256515503,0.2685585021972656,119.63236713409424,145.06629943847656,-99.82246398925781,0.9645141363143921,-102.54442977905273,-53.88208770751953,6.5051674246788025,0.28333210945129395,121.59462833404541,122.65999603271484,-96.65470218658447,0.9583325982093811,-99.658278465271,-41.803462982177734,20.87453842163086,0.2920265793800354,-3.302793860435486,4.465098857879639,-32.08954310417175,0.9998741149902344,5.7182974219322205,-7.223955154418945,32.99280381202698,0.99977046251297,-68.69064331054688,408.4024963378906,-54.68048286437988,0.8386014103889465,7.035674571990967,360.3055419921875,31.807031393051147,0.18741056323051453,-66.41230201721191,796.0010375976562,-23.91697669029236,0.7752429842948914,-19.281471490859985,823.2955322265625,51.802738666534424,0.4573041498661041,-79.01282215118408,838.9155883789062,-17.127697348594666,0.7470537424087524,-25.33139991760254,860.1232299804688,30.777191877365112,0.4413691461086273,-121.24447345733643,857.2218627929688,-25.01740550994873,0.8192195892333984,-65.92257785797119,866.6671752929688,14.944268703460693,0.5756843686103821
1,-34.548622369766235,-533.8954467773438,-171.8330898284912,0.9999998807907104,-18.30200171470642,-557.3258056640625,-171.0245475769043,0.9999998807907104,-16.015445351600647,-554.8355102539062,-164.25205993652344,0.9999998807907104,-16.446752071380615,-557.0175170898438,-165.3797378540039,0.9999998807907104,-28.561255931854248,-570.12939453125,-171.6836929321289,0.9999998807907104,-27.520859241485596,-568.7394409179688,-178.56401824951172,0.9999998807907104,-24.991602659225464,-557.0457763671875,-166.25830078125,0.9999998807907104,34.83069634437561,-544.9480590820312,-122.57974147796631,0.9999998807907104,-37.83962631225586,-518.30810546875,-89.68456363677979,0.9999989867210388,-10.238476753234863,-522.5135498046875,-148.7358455657959,0.9999983310699463,-29.227181911468506,-491.8658142089844,-153.28169631958008,0.999997079372406,19.96294355392456,-388.6369323730469,-99.76022815704346,0.999998152256012,3.7704697251319885,-472.20263671875,59.725507736206055,0.9999392032623291,69.61512994766235,-162.7542724609375,-135.7619276046753,0.9937847256660461,-10.566901445388794,-176.38661193847656,62.33479070663452,0.030507463961839676,117.2850866317749,83.7458724975586,-98.65615367889404,0.9821744561195374,-95.80578517913818,-46.407005310058594,34.59435296058655,0.2242458015680313,130.4742250442505,114.96199035644531,-96.73477363586426,0.9607685208320618,-99.57541751861572,-35.51747131347656,24.950373888015747,0.27914315462112427,117.59189701080322,145.06088256835938,-104.45347595214844,0.9655607342720032,-102.8878812789917,-61.0089225769043,7.224953234195709,0.29431959986686707,119.56094741821289,122.68904876708984,-101.2867784500122,0.9592869281768799,-100.51785564422607,-51.67043685913086,21.432270526885986,0.3021969497203827,-3.9642182886600494,4.118974685668945,-32.6427047252655,0.9998639822006226,6.340332806110382,-6.972541332244873,33.46390700340271,0.9997556805610657,-66.27016639709473,397.3623352050781,-59.266918659210205,0.8274392485618591,18.559560298919678,358.4527893066406,30.625243663787842,0.18098390102386475,-47.62788677215576,765.4410400390625,-44.759347915649414,0.7611240148544312,-1.2260126620531082,821.9191284179688,44.84830284118652,0.441043496131897,-57.933852195739746,806.5384521484375,-40.365838050842285,0.7414906024932861,-6.961057662963867,858.5286865234375,22.9395968914032,0.4339839220046997,-99.04749011993408,817.8427124023438,-51.610018730163574,0.8092687726020813,-41.99985694885254,864.904296875,6.469523549079895,0.5596121549606323
2,-36.155057430267334,-536.0848388671875,-172.93302726745605,0.9999998807907104,-19.577089548110962,-559.1747436523438,-172.06706428527832,0.9999998807907104,-17.174609184265137,-556.776611328125,-165.2552146911621,0.9999998807907104,-17.614325165748596,-558.8074340820312,-166.28883934020996,0.9999998807907104,-29.772228240966797,-572.112060546875,-172.69939613342285,0.9999998807907104,-28.791844367980957,-570.7948608398438,-179.46956634521484,0.9999998807907104,-26.232722997665405,-558.9161376953125,-167.25268363952637,0.9999998807907104,33.787201166152954,-546.9495239257812,-123.15469551086426,0.9999998807907104,-39.31476831436157,-523.4437255859375,-90.12946701049805,0.9999989867210388,-11.448837518692017,-524.5599975585938,-149.5949764251709,0.9999984502792358,-30.464341163635254,-494.56036376953125,-154.21318244934082,0.9999972581863403,21.276983499526978,-389.24481201171875,-99.87309551239014,0.9999982118606567,-5.579539775848389,-478.4355163574219,59.73801326751709,0.999943733215332,69.80834770202637,-162.8275146484375,-135.735182762146,0.994152843952179,-31.55496382713318,-187.89122009277344,63.976633071899414,0.0451139435172081,116.72952175140381,83.77890014648438,-102.32322692871094,0.9833179712295532,-127.24471664428711,-53.86050033569336,34.450384855270386,0.28918781876564026,130.01427555084229,115.05231475830078,-100.83257961273193,0.9630482196807861,-134.68878650665283,-41.146419525146484,24.75025963783264,0.339317262172699,117.02532005310059,144.0884246826172,-110.03465938568115,0.9676117897033691,-135.64058017730713,-64.8811264038086,5.626069128513336,0.35425883531570435,118.74668025970459,122.53141784667969,-105.75024032592773,0.9615656137466431,-132.11432075500488,-57.254329681396484,20.921749591827393,0.3599782884120941,-2.709755837917328,3.949059247970581,-33.12856650352478,0.9998451471328735,5.038050055503845,-6.881483554840088,33.896214723587036,0.9997414350509644,-66.3017692565918,387.3935546875,-63.72797727584839,0.8155708909034729,18.125986576080322,357.3330078125,30.812129259109497,0.1757258027791977,-40.472551345825195,756.8604736328125,-44.49123001098633,0.7440423369407654,-0.8593070805072784,820.335693359375,45.26659870147705,0.4264133870601654,-49.67833471298218,797.9662475585938,-39.63937997817993,0.7312322854995728,-6.6377522349357605,856.64990234375,23.42984890937805,0.42696303129196167,-93.49400424957275,807.9609375,-51.29811429977417,0.8010795712471008,-42.82959508895874,861.3740234375,6.988444089889526,0.5490122437477112
3,-37.57299327850342,-544.3753051757812,-170.919095993042,0.9999998807907104,-20.63773798942566,-566.780517578125,-168.79075241088867,0.9999998807907104,-18.174654722213745,-564.8975830078125,-161.93109512329102,0.9999998807907104,-18.70985198020935,-566.26123046875,-162.9034194946289,0.9999998807907104,-31.0680935382843,-580.483154296875,-169.5483798980713,0.9999998807907104,-30.305286169052124,-579.3573608398438,-176.05535888671875,0.9999998807907104,-27.640666007995605,-566.96044921875,-164.22203636169434,0.9999998807907104,32.920783281326294,-553.0679931640625,-116.31884765625,0.9999998807907104,-43.373727321624756,-535.2940673828125,-85.29385185241699,0.9999989867210388,-12.559386849403381,-532.4134521484375,-146.37256622314453,0.9999984502792358,-32.41119146347046,-503.4963684082031,-151.34894371032715,0.9999973773956299,24.171374559402466,-391.5133972167969,-91.39896297454834,0.999998152256012,-21.230735778808594,-489.91339111328125,65.16089487075806,0.9999483227729797,69.65546178817749,-164.01634216308594,-120.37492275238037,0.9938953518867493,-63.738555908203125,-204.9786376953125,72.39940452575684,0.07174760103225708,115.63059711456299,79.18416595458984,-84.2841911315918,0.9825043678283691,-166.45335960388184,-63.66205978393555,38.21137619018555,0.3536871671676636,128.87601470947266,108.64802551269531,-80.63944244384766,0.9611847400665283,-177.0043544769287,-50.06637954711914,27.919772386550903,0.398228257894516,116.88999938964844,131.53887939453125,-91.07399082183838,0.9661792516708374,-174.44543266296387,-72.03080749511719,7.691934406757355,0.4126169681549072,117.9768648147583,115.23957061767578,-88.53456115722656,0.9599435329437256,-170.90091705322266,-65.35872650146484,24.20767879486084,0.41668426990509033,0.9273122102022171,3.9177348613739014,-33.93416476249695,0.999825656414032,1.3042996376752853,-6.8706817626953125,34.6896550655365,0.9997376799583435,-75.70555114746094,384.8534851074219,-71.34943771362305,0.7915579676628113,16.28015685081482,357.34423828125,32.88265514373779,0.16491883993148804,-39.828168869018555,753.53271484375,-42.70521783828735,0.7048120498657227,-2.4420308768749237,815.7824096679688,54.39436626434326,0.40013784170150757,-47.827919483184814,794.0626831054688,-38.20966386795044,0.7003558874130249,-8.34097158908844,851.4234619140625,33.82161068916321,0.40625572204589844,-94.6567268371582,807.1888427734375,-50.54523754119873,0.7749989628791809,-44.774741649627686,852.3250732421875,15.963284969329834,0.5246661305427551
4,-37.68847417831421,-554.4539184570312,-167.66939163208008,0.9999998807907104,-20.762986421585083,-576.750732421875,-164.1760482788086,0.9999998807907104,-18.274744033813477,-575.3506469726562,-157.30530166625977,0.9999998807907104,-18.845760583877563,-576.1946411132812,-158.35095977783203,0.9999998807907104,-31.512145042419434,-590.2116088867188,-165.37108612060547,0.9999998807907104,-30.86954355239868,-589.1488647460938,-171.62944793701172,0.9999998807907104,-28.135387659072876,-576.3457641601562,-160.1597557067871,0.9999998807907104,32.8477520942688,-564.2329711914062,-108.24723529815674,0.9999998807907104,-46.5911808013916,-546.3046875,-79.25456428527832,0.9999990463256836,-12.552786469459534,-542.9465942382812,-141.8064250946045,0.9999985098838806,-32.75794744491577,-513.530029296875,-147.25682830810547,0.9999975562095642,28.024299144744873,-397.22149658203125,-84.69786930084229,0.9999980926513672,-29.851162433624268,-499.4654235839844,72.50138854980469,0.9999529123306274,68.61130142211914,-165.6256866455078,-113.97062301635742,0.9934403300285339,-84.60750675201416,-220.4091339111328,86.64317035675049,0.11399538069963455,111.09240245819092,75.22773742675781,-78.85023307800293,0.9810730814933777,-192.11949920654297,-74.16435241699219,53.63243007659912,0.4156661331653595,123.82891273498535,105.37953186035156,-74.35702228546143,0.9582585692405701,-203.4931983947754,-57.930301666259766,43.89950466156006,0.4551795423030853,113.67861843109131,125.8985824584961,-84.85319709777832,0.9638158082962036,-198.75088119506836,-77.73284912109375,22.4561984539032,0.46858644485473633,113.70906257629395,109.86518859863281,-83.20511054992676,0.9572395086288452,-195.93292236328125,-74.17549133300781,39.49761343002319,0.47162744402885437,4.53671407699585,3.908813714981079,-35.47572898864746,0.9998039603233337,-2.2615512013435364,-6.869282245635986,36.11886262893677,0.9997367858886719,-82.03208827972412,378.83599853515625,-80.12272453308105,0.7697226405143738,13.725892424583435,355.53643798828125,34.05296087265015,0.15525303781032562,-37.564247131347656,748.7706298828125,-44.47388792037964,0.6692361235618591,-2.810999035835266,806.9002075195312,60.213111877441406,0.3751237988471985,-44.41625261306763,789.3994750976562,-38.76861906051636,0.6717583537101746,-8.912565350532532,842.2446899414062,40.43274736404419,0.38704177737236023,-92.90155792236328,808.0028686523438,-47.71271753311157,0.7509158849716187,-45.84774112701416,845.4616088867188,25.067659378051758,0.5003805756568909
5,-38.054022789001465,-562.968505859375,-166.3827724456787,0.9999998807907104,-21.04177951812744,-584.4378662109375,-162.44194221496582,0.9999998807907104,-18.539312839508057,-583.5677490234375,-155.57435417175293,0.9999998807907104,-19.17654776573181,-583.7897338867188,-156.6503963470459,0.9999998807907104,-32.179924964904785,-598.5839233398438,-163.91428184509277,0.9999998807907104,-31.690900325775146,-597.5289916992188,-170.0277099609375,0.9999998807907104,-28.876649379730225,-584.4364013671875,-158.79137420654297,0.9999998807907104,32.221203088760376,-570.60498046875,-104.92319297790527,0.9999998807907104,-49.69777965545654,-555.4497680664062,-77.65312671661377,0.9999991059303284,-12.921909928321838,-551.2814331054688,-139.93713569641113,0.9999985098838806,-33.6788055896759,-522.5201416015625,-145.75025939941406,0.9999976754188538,28.24603843688965,-403.0788879394531,-83.67783164978027,0.9999979138374329,-38.910866260528564,-506.5122985839844,75.38837242126465,0.9999569654464722,64.85471963882446,-174.11842346191406,-114.25352954864502,0.9919166564941406,-98.37911796569824,-226.39797973632812,91.29733085632324,0.14903289079666138,96.06368923187256,59.82078552246094,-79.42662048339844,0.9764721989631653,-212.11724281311035,-76.29718780517578,57.928221702575684,0.47122907638549805,106.05848407745361,92.02210998535156,-74.93746948242188,0.9501950740814209,-225.19459533691406,-58.96025848388672,48.709919929504395,0.5061807036399841,95.35699367523193,110.56485748291016,-84.83647727966309,0.95693039894104,-220.35338401794434,-77.5082778930664,27.383663177490234,0.5187583565711975,97.8367109298706,93.32962036132812,-83.49286651611328,0.9494326114654541,-216.3888988494873,-75.58406829833984,44.03962326049805,0.5207633376121521,6.790726125240326,3.8498592376708984,-37.32872772216797,0.9997865557670593,-4.420496374368668,-6.816738605499268,37.90842819213867,0.9997382760047913,-92.4422435760498,369.7273254394531,-89.83123970031738,0.7429333925247192,9.467124938964844,355.7936096191406,35.47591996192932,0.14380377531051636,-38.93934917449951,742.7377319335938,-46.35780715942383,0.6328778862953186,-5.628499209880829,802.668701171875,70.78004550933838,0.3490712642669678,-45.37496852874756,783.7650146484375,-39.5810923576355,0.640662670135498,-11.364955186843872,837.6077880859375,52.38347339630127,0.36527442932128906,-94.93699836730957,810.6507568359375,-45.99891471862793,0.7261069416999817,-50.92657470703125,843.2335205078125,39.15099048614502,0.473827600479126
6,-37.984259605407715,-570.20166015625,-153.3387222290039,0.9999998807907104,-21.028992891311646,-591.5497436523438,-147.87654304504395,0.9999998211860657,-18.52393412590027,-591.2299194335938,-141.15523624420166,0.9999998211860657,-19.164600133895874,-590.7900390625,-142.27450275421143,0.9999998211860657,-32.27339029312134,-605.3329467773438,-150.48145294189453,0.9999998807907104,-31.838687896728516,-604.4281616210938,-156.3940200805664,0.9999998807907104,-28.98094654083252,-591.2019653320312,-145.56325149536133,0.9999998807907104,31.754902124404907,-577.6364135742188,-89.00654411315918,0.9999997615814209,-52.51712465286255,-561.339111328125,-65.71189785003662,0.9999990463256836,-12.906646013259888,-558.4227294921875,-125.99689292907715,0.9999982118606567,-33.85632276535034,-529.0579223632812,-133.09345149993896,0.9999975562095642,29.742582321166992,-409.65472412109375,-73.1257381439209,0.9999974370002747,-47.623595237731934,-508.7905578613281,83.91403770446777,0.9999604821205139,64.97400283813477,-185.81927490234375,-107.03024196624756,0.9860605001449585,-110.02836799621582,-223.35939025878906,100.25354862213135,0.17802952229976654,86.77119541168213,41.65351486206055,-72.73339748382568,0.9553235769271851,-233.36701583862305,-75.39924621582031,66.09613180160522,0.521216094493866,94.10740184783936,76.239990234375,-67.1219072341919,0.920508086681366,-248.71192932128906,-53.57872009277344,57.59388542175293,0.5521213412284851,82.48410701751709,91.45524597167969,-75.64219093322754,0.9299260377883911,-244.4424877166748,-68.57202911376953,36.2179799079895,0.5639278292655945,87.60221672058105,73.2296371459961,-76.2694845199585,0.9211190342903137,-238.59710884094238,-72.14955139160156,52.29150152206421,0.5650164484977722,10.361900210380554,3.8734781742095947,-38.16253423690796,0.9997849464416504,-7.93414431810379,-6.848387718200684,38.7369647026062,0.9997507929801941,-95.80505561828613,371.5881652832031,-95.52342796325684,0.729088306427002,5.682076334953308,360.5274658203125,36.693928241729736,0.1356583684682846,-39.75260353088379,744.6736450195312,-52.00984811782837,0.6147496104240417,-14.12109124660492,802.4295654296875,72.53910255432129,0.33560481667518616,-45.738075256347656,786.1004028320312,-44.64249801635742,0.6222246289253235,-19.823230504989624,837.5081176757812,54.0434045791626,0.35289397835731506,-93.68528652191162,828.389404296875,-49.09189224243164,0.7160300016403198,-59.80549764633179,849.0512084960938,38.20993423461914,0.46213093400001526
7,-37.97419595718384,-569.4279174804688,-153.8580665588379,0.9999998807907104,-21.346139430999756,-591.430419921875,-149.96615982055664,0.9999998211860657,-18.89702081680298,-591.15185546875,-143.2421407699585,0.9999998211860657,-19.550891876220703,-590.68701171875,-144.2512435913086,0.9999998211860657,-33.019964933395386,-604.7830200195312,-151.1198959350586,0.9999998807907104,-32.70875358581543,-603.8331298828125,-156.75596809387207,0.9999998807907104,-29.755727291107178,-590.6123046875,-146.6246166229248,0.9999998807907104,27.697080373764038,-579.8508911132812,-93.71202278137207,0.9999997615814209,-57.97771167755127,-560.4575805664062,-69.284432888031,0.9999991059303284,-13.31988537311554,-558.51708984375,-128.09859466552734,0.9999983310699463,-34.63978958129883,-528.645751953125,-134.18891716003418,0.9999977350234985,29.649033308029175,-416.6388854980469,-75.66525363922119,0.9999974966049194,-61.54401111602783,-507.6527099609375,82.27848243713379,0.9999637007713318,69.50284194946289,-198.9154052734375,-109.65781116485596,0.986199676990509,-124.49773120880127,-220.62124633789062,97.36419582366943,0.22218959033489227,83.00472164154053,32.8553581237793,-75.8556432723999,0.9567175507545471,-244.59346389770508,-72.0591812133789,62.98890209197998,0.5661184787750244,87.1672010421753,72.2168960571289,-70.50776052474976,0.9218644499778748,-258.85387229919434,-45.713661193847656,53.70875930786133,0.5929809212684631,68.52175855636597,87.91228485107422,-78.78286457061768,0.9312089681625366,-254.24330520629883,-59.64158248901367,32.897902965545654,0.6041663289070129,80.77024841308594,65.66739654541016,-79.63291454315186,0.9220151305198669,-248.9374237060547,-66.70126342773438,49.009400367736816,0.6044294834136963,12.750479221343994,3.451362371444702,-38.3969464302063,0.9997833967208862,-10.246920347213745,-6.419344902038574,38.96005582809448,0.9997561573982239,-97.88605499267578,367.1182861328125,-94.73193168640137,0.718736469745636,-0.8879809007048607,365.1366882324219,37.72107267379761,0.1284397840499878,-39.66760969161987,743.9279174804688,-50.809754848480225,0.5963307619094849,-25.282884120941162,802.6387329101562,75.74565982818604,0.3209933936595917,-44.99630928039551,785.9183959960938,-44.32261562347412,0.6041094660758972,-31.130919456481934,837.702880859375,57.71563196182251,0.3407576382160187,-92.6674976348877,828.818359375,-47.652172565460205,0.7057979106903076,-73.25586605072021,851.603759765625,41.43352460861206,0.44911351799964905
8,-37.5225248336792,-570.3757934570312,-155.67086219787598,0.9999998807907104,-21.38392210006714,-592.7979736328125,-152.19770622253418,0.9999998211860657,-18.99335503578186,-592.6920166015625,-145.46090698242188,0.9999998211860657,-19.62317204475403,-592.1062622070312,-146.45003700256348,0.9999998211860657,-33.072531938552856,-605.1255493164062,-152.62217330932617,0.9999998807907104,-32.77598261833191,-604.1663818359375,-158.48016929626465,0.9999998807907104,-29.770936489105225,-590.7994995117188,-147.73878479003906,0.9999998807907104,23.879908561706543,-582.7839965820312,-96.33623600006104,0.9999997615814209,-59.316726207733154,-558.4066162109375,-74.98380088806152,0.9999991059303284,-13.31028950214386,-560.3942260742188,-129.9867925643921,0.9999983906745911,-34.607555866241455,-529.1415405273438,-134.7950792312622,0.9999978542327881,33.336684465408325,-420.65106201171875,-77.43994045257568,0.999997615814209,-68.90227603912354,-506.61468505859375,68.56088447570801,0.9999667406082153,75.82615184783936,-204.4601593017578,-108.4114637374878,0.9861974120140076,-128.34492015838623,-218.23875427246094,77.4254264831543,0.2773071825504303,84.0325698852539,33.48781967163086,-76.62443733215332,0.9586536288261414,-243.45873069763184,-59.65452194213867,48.755972385406494,0.6075713634490967,87.2658805847168,75.01140594482422,-71.55361604690552,0.9246045351028442,-257.3305835723877,-30.40398406982422,39.18635272979736,0.6309226155281067,66.7520112991333,91.97264099121094,-80.41043758392334,0.9337498545646667,-251.66938018798828,-45.100582122802734,19.471354722976685,0.6414074897766113,80.90824699401855,67.28996276855469,-80.51673889160156,0.9244934320449829,-247.1905632019043,-53.82398223876953,35.5088746547699,0.6411466598510742,16.065755009651184,3.165165424346924,-37.98324680328369,0.9997875690460205,-13.641212940216064,-6.168771743774414,38.56379699707031,0.9997652769088745,-95.43412971496582,366.5689392089844,-91.60983180999756,0.6988869309425354,-6.148997962474823,370.0559387207031,37.65190601348877,0.1214699074625969,-36.113378047943115,744.3842163085938,-38.01160955429077,0.5675022602081299,-32.733155250549316,803.1356201171875,79.74579906463623,0.30338338017463684,-40.77235794067383,786.4983520507812,-29.24561834335327,0.5743048191070557,-38.4767861366272,838.2776489257812,62.39048624038696,0.3234935700893402,-84.37848472595215,829.5121459960938,-33.367368936538696,0.6846774220466614,-81.42923069000244,853.3026123046875,45.99300527572632,0.4312104880809784
9,-37.50752592086792,-573.7671508789062,-179.38055992126465,0.9999998807907104,-21.70092272758484,-596.2941284179688,-174.3529930114746,0.9999998211860657,-19.467082500457764,-596.2141723632812,-167.4697494506836,0.9999998211860657,-20.065674304962158,-595.4542236328125,-168.8349895477295,0.9999998211860657,-33.557239294052124,-607.404052734375,-177.9415054321289,0.9999998807907104,-33.30231785774231,-606.4423217773438,-184.2026824951172,0.9999998807907104,-30.121477603912354,-592.9317626953125,-173.31892204284668,0.9999998807907104,21.604865312576294,-586.500732421875,-115.85204029083252,0.9999997615814209,-60.59474515914917,-557.2828979492188,-102.24745559692383,0.9999991059303284,-13.42921006679535,-564.174560546875,-152.37805366516113,0.9999984502792358,-34.5940203666687,-531.8869018554688,-161.77864265441895,0.9999979734420776,39.54094076156616,-423.96612548828125,-86.46311473846436,0.9999976754188538,-75.48852825164795,-505.6199645996094,38.171833992004395,0.9999694228172302,80.85377883911133,-206.62521362304688,-109.71339511871338,0.9869183301925659,-131.3787260055542,-214.91415405273438,48.32361316680908,0.3414786756038666,86.62566089630127,31.322702407836914,-81.27680397033691,0.9619731903076172,-237.99953842163086,-46.09614944458008,22.096046447753906,0.6460177898406982,91.55609321594238,74.96223449707031,-76.56289672851562,0.9302544593811035,-250.17803764343262,-16.119056701660156,10.515620827674866,0.6665176749229431,72.0615406036377,91.31317138671875,-88.33260154724121,0.9387725591659546,-243.1112880706787,-33.29240036010742,-8.741919457912445,0.676163375377655,84.5967607498169,65.6392822265625,-86.4904260635376,0.9299549460411072,-240.33008193969727,-40.737979888916016,8.882800340652466,0.6756677627563477,20.497385501861572,3.137356996536255,-35.47557020187378,0.9997941255569458,-18.212872982025146,-6.149695873260498,36.106013774871826,0.9997751712799072,-92.22550392150879,367.8990478515625,-90.14164638519287,0.7033579349517822,-10.872062802314758,370.3572998046875,37.612247943878174,0.12564539909362793,-27.850075721740723,745.3628540039062,-23.39572262763977,0.5654261112213135,-36.30379343032837,801.9290771484375,89.80821132659912,0.305446594953537,-32.283979654312134,787.4584350585938,-13.663193106651306,0.5627549886703491,-42.099201679229736,837.3621215820312,73.92585182189941,0.32201117277145386,-72.18243312835693,832.728759765625,-21.156479358673096,0.6875685453414917,-86.79816341400146,852.9330444335938,57.304086685180664,0.43745937943458557
