frame,NOSE_x,NOSE_y,NOSE_distance,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_distance,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_distance,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_distance,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_distance,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_distance,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_distance,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_distance,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_distance,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_distance,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_distance,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_distance,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_distance,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_distance,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_distance,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_distance,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_distance,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_distance,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_distance,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_distance,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_distance,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_distance,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_distance,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_distance,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_distance,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_distance,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_distance,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_distance,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_distance,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_distance,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_distance,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_distance,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_distance,RIGHT_FOOT_INDEX_vis
0,-6.792369246482849,-647.8694458007812,-167.38505172729492,0.9999998807907104,10.876809239387512,-668.12451171875,-154.56563758850098,0.9999998807907104,12.143986701965332,-668.5794067382812,-148.76202392578125,0.9999997615814209,10.659865736961365,-669.5974731445312,-149.80503845214844,0.9999997615814209,-8.009037494659424,-680.9060668945312,-162.25441932678223,0.9999998807907104,-7.599437355995178,-681.1976318359375,-169.59860801696777,0.9999998807907104,-5.198485851287842,-668.4050903320312,-157.9203987121582,0.9999998807907104,64.95897817611694,-641.5528564453125,-75.99565029144287,0.9999998807907104,-49.95973491668701,-620.7351684570312,-71.75678157806396,0.9999996423721313,21.194759845733643,-626.5945434570312,-134.72818279266357,0.9999995231628418,-10.823985815048218,-600.7194213867188,-148.2458553314209,0.9999995231628418,91.98516082763672,-451.3936767578125,-12.266888737678528,0.9999858140945435,-73.99923706054688,-528.4099731445312,29.68638253211975,0.9999494552612305,131.9019069671631,-270.8068542480469,-53.46328783035278,0.9913926124572754,-113.92654037475586,-256.55731201171875,1.3545332551002502,0.9226521849632263,168.60836219787598,-287.1915283203125,-105.50570011138916,0.9932617545127869,-185.68451499938965,-279.0815734863281,-77.10086631774902,0.9722105860710144,176.30557250976562,-297.6465759277344,-115.2513198852539,0.991496741771698,-183.36782455444336,-291.06951904296875,-102.71888065338135,0.972892701625824,173.45997619628906,-330.5,-122.17114448547363,0.9923396110534668,-179.43655586242676,-355.0460510253906,-118.70670890808105,0.9751904606819153,171.12054061889648,-286.10211181640625,-112.43463134765625,0.990456759929657,-185.5902557373047,-302.8455505371094,-88.3403434753418,0.9756002426147461,58.66969585418701,3.3638815879821777,15.23562741279602,0.9993621706962585,-57.21018362045288,-6.897727012634277,-14.487985253334045,0.999350368976593,69.37222051620483,412.1296081542969,-27.24107050895691,0.6440420746803284,-35.64954900741577,289.9346618652344,-43.13408803939819,0.6658670902252197,65.41668748855591,681.4495239257812,77.46391296386719,0.06896958500146866,-47.97868537902832,627.8264770507812,61.32322025299072,0.1211889237165451,51.44437837600708,709.83837890625,91.80022144317627,0.07185126841068268,-48.93189096450806,653.7413330078125,49.41825485229492,0.11667530238628387,36.829193115234375,749.466064453125,91.45929336547852,0.057340025901794434,-46.12588405609131,679.4420166015625,51.95364189147949,0.07356374710798264
1,-6.823892712593079,-647.8571166992188,-162.10538291931152,0.999998927116394,10.352117657661438,-667.1109008789062,-151.91316032409668,0.9999976754188538,11.60157859325409,-667.522705078125,-146.51027297973633,0.999997615814209,10.02191948890686,-668.4369506835938,-147.09440231323242,0.9999974966049194,-7.783815085887909,-679.981201171875,-158.68930435180664,0.9999984502792358,-7.228024363517761,-679.914794921875,-165.4387722015381,0.9999986290931702,-4.706652402877808,-667.0419311523438,-153.9745388031006,0.9999985098838806,62.508434772491455,-638.9599609375,-76.41435813903809,0.9999988079071045,-45.26116132736206,-619.4185180664062,-71.77346277236938,0.9999971985816956,20.678136348724365,-626.5970458984375,-130.3873815536499,0.9999977350234985,-10.230291724205017,-600.8298950195312,-144.06675910949707,0.999997615814209,93.17034530639648,-450.9728088378906,-9.944764137268066,0.9999772906303406,-73.9162130355835,-531.8247680664062,29.650636196136475,0.9999347925186157,132.18464183807373,-270.8118591308594,-42.89740991592407,0.9911198616027832,-106.50353336334229,-269.8576965332031,19.546031713485718,0.9235404133796692,165.83393669128418,-291.65020751953125,-87.5550012588501,0.9933741092681885,-175.28415298461914,-282.0385437011719,-41.7012734413147,0.9730538725852966,170.54162979125977,-308.9803161621094,-96.30701065063477,0.9916217923164368,-170.18098640441895,-296.5679626464844,-63.96050548553467,0.9735884666442871,168.51499557495117,-337.669921875,-102.47962760925293,0.9924525618553162,-168.91069221496582,-355.82757568359375,-77.30962371826172,0.9758620262145996,167.99532508850098,-289.9149475097656,-94.07109546661377,0.9905432462692261,-175.81472396850586,-305.1719970703125,-51.57252788543701,0.9760344624519348,58.70656871795654,4.287744045257568,15.34330415725708,0.9992315173149109,-57.25495719909668,-7.91813850402832,-14.665074348449707,0.9992344975471497,67.64428567886353,409.614013671875,-29.1392183303833,0.6496058106422424,-35.08042287826538,287.4336853027344,-46.75857639312744,0.6778709292411804,60.490829944610596,683.0073852539062,79.33170890808105,0.0727771520614624,-54.15570116043091,629.7640991210938,63.610586643218994,0.12793776392936707,46.48109006881714,712.5529174804688,94.2324743270874,0.07234852761030197,-57.13690996170044,656.8534545898438,53.2781081199646,0.11655676364898682,29.826505422592163,756.7657470703125,91.24834728240967,0.0588495098054409,-54.64776420593262,686.9345092773438,51.31603145599365,0.0759974867105484
2,-8.321389317512512,-647.860595703125,-165.24555015563965,0.9999975562095642,8.19390606880188,-666.7233276367188,-157.0492343902588,0.999994158744812,9.352764129638672,-667.1012573242188,-151.59309768676758,0.9999939203262329,7.605868756771088,-667.9661254882812,-152.35022735595703,0.9999935626983643,-8.808092772960663,-679.3632202148438,-162.5906867980957,0.9999963641166687,-8.091559946537018,-679.1184692382812,-169.3564624786377,0.9999969005584717,-5.458874702453613,-666.4042358398438,-157.8977394104004,0.9999968409538269,59.878475189208984,-638.7259521484375,-87.9049072265625,0.999996542930603,-43.8801155090332,-618.1458129882812,-78.59103298187256,0.9999939203262329,18.757279872894287,-626.9038696289062,-134.49843978881836,0.9999951720237732,-10.311036944389343,-601.1072998046875,-147.92608451843262,0.9999952912330627,93.56933784484863,-450.9581604003906,-17.215348720550537,0.9999619722366333,-73.9352159500122,-536.0067138671875,23.704298973083496,0.9999244809150696,129.73899936676025,-270.4126281738281,-51.467904567718506,0.9904658198356628,-108.94836902618408,-276.0755920410156,18.520726203918457,0.9278881549835205,163.46131896972656,-288.3253479003906,-106.3472785949707,0.9926549196243286,-154.6402759552002,-279.2826232910156,-53.4113130569458,0.9744829535484314,168.42016983032227,-306.5655517578125,-117.15847778320312,0.9907841086387634,-141.68106079101562,-290.9211730957031,-82.03477478027344,0.9747055768966675,166.6780128479004,-333.3218688964844,-125.0853967666626,0.9916993975639343,-131.1714963912964,-350.90594482421875,-92.65830516815186,0.9769055843353271,165.8843536376953,-285.021728515625,-113.00258159637451,0.9894683361053467,-148.88041877746582,-301.67181396484375,-62.07938003540039,0.9767450094223022,58.6282696723938,4.881857872009277,15.151766538619995,0.9990467429161072,-57.22359037399292,-8.632845878601074,-14.449407577514648,0.9991313815116882,65.56534194946289,409.2763366699219,-30.51028847694397,0.6577868461608887,-35.38308548927307,284.349609375,-46.592137813568115,0.6918640732765198,56.21691656112671,690.5955810546875,80.17465209960938,0.07797888666391373,-59.85079479217529,629.9454345703125,68.87600326538086,0.13497485220432281,41.966164112091064,721.2298583984375,95.76236343383789,0.0729159414768219,-63.07537221908569,657.2112426757812,59.471174240112305,0.11692450195550919,20.22676992416382,766.1231689453125,90.78648376464844,0.06129421666264534,-60.06343603134155,687.8451538085938,52.031940937042236,0.07903847843408585
3,-8.35464334487915,-634.1810302734375,-190.2242202758789,0.9999937415122986,7.288052201271057,-652.162109375,-183.1775894165039,0.9999847412109375,8.470168232917786,-652.5182495117188,-177.64029121398926,0.9999839663505554,6.655264377593994,-652.8084106445312,-177.93867301940918,0.9999812245368958,-9.060266017913818,-662.9603271484375,-188.91224670410156,0.9999917149543762,-8.264368772506714,-662.1082763671875,-195.65460777282715,0.9999935030937195,-5.659110188484192,-649.5216064453125,-183.9755573272705,0.9999936819076538,58.11220407485962,-630.1456909179688,-112.47861099243164,0.9999896883964539,-43.97646474838257,-602.63330078125,-105.59302425384521,0.9999890327453613,18.65481734275818,-617.1365356445312,-157.4337558746338,0.9999836683273315,-10.082456946372986,-589.4615478515625,-171.39849472045898,0.9999874830245972,93.64328956604004,-448.3023376464844,-30.092041969299316,0.9998724460601807,-73.92594623565674,-535.1432495117188,4.135774791240692,0.9998933672904968,125.09981632232666,-268.1932067871094,-51.55551624298096,0.9785022735595703,-109.0988302230835,-275.2882080078125,14.563266277313232,0.9282880425453186,162.1827335357666,-267.06451416015625,-89.54447078704834,0.9705891013145447,-152.20251274108887,-259.5766906738281,-54.139667987823486,0.9735940098762512,167.66623306274414,-285.5170593261719,-95.74150657653809,0.9688966274261475,-139.8332462310791,-271.8698425292969,-80.13239765167236,0.9729924201965332,166.65555953979492,-309.7196044921875,-104.46924304962158,0.9719588756561279,-131.8009443283081,-330.3153076171875,-91.86137580871582,0.9754770994186401,165.20502090454102,-261.5133361816406,-96.5372428894043,0.9678220152854919,-147.80756950378418,-282.0570068359375,-63.621809005737305,0.9745755791664124,58.62605953216553,5.555745601654053,15.210987567901611,0.9984073042869568,-57.22967576980591,-9.706374168395996,-14.539440751075745,0.9988375306129456,65.06115102767944,406.04473876953125,-30.506973266601562,0.6612685322761536,-35.37819528579712,284.3039855957031,-46.56477069854736,0.7056816220283508,56.42415904998779,692.0323486328125,80.45052909851074,0.08572232723236084,-59.123379707336426,630.2658081054688,68.54897975921631,0.1486959159374237,42.368937492370605,722.8748168945312,95.88617420196533,0.07507017999887466,-61.96908760070801,657.6867065429688,59.01794958114624,0.12020870298147202,21.753251552581787,768.4769287109375,86.0279016494751,0.06542599946260452,-59.03515434265137,688.14453125,46.559749603271484,0.08575593680143356
4,-7.254004776477814,-622.4247436523438,-200.23285102844238,0.9999937415122986,7.405748605728149,-639.4493408203125,-193.670991897583,0.9999849796295166,8.562799394130707,-639.0472412109375,-188.87889289855957,0.9999842047691345,6.6870914697647095,-640.1907348632812,-188.09445190429688,0.9999813437461853,-7.417186081409454,-652.1524658203125,-199.40534019470215,0.9999918341636658,-6.310208380222321,-649.921875,-205.2194595336914,0.999993622303009,-3.857714742422104,-636.008544921875,-193.4765853881836,0.9999936819076538,58.07822370529175,-615.711669921875,-120.0622329711914,0.9999898076057434,-42.536959648132324,-595.6024169921875,-116.60515308380127,0.9999893307685852,19.011240005493164,-605.1220092773438,-165.65243911743164,0.9999822974205017,-8.275960206985474,-579.977783203125,-179.59946250915527,0.9999866485595703,93.67187118530273,-440.8401184082031,-32.15746092796326,0.999822199344635,-73.80721664428711,-533.1892700195312,-9.175603151321411,0.9998783469200134,122.03648471832275,-265.3250427246094,-45.23204755783081,0.9696919918060303,-104.96664905548096,-279.9532775878906,18.427846670150757,0.932153046131134,160.59587860107422,-250.36244201660156,-48.760212421417236,0.9624149203300476,-152.96501541137695,-245.41578674316406,10.47671377658844,0.9744868278503418,166.40527725219727,-271.5352783203125,-47.26747512817383,0.9619213938713074,-140.81928634643555,-258.3973083496094,-3.4460297226905823,0.9734672904014587,165.58387756347656,-287.3067932128906,-54.865671157836914,0.9659116864204407,-137.52178287506104,-302.9424743652344,-13.435766458511353,0.9759759306907654,164.07550621032715,-242.46197509765625,-54.38495063781738,0.9618167281150818,-151.30860328674316,-264.95452880859375,1.3203920871019363,0.9750300645828247,59.05543613433838,6.920321941375732,15.648364663124084,0.9977694153785706,-57.69276666641235,-11.335625648498535,-15.526062369346619,0.9984932541847229,64.17082071304321,401.63494873046875,-28.967668533325195,0.6565523743629456,-33.861215114593506,283.9297790527344,-42.77733278274536,0.7131214141845703,58.08281993865967,691.8102416992188,73.30787944793701,0.09215967357158661,-56.36217212677002,633.9190673828125,76.67385864257812,0.1594073325395584,44.3258900642395,722.6943359375,85.46077537536621,0.07711007446050644,-61.25459003448486,662.4577026367188,68.12167167663574,0.12398853152990341,22.76560950279236,767.5463256835938,63.55599403381348,0.06865245848894119,-57.43093156814575,693.9490356445312,49.53587293624878,0.09088743478059769
5,-5.502213835716248,-618.6417236328125,-211.9563446044922,0.9999935030937195,8.608677506446838,-635.475341796875,-205.90526390075684,0.9999848008155823,9.712864637374878,-634.471923828125,-201.03346252441406,0.999984085559845,7.717057585716248,-636.0704345703125,-200.2166976928711,0.9999811053276062,-5.458012640476227,-647.908935546875,-211.2671413421631,0.9999916553497314,-4.120284765958786,-645.7530517578125,-217.35361862182617,0.9999934434890747,-1.629029855132103,-631.6752319335938,-205.30566787719727,0.9999933838844299,58.45229959487915,-612.1317749023438,-131.2825527191162,0.9999896287918091,-39.88514757156372,-593.2297973632812,-127.21616077423096,0.9999889731407166,20.05517292022705,-601.4147338867188,-176.92171669006348,0.9999813437461853,-5.774956405162811,-577.0790405273438,-191.17294120788574,0.9999858140945435,94.95497131347656,-439.15924072265625,-42.4943962097168,0.999812662601471,-72.18097400665283,-533.1292114257812,-16.7270085811615,0.9998736381530762,122.31696224212646,-258.876708984375,-55.29212951660156,0.9689064025878906,-94.53192043304443,-279.3336486816406,17.167620420455933,0.9367549419403076,159.95920372009277,-233.22535705566406,-53.540956020355225,0.9636943936347961,-149.34802436828613,-232.04229736328125,-12.114120841026306,0.9764152765274048,165.46524238586426,-251.54083251953125,-55.15290355682373,0.9632080793380737,-138.6422939300537,-242.7240753173828,-30.794862270355225,0.9753304719924927,164.65402221679688,-268.00946044921875,-60.39400863647461,0.9671308398246765,-137.69683456420898,-283.8214416503906,-42.83796787261963,0.9776945114135742,163.50454330444336,-224.6135711669922,-58.17180919647217,0.963061511516571,-149.02796173095703,-249.0038604736328,-22.42385745048523,0.9767154455184937,59.124937534332275,7.881237030029297,15.667478084564209,0.9974454641342163,-57.7890043258667,-12.197733879089355,-15.609392166137695,0.9983070492744446,64.6832127571106,400.35638427734375,-27.950862407684326,0.6553686261177063,-33.35442352294922,284.0537109375,-33.94406533241272,0.7195591926574707,60.272661209106445,692.1150512695312,73.4916000366211,0.09659896790981293,-55.42202138900757,639.5602416992188,85.16660785675049,0.16693119704723358,46.59665250778198,723.218017578125,86.02144718170166,0.07840710133314133,-61.04999542236328,668.6070556640625,76.38650608062744,0.1261151283979416,22.946564197540283,767.2417602539062,67.58659887313843,0.07098023593425751,-56.32163429260254,701.526611328125,57.18854570388794,0.094515860080719
6,-4.477942049503326,-620.2916870117188,-204.7804012298584,0.9999930262565613,9.500921845436096,-637.0450439453125,-196.95782661437988,0.9999837279319763,10.585628628730774,-636.3746337890625,-191.8787956237793,0.9999829530715942,8.608219385147095,-637.7522583007812,-191.51097679138184,0.9999796748161316,-4.446938127279282,-649.6077880859375,-202.76715660095215,0.9999909400939941,-3.2597403824329376,-647.7225341796875,-209.17663192749023,0.999992847442627,-0.62936981767416,-633.8733520507812,-197.23045921325684,0.9999927282333374,58.56178522109985,-613.8887329101562,-122.27829551696777,0.9999886751174927,-39.26100826263428,-594.7078857421875,-117.61912250518799,0.9999877214431763,20.68441915512085,-602.9822387695312,-170.77206802368164,0.9999793767929077,-4.763728737831116,-578.4469604492188,-184.36275672912598,0.999984085559845,95.03075122833252,-439.3406066894531,-40.97495698928833,0.9998052716255188,-72.05561828613281,-536.3109130859375,-9.712718725204468,0.9998680949211121,122.16315364837646,-257.65185546875,-53.27417278289795,0.967523455619812,-94.5322208404541,-279.6064758300781,16.618005752563477,0.9399391412734985,157.50612831115723,-229.19915771484375,-59.50337791442871,0.9638275504112244,-152.4261360168457,-221.24673461914062,-23.16091775894165,0.9775975346565247,163.21234130859375,-242.9925537109375,-65.34682989120483,0.9631139636039734,-142.467604637146,-226.35073852539062,-43.75251531600952,0.9762280583381653,160.96004104614258,-262.40179443359375,-66.46253442764282,0.9671675562858582,-139.60888481140137,-268.3478698730469,-56.49805498123169,0.9785839319229126,160.61572265625,-221.08444213867188,-64.16562795639038,0.9629353284835815,-151.9591999053955,-235.64794921875,-33.50198578834534,0.9775203466415405,59.12690305709839,8.121079444885254,15.82215142250061,0.9973093271255493,-57.796432971954346,-12.378966331481934,-15.7622652053833,0.9982151389122009,65.04095506668091,399.3237609863281,-27.911446809768677,0.6540497541427612,-32.5058434009552,285.9762878417969,-29.13973331451416,0.7195801734924316,63.23683261871338,695.41748046875,69.48821640014648,0.09789912402629852,-53.647398948669434,645.0421752929688,89.46585845947266,0.16451293230056763,49.62840270996094,727.4285278320312,81.86804008483887,0.07744705677032471,-59.22889566421509,674.397705078125,80.0875597000122,0.12243453413248062,26.0877742767334,770.47802734375,62.98944282531738,0.07162099331617355,-51.866695404052734,707.1222534179688,63.345356941223145,0.09280779212713242
7,-3.7785756289958954,-621.5325927734375,-201.627290725708,0.9999911785125732,10.151385426521301,-638.0514526367188,-192.76633644104004,0.9999793171882629,11.309092283248901,-637.6192016601562,-187.5266990661621,0.9999786615371704,9.355690956115723,-638.7732543945312,-187.48817825317383,0.9999743700027466,-3.420322358608246,-650.7058715820312,-198.74346542358398,0.999988317489624,-2.337756782770157,-648.9715576171875,-205.3733367919922,0.9999908208847046,0.37065111100673676,-635.224853515625,-193.4146499633789,0.9999905824661255,58.695011615753174,-614.9440307617188,-117.59900379180908,0.9999855756759644,-37.96777582168579,-595.6884155273438,-112.90699195861816,0.999984085559845,21.182994604110718,-604.0679321289062,-168.10644149780273,0.999973714351654,-4.0649406015872955,-579.3822021484375,-181.27175331115723,0.9999794960021973,95.10142421722412,-439.58697509765625,-39.85012435913086,0.9997856616973877,-71.55339288711548,-539.2701416015625,-6.023806929588318,0.99985671043396,122.30268859863281,-257.4193420410156,-50.6609845161438,0.9629102945327759,-94.36037921905518,-281.0465393066406,19.847436904907227,0.9404188394546509,157.6603488922119,-225.8975372314453,-68.17289113998413,0.9599084258079529,-153.2025260925293,-213.2050018310547,-11.706228733062744,0.9775880575180054,163.55942344665527,-238.04763793945312,-73.83247661590576,0.9586240649223328,-147.42083358764648,-215.75689697265625,-28.562172174453735,0.9755229949951172,161.21207427978516,-257.4865417480469,-78.4662094116211,0.9633939266204834,-148.50484085083008,-255.3363037109375,-44.85995864868164,0.9781131744384766,160.69796562194824,-217.4039306640625,-73.72414112091064,0.9584250450134277,-154.61545372009277,-226.15948486328125,-22.96269392967224,0.9768622517585754,59.11729860305786,8.398900032043457,15.838943123817444,0.9970405101776123,-57.78527498245239,-12.67746353149414,-15.784119844436646,0.9980458617210388,65.08617067337036,399.4794006347656,-27.653042793273926,0.64726322889328,-31.03349733352661,289.3030090332031,-27.073142766952515,0.7168416976928711,65.08132123947144,701.0180053710938,69.55283832550049,0.09767154604196548,-50.011048793792725,651.7130737304688,92.01840305328369,0.16082406044006348,51.761497020721436,733.8897705078125,81.97047901153564,0.07539992779493332,-55.06177282333374,681.4100341796875,82.63111782073975,0.11776956170797348,28.791337966918945,777.0662841796875,63.76359272003174,0.07133995741605759,-47.889880657196045,715.4934692382812,67.32101726531982,0.09064039587974548
8,-0.9029738456010818,-621.888427734375,-199.5735855102539,0.99998939037323,11.207441926002502,-637.3695678710938,-191.64341354370117,0.9999759793281555,12.424333333969116,-637.1209106445312,-186.82237243652344,0.9999755620956421,10.463931441307068,-638.1798706054688,-186.21857070922852,0.9999704360961914,0.37292009219527245,-650.442138671875,-197.76444625854492,0.999986469745636,1.5461225062608719,-648.2351684570312,-203.5774326324463,0.9999893307685852,4.117456644773483,-633.7266845703125,-191.92214012145996,0.9999889135360718,58.732433795928955,-611.8197021484375,-118.57422065734863,0.999984085559845,-35.26933836936951,-594.2553100585938,-116.15267086029053,0.9999828934669495,23.26553249359131,-604.2783813476562,-165.63414001464844,0.9999691843986511,-0.6802663430571556,-579.6338500976562,-179.1990623474121,0.9999764561653137,95.18156433105469,-437.0472717285156,-37.79531192779541,0.9997387528419495,-70.64389228820801,-537.64013671875,-6.827084004878998,0.9998390078544617,124.34979343414307,-257.7586364746094,-24.89572548866272,0.9555251598358154,-94.88957691192627,-285.93658447265625,48.560282707214355,0.9425422549247742,159.71563339233398,-228.48716735839844,-3.3021528124809265,0.9549353718757629,-169.33907318115234,-205.03408813476562,82.05499649047852,0.9778047800064087,165.55720138549805,-243.97483825683594,1.0467387735843658,0.9533624649047852,-163.3579616546631,-212.31715393066406,76.85882377624512,0.9748204946517944,162.08306694030762,-263.04449462890625,-7.308308243751526,0.9590040445327759,-168.90592002868652,-242.0019073486328,63.618422985076904,0.9775879383087158,162.51543045043945,-220.18482971191406,-9.212987780570984,0.954037606716156,-174.13506889343262,-217.2507781982422,72.02731132507324,0.9763672947883606,59.46526050567627,9.165709495544434,16.02383315563202,0.9961950778961182,-58.069095611572266,-13.835094451904297,-16.385878801345825,0.9975611567497253,65.0888786315918,399.00244140625,-26.55003046989441,0.6332374811172485,-30.14906144142151,290.6317443847656,-26.849819898605347,0.7119690179824829,68.46708869934082,704.7097778320312,69.90184307098389,0.09740433096885681,-43.140860080718994,659.9558715820312,95.72021198272705,0.15900591015815735,55.67068576812744,737.9509887695312,81.68196773529053,0.07313665002584457,-48.73555326461792,690.7742919921875,87.53819561004639,0.11404170095920563,29.27520203590393,776.2853393554688,58.85960912704468,0.07029444724321365,-43.92477750778198,725.01416015625,69.7490086555481,0.08881468325853348
9,0.7667329832911491,-622.3138427734375,-197.82650184631348,0.9999864101409912,12.563228845596313,-637.5426025390625,-189.85561180114746,0.9999685287475586,13.922999382019043,-637.512939453125,-184.95538330078125,0.9999682903289795,12.021498799324036,-638.27734375,-184.46944427490234,0.9999610781669617,1.8965429216623306,-650.3453369140625,-196.26920700073242,0.9999826550483704,2.8937749564647675,-648.2077026367188,-202.12713432312012,0.9999865889549255,5.509564697742462,-633.8309326171875,-190.5864086151123,0.9999862313270569,59.160934925079346,-612.3815307617188,-117.08616542816162,0.9999794363975525,-34.14023780822754,-593.66552734375,-115.47007656097412,0.9999797940254211,24.975955724716187,-604.77783203125,-163.89203453063965,0.9999623894691467,0.729134313762188,-579.9189453125,-177.8173427581787,0.9999721050262451,96.07137966156006,-436.6509704589844,-36.95547580718994,0.9996944069862366,-69.35713148117065,-537.4989013671875,-5.545563161373138,0.9998281002044678,125.2446641921997,-254.8616943359375,-28.700679302215576,0.9497171640396118,-95.73047733306885,-285.2068786621094,43.500361919403076,0.9434411525726318,159.7844352722168,-225.79598999023438,-31.723376512527466,0.9474941492080688,-171.89789199829102,-200.066162109375,48.42377328872681,0.9776629209518433,165.6448860168457,-243.25289916992188,-32.146965980529785,0.9442728161811829,-168.1787452697754,-205.47866821289062,38.35853719711304,0.9735768437385559,162.10709953308105,-262.71026611328125,-40.84763145446777,0.9510377049446106,-171.6137924194336,-238.554931640625,22.606953620910645,0.9766172170639038,162.46736526489258,-217.97039794921875,-38.17409133911133,0.9451430439949036,-175.79597854614258,-212.35581970214844,37.9734148979187,0.975222647190094,59.476778984069824,9.385944366455078,16.3748517036438,0.9957137703895569,-58.075966358184814,-14.252010345458984,-16.77776348590851,0.9973523020744324,65.12845087051392,400.0271301269531,-23.033972024917603,0.6340361833572388,-27.530776977539062,291.9093322753906,-27.47805118560791,0.7210617661476135,69.590895652771,706.989990234375,85.42095851898193,0.0985831469297409,-40.78732681274414,664.0538940429688,93.25325775146484,0.16422873735427856,56.967244148254395,739.85498046875,98.24001216888428,0.07186827808618546,-45.503774642944336,694.9506225585938,84.66386318206787,0.11248598992824554,29.980901956558228,778.6104736328125,76.80325698852539,0.07106400281190872,-40.91709852218628,728.3865966796875,69.5354962348938,0.09119308739900589
