frame,NOSE_x,NOSE_y,NOSE_distance,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_distance,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_distance,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_distance,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_distance,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_distance,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_distance,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_distance,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_distance,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_distance,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_distance,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_distance,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_distance,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_distance,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_distance,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_distance,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_distance,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_distance,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_distance,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_distance,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_distance,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_distance,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_distance,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_distance,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_distance,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_distance,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_distance,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_distance,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_distance,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_distance,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_distance,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_distance,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_distance,RIGHT_FOOT_INDEX_vis
0,246.62358283996582,357.8973197937012,-292.4620306491852,0.9996808767318726,257.4218827486038,338.12753677368164,-279.02841210365295,0.9993721842765808,266.4996689558029,335.83142280578613,-279.4090175628662,0.9993410706520081,274.0790927410126,335.00475883483887,-279.4090497493744,0.9993946552276611,232.60738849639893,345.54004669189453,-270.59471011161804,0.9996695518493652,226.719092130661,348.6489772796631,-271.28153800964355,0.9997455477714539,220.38079619407654,351.9128894805908,-271.7991614341736,0.9998216032981873,285.07648229599,342.8760051727295,-157.3529988527298,0.999756395816803,218.93077790737152,361.4982032775879,-115.21740764379501,0.9997692704200745,268.2669013738632,376.04578971862793,-236.90745770931244,0.9995666146278381,238.63267064094543,380.78295707702637,-228.07659029960632,0.9995551705360413,346.9953417778015,470.3625011444092,-63.28888222575188,0.999686598777771,180.63707292079926,457.78035163879395,2.464792253449559,0.9997249245643616,314.1653609275818,600.4931831359863,62.86122411489487,0.5371761918067932,161.91247522830963,598.8704681396484,163.74770164489746,0.3514375388622284,257.91623532772064,681.3110733032227,111.04128062725067,0.05173654481768608,177.8728151321411,680.0312232971191,211.47454798221588,0.08246640115976334,242.81511425971985,711.9680786132812,103.16413164138794,0.05781787261366844,183.4586226940155,700.9957695007324,200.56097209453583,0.09344848245382309,245.7087779045105,696.060619354248,74.56781923770905,0.06660941988229752,187.064026594162,700.4108047485352,174.6979057788849,0.10047995299100876,248.44192743301392,683.353157043457,104.28559005260468,0.07369563728570938,185.06598472595215,690.6059646606445,202.9408586025238,0.10941880196332932,275.36452531814575,718.1658554077148,-14.792387075722218,0.9991656541824341,180.40808200836182,710.5944442749023,14.760369546711445,0.9995180368423462,264.90334689617157,953.1400680541992,-37.92735010385513,0.6512086391448975,184.84602212905884,947.3446083068848,5.200392231345177,0.6744035482406616,255.40193796157837,1109.490737915039,245.6064087152481,0.15663586556911469,174.5991414785385,1096.9354248046875,266.1280757188797,0.2568807303905487,260.0965815782547,1127.080078125,269.2992514371872,0.09612814337015152,179.08499121665955,1120.4090881347656,290.1538395881653,0.11062664538621902,221.3629513978958,1172.3134231567383,143.01744997501373,0.11654164642095566,168.35460484027863,1157.541275024414,164.88089203834534,0.16072992980480194
1,248.6696308851242,358.2289409637451,-194.00197327136993,0.999623715877533,258.2484483718872,337.63750076293945,-183.86855006217957,0.9992649555206299,266.88787043094635,335.64345359802246,-184.27236199378967,0.9992388486862183,274.33417081832886,334.905309677124,-184.27894413471222,0.9993013143539429,233.7147492170334,345.4424571990967,-178.2361364364624,0.999609112739563,227.13265657424927,348.3502006530762,-178.94330620765686,0.9997029304504395,221.53596997261047,351.41332626342773,-179.42772924900055,0.9997904896736145,286.65355682373047,342.86773681640625,-85.4789811372757,0.9997146129608154,219.1784691810608,361.31521224975586,-55.69305941462517,0.9997124671936035,270.9240746498108,375.76512336730957,-147.15196788311005,0.999476969242096,239.32649910449982,380.97710609436035,-142.03193128108978,0.9994569420814514,347.0843696594238,470.0640678405762,-15.833394303917885,0.9996886253356934,181.0597461462021,457.0865249633789,28.97552378475666,0.9997104406356812,316.635160446167,596.3503074645996,121.9459730386734,0.5302249789237976,160.92640936374664,596.6429328918457,165.32094597816467,0.3398251235485077,262.8351706266403,661.2403678894043,189.02389526367188,0.05050748214125633,179.72920417785645,669.5935249328613,205.56949853897095,0.0797000303864479,243.7088692188263,692.3103904724121,189.09076273441315,0.05733797326683998,187.08134293556213,696.9498252868652,193.51677775382996,0.09137260913848877,245.7713484764099,665.8052444458008,162.29666948318481,0.06605400890111923,191.08386397361755,684.3957138061523,171.01638078689575,0.09837014228105545,250.81676065921783,663.7748908996582,183.67171347141266,0.07346569001674652,188.7344741821289,674.8370361328125,197.61093378067017,0.10712282359600067,275.4207229614258,716.0773086547852,-12.803285010159016,0.9991618394851685,180.9889841079712,708.7309455871582,12.737309709191322,0.9995076060295105,265.1296663284302,951.6858100891113,-17.434403523802757,0.6438380479812622,185.1824676990509,947.2771453857422,37.96108961105347,0.6607942581176758,256.58109068870544,1102.9116439819336,233.17412853240967,0.15122714638710022,176.70740604400635,1090.685920715332,248.19578111171722,0.2502368092536926,261.12899601459503,1118.5553741455078,253.97488474845886,0.093421071767807,180.9969824552536,1112.6534271240234,266.7497259378433,0.10812962800264359,225.85443377494812,1166.3885879516602,143.86252284049988,0.1125238686800003,174.36160504817963,1152.6844024658203,158.2321411371231,0.156656876206398
2,251.75940692424774,358.2635021209717,-190.9528487920761,0.999568521976471,259.97601091861725,337.100772857666,-180.99431097507477,0.9991539716720581,267.9901456832886,335.2455139160156,-181.40621781349182,0.9991345405578613,275.09148716926575,334.55248832702637,-181.4219892024994,0.9992047548294067,236.58147275447845,345.05805015563965,-176.1376565694809,0.9995465278625488,229.12142872810364,347.73210525512695,-176.85210049152374,0.9996585249900818,223.36372911930084,350.7022762298584,-177.34936594963074,0.9997572302818298,288.23574900627136,342.83254623413086,-83.2642275094986,0.999672532081604,220.46184182167053,361.0308837890625,-56.90538838505745,0.9996546506881714,273.45473885536194,375.4574775695801,-144.18491899967194,0.9993857145309448,241.05563879013062,380.9457206726074,-140.1036697626114,0.9993570446968079,347.6190519332886,469.8589611053467,-13.594070300459862,0.9996908903121948,181.16639614105225,456.79232597351074,27.72619642317295,0.9996945858001709,318.9541983604431,591.9461059570312,133.6088427901268,0.5260559916496277,159.81890380382538,596.4720726013184,165.54084420204163,0.32955124974250793,270.2612257003784,657.242546081543,214.01000797748566,0.04920760914683342,181.9435876607895,665.5269813537598,209.665424823761,0.07703297585248947,248.34570586681366,689.7954368591309,216.94263339042664,0.05643326789140701,194.98771727085114,694.4419097900391,199.30836975574493,0.08911517262458801,251.2839639186859,669.6224212646484,189.64377522468567,0.0649464875459671,198.8749784231186,675.7028961181641,180.0133627653122,0.09597171097993851,255.729838013649,661.1984252929688,208.8834536075592,0.07265008985996246,194.95931267738342,669.4202613830566,203.03601801395416,0.104471854865551,275.93786358833313,715.4183006286621,-10.826730653643608,0.9991469383239746,181.98282301425934,708.2559585571289,10.742328576743603,0.999485969543457,265.17538726329803,951.3991928100586,-12.866155318915844,0.6346672773361206,186.00436627864838,947.4432563781738,48.79778400063515,0.6436722278594971,257.1387380361557,1103.162956237793,212.10128366947174,0.14515052735805511,178.01622211933136,1091.0108184814453,243.7032687664032,0.241033136844635,261.4602595567703,1118.6853790283203,230.31292498111725,0.09006549417972565,182.09554016590118,1113.1026077270508,261.2076759338379,0.10447654128074646,227.99472391605377,1166.619987487793,129.90087658166885,0.10765198618173599,177.82033503055573,1152.7540969848633,156.81696474552155,0.1504051685333252
3,252.87503957748413,358.41482162475586,-168.5298764705658,0.9995381236076355,260.6697106361389,337.10206031799316,-158.5662692785263,0.9990993738174438,268.41925621032715,335.2343559265137,-158.97292971611023,0.9990823864936829,275.5289340019226,334.46356773376465,-158.97437810897827,0.9991580247879028,238.431778550148,344.80310440063477,-153.05333197116852,0.9995148181915283,230.61180889606476,347.46225357055664,-153.768789768219,0.999636173248291,224.60562944412231,350.5056953430176,-154.24973666667938,0.9997410178184509,289.29420232772827,342.8346920013428,-64.88391280174255,0.999648928642273,221.54934346675873,361.00979804992676,-35.8566914498806,0.9996201992034912,274.1393458843231,375.4452610015869,-123.54328483343124,0.9993312954902649,241.90764784812927,380.9373664855957,-118.59913140535355,0.9992946982383728,348.56568932533264,470.0943660736084,0.7992539880797267,0.999694287776947,182.196187376976,456.8094062805176,42.496212869882584,0.9996868968009949,321.43828868865967,592.4396896362305,149.44121718406677,0.5211241245269775,159.7844159603119,594.9587631225586,177.19501554965973,0.32242029905319214,272.56317257881165,658.7861824035645,232.41925835609436,0.04838237538933754,182.04450845718384,662.9610443115234,218.7230944633484,0.07665317505598068,249.4298279285431,691.190357208252,235.78723847866058,0.0561993382871151,194.05516147613525,683.1235313415527,208.40656220912933,0.08954347670078278,255.0373774766922,666.280689239502,208.4349024295807,0.06464635580778122,198.11824142932892,675.1367568969727,188.3887106180191,0.09653188288211823,256.68146431446075,662.7379417419434,227.31817960739136,0.07265160977840424,194.52746629714966,667.6440238952637,211.62052989006042,0.10483400523662567,275.9818625450134,714.1687774658203,-10.326288789510727,0.999132513999939,182.20278561115265,707.4270629882812,10.233612768352032,0.9994674324989319,265.17654597759247,951.020565032959,-10.859963223338127,0.6255094408988953,186.92591428756714,947.618522644043,61.13589450716972,0.6248642802238464,257.13053047657013,1103.5350036621094,203.70454788208008,0.13966679573059082,178.29927027225494,1089.862289428711,246.49972915649414,0.23129859566688538,261.1294627189636,1119.334945678711,221.33691251277924,0.087420754134655,182.37448453903198,1112.1028518676758,265.93777298927307,0.10083737224340439,230.2157860994339,1166.8923568725586,123.85965406894684,0.10360545665025711,177.77706027030945,1151.5253448486328,164.17061626911163,0.14442510902881622
4,253.68507742881775,358.7453269958496,-166.5229833126068,0.999542236328125,262.04608619213104,337.58482933044434,-154.53843355178833,0.9991085529327393,269.87930059432983,335.7192134857178,-154.94116723537445,0.9990944266319275,276.95138454437256,334.8075199127197,-154.92919385433197,0.9991703629493713,240.08795142173767,344.80313301086426,-149.84134376049042,0.9995169639587402,231.95812225341797,347.47178077697754,-150.55144250392914,0.9996380805969238,225.5714499950409,350.5086135864258,-151.01887106895447,0.9997411370277405,290.38278222084045,343.1788444519043,-53.542360961437225,0.9996523857116699,222.38596737384796,361.01491928100586,-28.351198062300682,0.9996126890182495,274.3022418022156,375.6521701812744,-118.84366035461426,0.999330997467041,242.39448487758636,380.9537601470947,-115.09600013494492,0.999286949634552,349.6716499328613,470.44910430908203,19.163004085421562,0.9997049570083618,183.02268862724304,456.804256439209,52.46360197663307,0.9996827840805054,325.3080081939697,591.9561195373535,173.6188530921936,0.5308155417442322,159.79426503181458,593.2277297973633,196.82538986206055,0.31978729367256165,275.2537715435028,655.4027938842773,252.3510593175888,0.05107720568776131,182.59180784225464,660.9474563598633,248.53320837020874,0.07669482380151749,258.42267394065857,676.2614250183105,255.23629009723663,0.05959811061620712,193.4917849302292,678.3460235595703,238.9214962720871,0.09016124159097672,257.3743271827698,662.6066207885742,228.99537026882172,0.06839940696954727,197.64546990394592,672.846508026123,218.40367555618286,0.09724322706460953,259.372256398201,657.1883583068848,247.7721905708313,0.07711310684680939,194.29958581924438,666.4934921264648,241.60322785377502,0.10551337152719498,276.0933566093445,712.4941062927246,-7.202884890139103,0.9991226196289062,182.2908318042755,705.7222366333008,7.097326721996069,0.9994451403617859,265.1247578859329,949.8176765441895,-8.213955648243427,0.6213548183441162,187.12096452713013,947.6208114624023,56.13539457321167,0.6121791005134583,256.75451159477234,1103.8032531738281,211.26401603221893,0.13585108518600464,178.2960194349289,1089.3109130859375,248.03657054901123,0.22376957535743713,259.8772305250168,1119.7790908813477,230.37388622760773,0.08566407114267349,182.34368205070496,1111.6568756103516,267.1956539154053,0.09752550721168518,231.4562863111496,1166.9431686401367,125.83676666021347,0.10078398883342743,178.55130672454834,1150.993995666504,167.12327778339386,0.1394897997379303
5,254.19262647628784,358.7809181213379,-182.8662621974945,0.9995111227035522,262.8215557336807,337.9779052734375,-171.311257481575,0.999054491519928,270.5436623096466,336.36560440063477,-171.72757387161255,0.9990459680557251,277.48204350471497,335.4232120513916,-171.72617375850677,0.9991276860237122,240.8976513147354,344.78407859802246,-167.0728576183319,0.9994817972183228,232.3971140384674,347.46840476989746,-167.7893614768982,0.999613344669342,225.9146225452423,350.5048942565918,-168.2663494348526,0.999722421169281,290.6497371196747,343.4864902496338,-70.87731420993805,0.9996299743652344,222.54730224609375,361.0056209564209,-45.64542531967163,0.9995723962783813,274.29142713546753,375.68095207214355,-135.5246078968048,0.999271035194397,242.69774615764618,380.94923973083496,-132.2780755162239,0.999215304851532,349.8140752315521,470.88953018188477,3.265128890052438,0.999703586101532,183.11227977275848,456.80113792419434,51.60012245178223,0.9996674060821533,324.8962140083313,592.5410842895508,150.31356811523438,0.528231143951416,159.8157173395157,592.0886993408203,184.60323929786682,0.3157535493373871,274.42587018013,657.1038436889648,221.03408575057983,0.050434842705726624,182.54948258399963,660.1111793518066,247.37098574638367,0.07553067058324814,257.9633563756943,674.5511054992676,222.81174659729004,0.05959566310048103,192.42523670196533,677.3206329345703,235.8951598405838,0.08952750265598297,256.72955095767975,663.9610862731934,195.69089591503143,0.06836019456386566,197.3571914434433,671.1929512023926,211.81126713752747,0.09664300084114075,259.36623752117157,659.0134048461914,215.78116714954376,0.07739662379026413,193.99413585662842,665.1015472412109,240.28105437755585,0.10489315539598465,276.0951590538025,712.2960662841797,-5.89604526758194,0.9990985989570618,182.37493515014648,705.783576965332,5.778912529349327,0.9994173645973206,265.08542597293854,948.0940818786621,-8.925886005163193,0.6205442547798157,187.12852835655212,947.4520683288574,52.56144896149635,0.6026655435562134,256.5855485200882,1101.9264221191406,204.91822063922882,0.1344742625951767,178.44890534877777,1086.4013671875,247.08402693271637,0.21870426833629608,258.9256525039673,1118.115119934082,222.82425105571747,0.08540104329586029,182.57198095321655,1108.6738586425781,265.4227566719055,0.09564854949712753,234.23338651657104,1164.2748641967773,124.56884354352951,0.09974231570959091,178.33599507808685,1147.566146850586,167.0203936100006,0.13619057834148407
6,254.1927069425583,358.80563735961914,-208.10040414333344,0.999497652053833,263.06717097759247,338.34866523742676,-198.6675363779068,0.9990342855453491,270.71460485458374,337.09444999694824,-199.13947105407715,0.9990298748016357,277.5876796245575,336.165246963501,-199.15459871292114,0.9991148710250854,240.83998918533325,344.7827625274658,-197.168031334877,0.9994676113128662,232.3260462284088,347.4690055847168,-197.90727496147156,0.9996038675308228,225.88690996170044,350.498685836792,-198.39428901672363,0.9997153878211975,290.5989468097687,343.9500045776367,-103.97091060876846,0.9996210336685181,222.50558853149414,360.9657669067383,-87.73074924945831,0.9995519518852234,274.2355191707611,375.6880187988281,-162.86992728710175,0.9992465972900391,242.69126057624817,380.9523868560791,-163.075470328331,0.9991849064826965,349.77895975112915,471.0468578338623,-23.65462526679039,0.9997061491012573,183.03565979003906,456.9187545776367,0.07359417591942474,0.9996570944786072,324.5238482952118,594.1052055358887,148.24085354804993,0.531951904296875,159.93955492973328,594.3176078796387,148.16677629947662,0.31497353315353394,273.8416850566864,658.498477935791,206.7175590991974,0.050532616674900055,182.50369727611542,661.1662101745605,211.13275945186615,0.07447878271341324,257.45797991752625,676.3639640808105,206.2582415342331,0.06006088852882385,191.6064441204071,679.3058395385742,201.60325169563293,0.08852948993444443,253.8411980867386,665.7022476196289,178.93801152706146,0.06884495168924332,197.0847326517105,673.1650543212891,177.82289385795593,0.09565708786249161,257.4834233522415,660.1515769958496,201.26180112361908,0.07826709002256393,193.79139304161072,665.9271812438965,203.65692794322968,0.10394159704446793,276.26545786857605,712.0030403137207,-4.003962893038988,0.9990984797477722,182.71233022212982,705.8293533325195,3.885203478857875,0.9994090795516968,265.02008736133575,948.0511665344238,-6.973575633019209,0.6261023879051208,187.51669764518738,947.6764297485352,48.83015155792236,0.6014071702957153,256.54375433921814,1099.3171691894531,205.70712804794312,0.13559934496879578,178.5908317565918,1085.1848602294922,248.9077466726303,0.2173909991979599,258.57977628707886,1115.6160736083984,224.48238730430603,0.08630818873643875,182.63170301914215,1107.1189498901367,266.6484671831131,0.0946422591805458,235.9913170337677,1160.8608627319336,130.1411247253418,0.10033979266881943,178.6749029159546,1146.5093994140625,168.16058456897736,0.13483473658561707
7,254.2008501291275,358.7941360473633,-221.79471731185913,0.9994823336601257,263.29336166381836,338.5243892669678,-212.5771129131317,0.9990116953849792,270.9353721141815,337.54663467407227,-213.05234670639038,0.9990102648735046,277.7984046936035,336.71719551086426,-213.06633174419403,0.99909907579422,240.935760140419,344.6824550628662,-211.44554793834686,0.9994516968727112,232.33008563518524,347.3470401763916,-212.1895068883896,0.999592661857605,225.95994114875793,350.2998733520508,-212.6757162809372,0.9997069835662842,290.6650900840759,344.40479278564453,-115.8630046248436,0.999610185623169,222.49519228935242,360.61357498168945,-100.85195749998093,0.9995290637016296,274.1747188568115,375.64538955688477,-175.6777274608612,0.9992182850837708,242.67527997493744,380.88232040405273,-176.34656310081482,0.9991495609283447,349.57740783691406,471.0449695587158,-33.678093329072,0.9997079372406006,183.00814032554626,456.7270088195801,-12.74490874260664,0.9996441602706909,324.33671593666077,594.2269134521484,134.37319993972778,0.5343926548957825,160.06900906562805,594.1572761535645,135.2954238653183,0.31328248977661133,273.60183119773865,659.3259429931641,189.30155217647552,0.050671789795160294,181.24441623687744,661.5584564208984,192.71810173988342,0.0733959898352623,256.84790074825287,674.1479873657227,191.12124860286713,0.06058197095990181,188.71290922164917,680.4539680480957,183.4681338071823,0.08752390742301941,253.7695026397705,666.2808609008789,161.66312634944916,0.06939837336540222,195.69046139717102,674.0544891357422,159.08495485782623,0.09466486424207687,257.3496401309967,661.0879898071289,182.9725420475006,0.07915251702070236,193.32581520080566,666.0251426696777,184.67741310596466,0.10297081619501114,276.35043025016785,711.6266441345215,-3.452052790671587,0.9990959763526917,182.88309574127197,705.8303833007812,3.3270419016480446,0.9993987679481506,264.9683153629303,948.0880165100098,-6.674411594867706,0.6304912567138672,187.76424407958984,947.8846549987793,48.216455429792404,0.5979264378547668,256.3569277524948,1099.1120910644531,208.32397162914276,0.1366318017244339,178.6759650707245,1084.7183990478516,249.8467719554901,0.21507781744003296,258.1374853849411,1115.500602722168,226.8202704191208,0.08721023797988892,182.67943561077118,1106.4858627319336,268.21273148059845,0.09343601763248444,236.40092253684998,1160.727653503418,127.93261528015137,0.10108941793441772,178.72572541236877,1146.3822555541992,168.02528858184814,0.13325263559818268
8,254.09738659858704,358.6801815032959,-213.96734476089478,0.9994723796844482,263.2959848642349,338.5298824310303,-203.66833806037903,0.9989981651306152,270.96556305885315,337.6145553588867,-204.11579489707947,0.9989977478981018,277.85125494003296,336.813383102417,-204.11989867687225,0.999087393283844,240.86902141571045,344.5945358276367,-201.68506979942322,0.9994428157806396,232.16138005256653,347.2675037384033,-202.4271136522293,0.9995864033699036,225.9424638748169,350.15210151672363,-202.9132103919983,0.9997022151947021,290.6551766395569,344.50026512145996,-105.43319195508957,0.9996027946472168,222.43392527103424,360.1461124420166,-94.55178648233414,0.9995171427726746,274.0569484233856,375.5303478240967,-166.8480348587036,0.9991918206214905,242.53599286079407,380.8619499206543,-166.7768543958664,0.9991200566291809,349.3604385852814,471.02402687072754,-23.87778639793396,0.9997038841247559,182.59225845336914,456.6518783569336,-6.6015358082950115,0.9996325969696045,324.5310580730438,594.2681121826172,136.65742814540863,0.5296496152877808,159.5709228515625,593.9956855773926,137.33944416046143,0.30962884426116943,273.2555365562439,658.6679077148438,205.13243794441223,0.04951062053442001,180.45641005039215,660.3496170043945,212.6468288898468,0.07251335680484772,256.58031821250916,671.308708190918,208.98525953292847,0.05965093895792961,187.90797293186188,677.940559387207,205.83193123340607,0.08686084300279617,253.6227321624756,663.0681037902832,180.45264422893524,0.06831731647253036,195.51565647125244,670.3935813903809,184.02553975582123,0.09401925653219223,257.32281267642975,661.3503456115723,199.32285368442535,0.07821657508611679,193.24988722801208,663.702220916748,205.8572620153427,0.10225778818130493,276.3040816783905,711.5536308288574,-3.0451308377087116,0.999060332775116,182.8121566772461,705.8498382568359,2.9199758637696505,0.9993677139282227,264.9217575788498,948.1408309936523,-6.950883138924837,0.62743079662323,187.87869930267334,948.4432983398438,51.1202135682106,0.5880482196807861,256.3482052087784,1100.7600402832031,205.35606980323792,0.13414199650287628,178.75934422016144,1085.4917907714844,249.92097795009613,0.20944197475910187,258.1433755159378,1117.5271224975586,223.1382143497467,0.08635681122541428,182.6892524957657,1107.366714477539,268.93417596817017,0.0912381038069725,236.1420464515686,1162.108383178711,123.06456685066223,0.09929906576871872,179.17071998119354,1147.455711364746,169.12244617938995,0.12959079444408417
9,253.92589688301086,358.55956077575684,-214.18006539344788,0.9994773864746094,263.3064293861389,338.52147102355957,-203.90653431415558,0.9990130662918091,271.0061180591583,337.6241683959961,-204.3422430753708,0.9990137219429016,277.89889097213745,336.82886123657227,-204.34053719043732,0.9991012215614319,240.71393072605133,344.54352378845215,-201.27044320106506,0.999450147151947,231.82194113731384,347.1859645843506,-202.01253533363342,0.9995921850204468,225.8840775489807,349.9479675292969,-202.49794006347656,0.9997062683105469,290.63737750053406,344.49402809143066,-105.07243752479553,0.9996069669723511,222.35180139541626,359.56729888916016,-92.36093938350677,0.9995214939117432,273.87596368789673,375.3434371948242,-166.58371925354004,0.9991908669471741,242.34689712524414,380.7931709289551,-165.77229738235474,0.9991191029548645,349.09078001976013,470.96394538879395,-23.440868631005287,0.9997048377990723,182.43060171604156,456.1161518096924,-2.4868545960634947,0.9996291995048523,324.3904674053192,594.3380355834961,133.7177860736847,0.5287656188011169,159.57011818885803,593.9853858947754,139.27008748054504,0.30708616971969604,273.0094063282013,659.124813079834,202.46361315250397,0.04881016165018082,180.0249820947647,660.4739570617676,222.2189837694168,0.07153649628162384,256.22913122177124,672.0584106445312,205.3538167476654,0.059194695204496384,187.21176266670227,678.7249946594238,215.55153250694275,0.08607064932584763,253.3415186405182,664.2307090759277,176.56924545764923,0.06782014667987823,195.06341993808746,671.4812850952148,193.38347733020782,0.09326235204935074,257.11660981178284,661.823616027832,196.51157140731812,0.07797157764434814,193.0223286151886,664.1580390930176,215.4049551486969,0.10147494822740555,276.26001834869385,711.2200355529785,-3.2249186374247074,0.9990326762199402,182.73735523223877,705.7666969299316,3.1019867956638336,0.9993439316749573,264.9251049757004,948.5031509399414,-7.9151451587677,0.6266756057739258,188.3554458618164,949.7612571716309,50.93885466456413,0.5807634592056274,256.3401746749878,1104.6521759033203,200.92767298221588,0.13235603272914886,178.90403866767883,1089.1670608520508,250.55487513542175,0.20484933257102966,258.22754323482513,1121.974983215332,218.27031075954437,0.08580216765403748,182.84155905246735,1111.662712097168,269.62481796741486,0.08930819481611252,235.96241354942322,1165.7160186767578,116.11376971006393,0.09829623997211456,179.1768354177475,1151.4348220825195,169.01961028575897,0.12686023116111755
