Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
-0.114,-0.096,0.149,-4.255,7.684,-0.147,-3.431,0.610,-10.406,-3.263,1.227,-10.426,-35.708,1.784,-119.157,99.068,-60.992,165.264,0.647,-2.737,13.296,-54.119,38.188,47.814,92.975,6.764,-172.451,122.184,-55.300,117.357,-176.317,-43.956,-158.605,139.643,-88.183,-137.924,-149.800,-52.976,180.000,-116.449,27.019,180.000,28.549,-80.782,114.133,-161.514,-35.690,180.000,-88.611,-40.698,180.000
-0.113,-0.097,0.143,-4.219,8.195,-0.599,-3.485,0.584,-10.453,-3.320,1.213,-10.472,-36.239,0.662,-117.997,98.600,-60.566,165.621,0.447,-2.173,11.631,-49.790,39.334,43.368,92.037,6.244,-171.897,136.321,-50.369,128.887,176.685,-53.894,-166.787,149.824,-86.654,-127.395,-155.250,-47.408,180.000,-115.467,27.673,180.000,66.851,-71.163,149.642,-167.499,-48.801,180.000,-87.719,-36.105,180.000
-0.109,-0.099,0.136,-4.014,8.615,-2.607,-3.819,0.529,-10.104,-3.666,1.198,-10.119,-35.614,-0.648,-117.287,94.702,-67.450,161.846,1.735,-9.144,10.789,-47.684,38.497,39.652,92.484,5.037,-171.568,146.617,-44.569,136.803,170.673,-60.136,-175.253,143.510,-84.475,-133.573,-156.535,-46.277,180.000,-113.560,27.703,180.000,80.175,-60.031,161.064,-169.111,-61.628,180.000,-85.697,-37.477,180.000
-0.105,-0.105,0.130,-3.930,7.644,-4.652,-4.102,0.510,-10.194,-3.946,1.235,-10.206,-36.565,-0.821,-115.985,91.450,-67.264,159.056,1.148,-6.599,9.889,-43.373,36.922,33.468,91.777,5.596,-171.708,161.736,-27.612,144.547,131.024,-77.141,143.169,131.599,-83.833,-145.454,-156.714,-45.295,180.000,-111.177,27.423,180.000,82.342,-55.261,162.622,-169.163,-65.307,180.000,-86.325,-39.570,180.000
-0.103,-0.109,0.128,-3.973,6.582,-5.652,-4.366,0.543,-10.422,-4.194,1.332,-10.435,-36.924,-0.422,-115.855,85.598,-71.066,153.377,1.693,-9.933,9.723,-41.743,36.117,30.732,92.001,3.151,-170.128,175.311,-7.123,146.519,51.180,-69.572,59.751,124.473,-85.419,-152.408,-157.925,-43.087,180.000,-107.216,26.360,180.000,82.370,-53.189,162.184,-169.587,-68.099,180.000,-86.105,-41.247,180.000
-0.100,-0.114,0.125,-4.095,5.163,-5.565,-4.928,0.533,-8.697,-4.789,1.283,-8.712,-32.537,1.423,-117.554,63.659,-81.935,130.936,2.831,-17.620,9.278,-39.402,34.249,29.191,94.387,6.212,-159.201,147.598,-31.406,129.388,111.844,-54.945,140.699,125.114,-88.487,-151.185,-156.846,-40.839,180.000,-105.524,26.532,180.000,80.430,-55.656,160.338,-168.977,-64.500,180.000,-86.630,-42.071,180.000
-0.096,-0.108,0.155,-3.772,4.869,-4.101,-5.079,0.554,-8.571,-4.938,1.316,-8.588,-30.737,1.118,-117.398,-9.687,-84.857,58.041,4.160,-26.906,9.130,-40.776,34.390,31.219,97.933,7.099,-143.939,-113.385,46.766,107.487,44.363,12.539,24.377,-67.531,-87.298,17.520,-158.533,-35.782,180.000,-106.307,27.838,180.000,78.906,-60.322,159.396,-167.400,-60.868,180.000,-87.448,-42.910,180.000
-0.094,-0.107,0.170,-3.538,4.802,-3.412,-5.288,0.567,-8.520,-5.144,1.358,-8.538,-29.874,1.264,-117.811,7.764,-85.682,75.554,3.907,-28.484,8.150,-41.453,36.310,33.804,94.629,8.723,-139.780,-85.561,43.570,86.937,59.996,27.965,6.607,-66.529,-84.803,19.198,-159.978,-34.928,180.000,-107.902,28.061,180.000,79.335,-61.804,159.934,-166.606,-60.702,180.000,-87.963,-44.245,180.000
-0.090,-0.106,0.179,-3.463,4.836,-3.846,-5.357,0.537,-8.483,-5.217,1.334,-8.498,-29.622,1.201,-118.028,-35.507,-81.300,33.137,5.515,-39.482,8.634,-44.661,40.258,37.398,89.959,9.143,-140.010,-111.492,34.196,102.478,60.744,21.461,21.680,-56.533,-86.109,29.306,-158.525,-34.354,180.000,-106.787,28.730,180.000,79.411,-60.528,159.626,-167.077,-62.833,180.000,-88.162,-48.321,180.000
-0.088,-0.107,0.179,-3.435,4.559,-3.806,-5.659,0.518,-7.942,-5.531,1.308,-7.956,-27.870,1.880,-119.021,-57.759,-70.039,10.777,7.093,-50.592,9.149,-42.600,38.532,35.895,90.024,6.630,-135.530,-106.541,33.542,99.319,69.916,22.202,16.015,-71.728,-86.742,14.074,-157.002,-34.310,180.000,-106.989,29.183,180.000,78.527,-61.576,158.889,-166.573,-62.898,180.000,-88.484,-48.962,180.000
