Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
0.142,-0.225,0.090,4.755,-12.474,163.308,-5.538,-1.681,9.353,-5.172,-2.638,9.482,4.859,-4.416,137.389,139.036,-47.660,-170.920,179.909,-0.011,96.803,1.825,-29.970,-12.158,93.206,77.802,176.160,-107.807,58.900,105.378,-160.181,-18.783,101.352,118.309,-37.336,-153.812,-173.281,-12.580,180.000,-90.012,-23.812,180.000,-87.586,-8.185,-18.025,-170.883,-28.970,180.000,-46.665,39.966,180.000
0.147,-0.228,0.088,5.256,-11.499,164.111,-4.502,-1.736,9.985,-4.116,-2.552,10.100,-0.216,-5.732,136.926,139.024,-37.947,-163.536,-176.898,0.894,106.064,12.320,-22.688,-5.561,83.043,44.975,-173.800,-62.658,46.074,69.574,-160.955,0.173,123.013,118.258,-40.362,-153.933,-168.334,8.368,180.000,-85.769,-17.807,180.000,-89.807,-15.205,-23.051,-169.349,42.112,180.000,152.953,65.439,-0.000
0.155,-0.234,0.082,6.091,-8.479,165.317,-3.095,-2.062,11.436,-2.610,-2.681,11.544,-3.451,-4.251,134.390,140.031,-39.798,-161.394,-172.944,3.588,116.824,16.227,-7.261,0.428,84.043,48.633,-176.378,-63.077,49.867,68.780,-179.819,-6.113,132.981,115.887,-49.034,-158.428,-163.707,26.025,180.000,-81.348,-10.459,180.000,-91.287,-19.349,-20.090,-168.935,20.901,180.000,160.848,72.934,-0.000
0.155,-0.235,0.075,7.063,-5.079,167.954,-2.360,-2.299,11.986,-1.817,-2.779,12.085,-4.160,-0.244,130.816,136.319,-45.787,-166.187,-170.650,5.211,118.880,13.503,-7.309,2.463,88.265,54.800,179.531,-77.983,51.089,80.595,-171.393,-3.783,136.878,109.622,-50.000,-164.714,-164.540,30.707,180.000,-82.492,-7.077,180.000,-92.033,-22.811,-17.018,11.447,33.258,-0.000,-32.110,-77.222,-180.000
0.162,-0.231,0.082,6.589,-6.306,169.327,-2.440,-2.042,10.761,-2.004,-2.499,10.849,-4.466,-2.074,131.262,134.388,-43.358,-166.637,-174.955,3.262,122.807,15.525,-14.309,-1.552,83.924,46.006,-175.015,-57.684,45.902,65.569,-170.526,-5.977,143.466,107.087,-52.504,-167.400,-164.402,32.848,180.000,-85.102,-6.519,180.000,-97.216,-33.113,-18.827,12.813,59.075,-0.000,-50.523,-67.677,180.000
0.158,-0.226,0.076,5.736,-6.208,169.783,-2.131,-1.917,10.878,-1.722,-2.312,10.950,-6.658,-3.409,131.538,128.681,-39.427,-168.794,-176.787,2.334,125.953,15.260,-15.927,-1.403,83.968,49.421,-176.137,-65.362,45.835,71.789,-168.119,1.266,142.821,104.654,-44.201,-168.393,-168.263,24.448,180.000,-89.443,-5.806,180.000,-97.130,-29.361,-17.800,12.869,52.674,-0.000,-42.732,-73.323,180.000
0.162,-0.225,0.076,5.353,-6.665,169.479,-2.159,-1.899,10.715,-1.760,-2.295,10.787,-8.149,-5.296,132.495,126.530,-32.131,-169.786,179.278,-0.427,120.595,14.614,-25.497,-4.186,82.496,45.725,-173.947,-61.210,40.643,70.306,-160.724,10.164,137.954,104.679,-40.643,-167.562,-168.530,19.388,180.000,-91.102,-7.580,180.000,-97.688,-28.500,-18.177,13.250,47.370,-0.000,-31.852,-80.083,180.000
0.168,-0.228,0.075,5.288,-6.871,169.130,-2.110,-1.890,10.760,-1.711,-2.277,10.831,-9.714,-7.015,132.958,127.183,-27.335,-168.396,179.087,-0.485,117.951,14.454,-32.946,-7.386,81.906,37.800,-173.168,-50.986,23.821,71.880,-151.459,15.550,145.696,105.518,-42.421,-167.632,-167.449,22.914,180.000,-90.280,-7.606,180.000,-95.924,-25.418,-16.750,13.050,33.208,-0.000,-34.058,-69.045,180.000
0.169,-0.237,0.077,4.420,-7.349,168.895,-1.993,-1.882,11.225,-1.580,-2.258,11.292,-10.111,-7.200,130.866,131.222,-31.240,-162.951,-179.180,0.530,122.843,9.450,-28.644,-7.888,79.878,35.568,-172.475,-48.454,21.570,71.955,-149.722,4.961,153.766,107.868,-48.802,-165.533,-164.930,27.436,180.000,-89.084,-8.733,180.000,-98.405,-30.427,-17.190,14.705,-30.877,-0.000,-14.124,-25.481,180.000
0.174,-0.237,0.078,3.904,-8.038,168.636,-2.037,-2.157,11.800,-1.542,-2.558,11.881,-10.931,-6.706,129.482,128.685,-27.550,-162.906,177.783,-1.617,126.084,14.465,-22.169,-3.152,80.574,37.614,-172.494,-52.169,21.700,73.980,-157.068,3.183,155.370,103.983,-52.220,-169.723,-164.619,40.173,180.000,-89.684,-2.264,180.000,-98.163,-29.237,-16.038,14.627,-68.359,-0.000,-64.420,3.278,180.000
