Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
-0.059,-0.264,-0.027,-11.633,-0.613,11.067,-0.980,0.795,-13.339,-0.769,1.001,-13.353,33.317,48.278,4.383,-79.605,-47.434,19.120,149.624,-48.350,141.889,-142.421,21.278,157.613,101.910,36.971,163.671,178.699,-43.873,178.124,-58.525,-30.455,-10.025,-107.415,-70.633,-23.321,-134.062,-50.226,180.000,-117.924,29.852,180.000,133.764,-81.003,-153.813,-144.821,-27.477,180.000,-100.279,-22.749,180.000
-0.069,-0.263,-0.017,-11.714,-1.141,10.867,-1.207,0.758,-13.657,-0.993,1.024,-13.673,32.917,48.185,5.026,-71.015,-54.468,24.327,135.102,-50.516,127.760,-138.908,16.405,158.993,-169.198,77.704,80.898,7.472,-76.580,7.679,-71.547,-29.699,-16.544,-105.663,-71.022,-22.058,-134.559,-47.832,180.000,-122.889,33.744,180.000,115.021,-79.435,-173.328,-148.187,-24.308,180.000,-101.434,-12.358,180.000
-0.074,-0.264,-0.014,-11.785,-1.207,10.819,-1.299,0.770,-13.729,-1.079,1.059,-13.745,32.071,48.033,6.090,-67.404,-55.300,26.616,132.378,-50.035,124.965,-139.510,15.742,158.971,-115.428,65.108,29.539,6.914,-54.777,8.443,-75.346,-28.724,-19.083,-105.210,-71.036,-21.860,-135.596,-48.619,180.000,-125.993,36.095,180.000,109.109,-78.081,-179.651,-149.999,-22.902,180.000,-103.076,-5.481,180.000
-0.080,-0.265,-0.010,-11.828,-1.857,10.645,-1.592,0.744,-13.940,-1.365,1.108,-13.958,33.193,48.221,5.022,-62.835,-56.608,29.812,131.050,-49.640,123.567,-140.774,14.974,159.219,-110.368,61.075,25.079,4.775,-51.663,6.078,-72.796,-30.005,-18.336,-103.481,-71.714,-20.486,-136.904,-48.679,180.000,-130.722,40.094,180.000,101.943,-76.968,172.714,-151.281,-23.299,180.000,-104.200,-4.090,180.000
-0.084,-0.264,-0.015,-11.717,-2.907,10.697,-1.862,0.708,-13.817,-1.638,1.135,-13.835,33.823,48.960,4.142,-49.926,-59.863,38.863,121.067,-49.462,114.601,-141.086,11.067,160.969,-100.056,42.112,17.688,2.124,-29.305,4.334,-75.133,-26.403,-21.727,-100.318,-72.046,-17.308,-137.440,-48.787,180.000,-132.382,41.203,180.000,97.042,-77.318,167.654,-151.290,-21.799,180.000,-104.633,1.963,180.000
-0.087,-0.264,-0.014,-11.779,-2.817,10.713,-2.028,0.763,-13.815,-1.786,1.230,-13.836,33.343,49.138,4.332,-51.520,-59.422,37.538,124.900,-49.147,117.819,-140.681,10.829,160.654,-97.097,35.867,15.971,1.486,-21.635,4.025,-75.464,-27.415,-24.194,-100.656,-72.194,-17.823,-137.844,-44.408,180.000,-137.320,46.007,180.000,96.511,-77.252,167.081,-151.520,-21.302,180.000,-105.176,3.761,180.000
-0.088,-0.264,-0.007,-12.032,-1.475,10.746,-1.718,0.746,-13.506,-1.495,1.130,-13.525,31.773,48.507,6.240,-51.810,-60.542,37.176,120.730,-51.264,114.877,-139.864,15.129,158.748,-95.311,32.219,14.326,1.189,-15.824,4.352,-76.837,-29.127,-27.218,-104.670,-71.852,-22.049,-137.984,-43.114,180.000,-138.718,47.450,180.000,102.862,-77.475,173.668,-151.167,-20.504,180.000,-104.566,5.159,180.000
-0.090,-0.263,-0.003,-12.213,-0.603,10.771,-1.505,0.744,-13.382,-1.291,1.075,-13.399,30.769,48.216,7.487,-52.777,-61.839,36.053,117.459,-53.241,112.603,-138.534,18.477,157.030,-93.673,28.417,12.882,0.734,-12.147,3.483,-76.727,-30.618,-27.823,-107.131,-71.647,-24.707,-138.180,-42.352,180.000,-139.371,47.929,180.000,106.410,-77.392,177.336,-151.174,-20.198,180.000,-104.528,5.320,180.000
-0.091,-0.263,-0.003,-12.252,-0.658,10.819,-1.505,0.763,-13.374,-1.287,1.093,-13.392,30.663,48.235,7.461,-53.461,-61.422,35.428,115.298,-53.756,110.866,-136.784,19.750,156.275,-90.643,15.583,11.846,-0.070,1.128,3.570,-77.386,-30.330,-27.633,-106.804,-71.597,-24.505,-138.499,-42.949,180.000,-139.400,47.660,180.000,106.108,-77.328,176.921,-151.295,-19.376,180.000,-104.589,8.536,180.000
-0.092,-0.263,-0.003,-12.314,-0.686,10.811,-1.530,0.789,-13.381,-1.304,1.124,-13.400,30.380,48.238,7.471,-54.101,-61.105,34.769,116.483,-53.315,111.778,-137.038,19.481,156.576,-89.237,9.163,11.671,-0.603,7.761,4.454,-76.878,-29.621,-27.806,-106.594,-71.582,-24.445,-139.295,-44.868,180.000,-138.948,47.410,180.000,106.336,-77.237,177.048,-151.561,-19.397,180.000,-104.767,6.978,180.000
