Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
-0.088,-0.154,-0.005,-6.108,8.640,23.034,-1.361,1.618,-15.012,-0.892,1.924,-15.055,13.057,32.947,17.834,135.001,-31.509,-162.362,52.443,-1.349,88.963,-108.818,52.713,154.910,81.270,49.165,-166.584,166.517,-10.098,126.177,-137.462,-41.152,-12.101,-125.368,-62.798,-39.166,-130.784,-47.897,180.000,-148.703,58.570,180.000,166.427,-69.468,-116.168,-142.031,-24.088,180.000,-95.189,19.527,180.000
-0.094,-0.148,-0.005,-4.493,5.216,22.643,-2.656,1.732,-14.399,-2.132,2.361,-14.476,13.821,34.788,15.615,131.586,-43.718,-169.412,54.793,-4.663,86.717,-110.587,47.232,157.160,78.326,45.269,-164.636,-162.167,8.208,113.932,-56.075,-71.314,69.269,-120.028,-65.409,-33.367,-135.819,-42.046,180.000,-144.611,52.332,180.000,156.826,-73.350,-125.637,-144.494,-24.789,180.000,-99.128,17.645,180.000
-0.098,-0.155,0.004,-3.706,4.155,22.485,-2.670,1.665,-14.243,-2.170,2.292,-14.317,12.755,36.224,14.255,126.047,-54.634,-176.622,40.758,-9.629,79.017,-112.620,46.723,148.030,76.967,38.771,-162.319,-152.608,7.914,104.881,-16.552,-50.140,99.383,-118.500,-66.420,-31.556,-138.778,-39.615,180.000,-144.217,50.056,180.000,157.207,-74.724,-124.060,-145.911,-23.487,180.000,-98.637,18.027,180.000
-0.101,-0.166,0.027,-3.032,3.547,22.089,-2.685,1.665,-14.145,-2.188,2.293,-14.219,12.842,35.743,13.206,117.040,-65.961,174.193,44.596,-21.471,69.634,-128.519,35.251,156.594,74.648,38.887,-158.937,-146.300,5.871,98.720,-10.952,-25.820,107.291,-115.731,-67.205,-29.018,-139.916,-45.109,180.000,-144.689,49.975,180.000,146.415,-77.493,-135.535,-147.697,-22.545,180.000,-100.112,25.104,180.000
-0.101,-0.178,0.049,-2.973,4.739,22.057,-2.622,1.889,-14.008,-2.075,2.494,-14.094,13.023,34.074,12.326,119.044,-66.186,176.999,44.816,-29.981,63.300,-129.221,33.819,157.907,71.445,35.149,-149.840,-144.903,7.897,101.063,-6.449,-12.524,107.318,-113.591,-67.471,-27.076,-142.417,-40.832,180.000,-145.882,49.580,180.000,145.759,-78.196,-135.686,-149.047,-21.312,180.000,-100.508,24.570,180.000
-0.101,-0.185,0.051,-2.363,4.197,22.064,-2.993,1.952,-13.420,-2.444,2.628,-13.518,11.945,35.039,11.833,101.657,-67.333,159.536,43.289,-33.629,59.548,-132.348,27.195,163.650,68.002,39.699,-149.814,-140.739,8.408,100.142,-12.721,-1.945,115.888,-117.125,-66.264,-29.280,-146.958,-32.114,180.000,-135.361,39.837,180.000,154.742,-80.230,-125.457,-149.376,-19.222,180.000,-95.716,21.464,180.000
-0.102,-0.182,0.044,-1.229,2.175,22.065,-3.774,2.041,-13.343,-3.182,2.907,-13.466,11.486,35.621,12.595,89.151,-71.936,146.220,44.743,-35.469,59.651,-131.226,25.335,161.650,61.029,53.111,-148.332,-115.729,11.405,95.443,-25.914,20.503,136.390,-115.300,-66.845,-26.516,-147.410,-34.938,180.000,-138.256,42.749,180.000,150.871,-80.772,-128.232,-150.030,-18.407,180.000,-98.776,25.044,180.000
-0.104,-0.183,0.036,-0.791,1.459,21.955,-4.232,1.935,-13.111,-3.663,2.899,-13.235,10.565,36.008,14.028,96.802,-74.290,153.324,53.143,-36.946,65.744,-132.191,22.927,163.571,58.676,59.969,-147.098,-111.498,18.736,97.210,-37.065,20.284,139.251,-120.746,-66.438,-31.315,-149.703,-34.988,180.000,-135.888,42.939,180.000,148.227,-81.349,-130.816,-149.905,-15.837,180.000,-99.368,30.090,180.000
-0.102,-0.183,0.028,-0.347,0.410,21.359,-4.682,1.834,-12.856,-4.138,2.887,-12.978,10.305,36.721,14.256,113.112,-70.753,168.718,50.380,-34.450,64.906,-122.108,25.388,160.414,65.714,62.529,-155.308,-157.177,13.408,118.854,-45.421,-19.443,101.864,-128.086,-65.390,-37.567,-148.661,-30.672,180.000,-130.830,38.902,180.000,142.457,-80.821,-136.215,-150.082,-16.663,180.000,-97.134,26.604,180.000
-0.103,-0.182,0.038,-1.383,3.523,21.177,-4.067,1.776,-11.956,-3.596,2.628,-12.064,8.491,35.603,15.345,130.464,-65.336,-173.816,28.358,-18.153,60.006,-106.878,46.920,127.285,75.231,56.432,-164.373,63.631,-39.505,72.497,-129.888,-13.191,-67.515,-137.977,-66.928,-49.084,-144.675,-41.388,180.000,-135.375,42.770,180.000,157.091,-77.632,-121.153,-148.030,-16.374,180.000,-97.083,26.288,180.000
-0.103,-0.180,0.050,-2.515,7.131,21.509,-3.437,1.848,-11.458,-2.987,2.537,-11.559,6.318,34.448,17.019,136.865,-56.407,-164.723,30.545,-17.632,62.828,-96.762,43.295,128.443,74.661,56.041,-161.396,36.190,-37.101,50.495,-125.545,11.129,-83.595,-145.830,-65.069,-57.716,-142.529,-43.220,180.000,-137.338,43.769,180.000,160.479,-73.636,-117.176,-147.837,-17.755,180.000,-100.021,32.007,180.000
-0.107,-0.182,0.050,-2.127,6.814,21.814,-3.544,1.934,-11.921,-3.052,2.672,-12.031,5.927,34.777,17.635,132.867,-49.234,-168.222,37.997,-17.620,68.819,-103.941,41.419,141.955,77.134,52.194,-162.071,55.086,-50.685,61.631,-122.848,6.215,-74.728,-144.980,-65.788,-56.845,-142.249,-45.928,180.000,-140.932,48.368,180.000,166.158,-73.247,-110.879,-145.863,-16.229,180.000,-100.518,33.081,180.000
-0.108,-0.185,0.042,-1.083,4.478,21.912,-4.320,1.740,-10.930,-3.896,2.581,-11.041,5.616,37.120,18.432,134.294,-46.973,-165.694,39.530,-17.998,69.472,-102.286,43.781,143.354,83.577,45.877,-168.526,86.642,-53.842,87.287,-125.836,-0.924,-65.058,-141.019,-67.680,-52.585,-141.288,-45.260,180.000,-140.426,47.806,180.000,159.974,-73.829,-117.920,-144.174,-18.010,180.000,-100.551,34.549,180.000
