Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
-0.119,-0.232,0.028,-5.574,8.477,23.589,0.861,0.959,-15.610,1.087,0.691,-15.595,-26.544,-7.660,-114.467,128.441,63.056,-112.764,-21.840,-0.310,90.773,-25.403,46.973,32.015,71.620,22.951,-156.335,94.701,-80.243,94.634,0.981,-7.166,-123.491,-98.892,-64.864,-10.725,-143.501,23.612,180.000,-138.688,22.567,180.000,143.283,-74.075,-125.162,-154.252,-31.851,180.000,-103.225,4.338,180.000
-0.117,-0.232,0.026,-5.549,8.367,23.264,0.564,1.021,-15.589,0.817,0.831,-15.579,-25.779,-7.713,-114.326,125.443,61.411,-113.689,-24.624,-1.127,92.456,-27.924,51.113,31.329,74.129,20.065,-156.808,111.469,-79.587,111.147,3.342,-12.815,-126.756,-103.266,-64.957,-15.523,-142.902,14.585,180.000,-136.940,26.878,180.000,154.927,-75.604,-114.204,-153.702,-30.107,180.000,-101.994,1.238,180.000
-0.119,-0.230,0.030,-5.514,8.479,23.180,0.012,1.164,-15.530,0.323,1.118,-15.532,-26.447,-7.831,-115.369,131.608,53.933,-127.367,135.797,0.739,89.240,-151.032,-43.996,-156.218,76.734,16.770,-157.265,121.515,-75.631,120.709,-0.324,-22.397,-125.116,-105.403,-66.317,-18.674,-142.419,8.631,180.000,-137.964,28.421,180.000,161.045,-75.533,-109.205,-153.171,-30.569,180.000,-101.798,-2.077,180.000
-0.120,-0.224,0.042,-6.339,11.063,23.346,0.084,1.307,-14.918,0.418,1.241,-14.920,-30.853,-7.038,-118.598,132.431,45.701,-136.956,121.949,-2.201,91.372,-144.303,-37.687,-160.912,79.142,11.785,-157.588,130.760,-67.595,128.551,-6.601,-25.177,-122.568,-112.576,-66.447,-27.130,-141.978,7.100,180.000,-138.816,27.058,180.000,166.685,-72.794,-104.485,-153.073,-30.973,180.000,-101.461,-5.205,180.000
-0.124,-0.219,0.043,-5.844,10.537,23.331,-0.572,1.479,-14.714,-0.176,1.579,-14.733,-30.844,-6.736,-119.059,134.902,39.063,-148.683,121.138,-4.118,92.484,-133.925,-32.103,-158.697,81.305,10.280,-158.345,136.529,-65.238,133.767,-14.106,-21.716,-122.963,-113.328,-67.334,-28.349,-140.345,9.853,180.000,-140.628,24.743,180.000,158.322,-71.806,-113.270,-152.516,-33.585,180.000,-100.931,-2.630,180.000
-0.127,-0.212,0.040,-4.651,8.238,22.973,-1.992,1.467,-13.222,-1.599,1.897,-13.273,-30.989,-0.894,-121.168,136.342,21.172,-153.166,133.669,-23.153,110.573,-115.549,-27.606,-145.567,82.252,10.633,-164.160,127.173,-60.805,123.503,-37.825,-24.423,-120.220,-109.997,-69.989,-25.966,-140.221,4.747,180.000,-140.106,25.973,180.000,155.192,-74.008,-117.512,-151.694,-34.017,180.000,-99.631,-3.653,180.000
-0.142,-0.204,0.034,-2.355,3.380,22.273,-3.684,1.444,-13.072,-3.252,2.267,-13.148,-27.515,1.514,-119.446,139.575,9.634,-155.651,176.424,-5.067,144.720,-84.356,-53.234,-76.100,82.148,16.886,-168.231,147.186,-52.665,140.959,-46.671,-44.282,-88.445,-101.092,-71.686,-17.098,-140.342,-1.653,180.000,-139.156,31.236,180.000,139.930,-77.091,-133.703,-151.311,-33.610,180.000,-98.007,-1.168,180.000
-0.154,-0.192,0.040,-2.212,4.008,21.982,-3.762,1.536,-13.360,-3.295,2.395,-13.443,-28.920,1.552,-119.788,145.776,-5.340,-156.988,-163.401,33.179,151.423,-44.235,-41.799,-19.932,80.014,21.344,-165.377,149.785,-52.839,143.843,-42.638,-56.702,-64.878,-106.307,-72.405,-22.877,-140.670,-1.308,180.000,-139.886,32.021,180.000,143.158,-76.960,-130.362,-151.839,-31.603,180.000,-98.435,-0.489,180.000
-0.161,-0.185,0.048,-2.552,5.243,21.789,-3.427,1.645,-13.986,-2.917,2.454,-14.072,-32.388,2.332,-120.579,153.744,-37.981,-157.099,-65.789,80.573,66.079,-22.742,-14.966,2.162,77.186,24.245,-161.451,167.431,-28.117,154.680,7.637,-45.182,-5.945,-113.299,-73.262,-30.768,-141.017,-7.007,180.000,-138.285,33.364,180.000,146.155,-75.542,-127.443,-152.113,-30.087,180.000,-99.223,2.518,180.000
-0.160,-0.177,0.077,-4.839,11.037,21.837,-2.562,1.964,-14.235,-1.988,2.561,-14.323,-34.069,-0.762,-123.818,138.052,-28.279,-169.459,-48.136,79.554,48.611,-23.408,-3.057,8.063,73.935,25.249,-154.689,130.816,-60.332,126.886,90.632,-78.372,89.261,-132.887,-69.719,-52.391,-139.182,-15.634,180.000,-135.722,34.330,180.000,163.198,-70.966,-110.938,-150.377,-28.040,180.000,-98.977,2.439,180.000
-0.157,-0.169,0.092,-6.185,14.364,21.948,-2.371,2.190,-14.281,-1.744,2.738,-14.376,-33.081,-2.885,-125.420,129.746,-2.900,-172.916,-133.387,76.471,132.583,-24.833,4.485,15.453,71.165,26.352,-149.285,92.416,-66.936,92.223,145.395,-70.481,151.948,-135.730,-65.646,-56.381,-140.556,-14.324,180.000,-131.653,33.382,180.000,169.690,-68.269,-104.961,-148.769,-25.601,180.000,-98.081,5.051,180.000
-0.155,-0.165,0.095,-6.179,14.335,21.839,-2.510,2.139,-13.896,-1.909,2.711,-13.992,-31.782,-2.426,-124.811,124.171,22.053,-174.465,-165.242,69.616,164.303,-32.179,14.587,31.891,69.855,26.708,-148.750,45.447,-60.213,49.488,163.860,-48.421,-178.748,-132.763,-64.136,-53.763,-142.825,-13.076,180.000,-129.048,33.074,180.000,170.922,-69.590,-104.272,-148.294,-24.920,180.000,-96.676,5.493,180.000
-0.156,-0.160,0.099,-6.008,14.212,21.274,-2.451,2.047,-13.708,-1.884,2.599,-13.797,-30.033,-4.066,-124.266,121.225,19.270,174.198,-152.480,66.739,150.442,-25.127,14.908,19.846,70.416,25.756,-152.454,58.064,-63.838,60.774,149.351,-48.211,162.910,-132.766,-62.998,-53.457,-144.914,-12.183,180.000,-126.128,32.056,180.000,175.989,-71.528,-99.330,-147.620,-23.219,180.000,-95.949,5.358,180.000
-0.157,-0.156,0.101,-5.774,13.780,20.792,-2.525,1.943,-13.372,-1.996,2.502,-13.458,-28.251,-4.036,-123.178,118.741,11.861,173.344,-132.612,70.626,130.953,-23.976,15.692,18.675,73.380,20.914,-155.251,83.926,-66.730,84.417,147.491,-52.852,158.341,-132.236,-62.533,-52.542,-145.117,-11.767,180.000,-126.171,31.958,180.000,-179.800,-73.193,-95.090,-147.823,-21.985,180.000,-95.797,5.520,180.000
-0.157,-0.152,0.102,-5.630,13.299,20.508,-2.484,1.836,-13.229,-1.988,2.381,-13.308,-27.373,-3.124,-122.358,117.100,2.790,175.751,-97.106,76.064,96.899,-25.156,19.181,21.414,73.250,20.646,-155.224,78.605,-67.286,79.468,153.684,-52.957,166.256,-130.552,-62.088,-50.681,-145.391,-10.394,180.000,-125.886,31.417,180.000,176.236,-74.132,-98.983,-148.925,-21.635,180.000,-95.584,7.818,180.000
-0.156,-0.150,0.105,-5.602,13.218,20.080,-2.385,1.695,-12.769,-1.943,2.202,-12.838,-25.809,-3.508,-121.421,115.880,-10.968,176.550,-40.172,69.798,41.974,-27.552,24.385,25.706,73.136,19.978,-155.728,79.728,-67.182,80.517,156.839,-54.593,173.075,-130.739,-62.084,-50.692,-145.736,-9.979,180.000,-126.401,31.215,180.000,170.855,-73.860,-104.113,-149.311,-22.903,180.000,-96.010,7.903,180.000
-0.153,-0.150,0.109,-5.827,13.542,19.934,-2.008,1.567,-12.993,-1.598,1.993,-13.047,-26.873,-3.319,-121.075,115.308,-22.678,178.371,-19.385,57.164,22.723,-27.245,20.977,28.833,75.253,15.992,-154.178,95.143,-66.132,94.705,156.916,-48.483,178.407,-130.544,-61.891,-50.575,-146.066,-9.700,180.000,-127.342,31.590,180.000,165.154,-73.214,-109.764,-150.039,-24.349,180.000,-96.395,7.860,180.000
-0.150,-0.153,0.112,-5.827,12.811,19.644,-1.783,1.231,-13.567,-1.441,1.623,-13.604,-24.890,-2.916,-120.090,113.382,-15.973,178.692,-23.170,60.632,26.155,-32.637,28.573,33.585,75.681,16.877,-152.359,104.775,-62.014,103.110,153.259,-59.952,-179.487,-129.760,-62.598,-49.702,-146.717,-8.781,180.000,-126.698,31.956,180.000,158.548,-73.000,-116.426,-149.646,-24.925,180.000,-95.286,9.032,180.000
-0.147,-0.158,0.110,-5.368,11.048,19.445,-1.949,0.926,-13.232,-1.683,1.353,-13.260,-19.959,-1.435,-118.555,115.074,-33.185,-177.702,-10.709,48.979,14.071,-38.322,27.930,32.121,75.661,18.858,-149.991,71.787,-55.191,74.882,163.183,-49.251,-160.567,-124.515,-62.923,-44.093,-146.481,-9.370,180.000,-125.622,31.816,180.000,155.227,-74.243,-119.213,-149.123,-24.228,180.000,-95.056,8.072,180.000
