Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
-0.136737772,-0.192597809,0.082243938,-3.085315738,14.5403558,14.26141925,-3.378787697,1.034325967,-13.29946613,-3.045706743,1.797502549,-13.34357022,-38.92918816,-5.025877434,-122.5006577,-165.3489294,28.35262367,162.4352544,-174.8693087,37.53890256,180,-24.6112452,-46.31228669,-30.99174832,29.1625712,5.17209842,-149.7494281,21.73386702,83.15472889,1.02E-13,33.12200707,26.45435141,164.9788727,-151.8121963,-66.0337048,-66.55035083,-154.6693653,-10.8395578,180,-112.6687769,31.9386335,180,123.3298257,-65.61701903,-155.4999885,-162.3586586,-34.00667668,180,-89.3572747,-0.74069448,180
-0.139830237,-0.190120236,0.081981148,-3.002036024,14.45331985,14.28903889,-3.196738708,1.007741491,-13.31651042,-2.874619562,1.729082263,-13.35779853,-39.55921652,-5.230304015,-122.4110477,-163.9307082,34.66874239,161.7839484,-174.7342387,29.60333476,180,-25.3993922,-48.18758366,-33.42923856,28.83315416,5.427886415,-149.677314,21.98499185,83.09758495,0,34.3233406,27.18998941,163.3882369,-156.0548333,-69.85606511,-69.985381,-154.3464605,-19.34351466,180,-112.2892273,32.38648904,180,118.8687499,-61.33689642,-159.4903299,-161.2248855,-42.8892613,180,-91.93719772,-4.720151174,180
-0.142337668,-0.186527649,0.082330869,-2.890182924,14.39751588,14.38532556,-3.123465731,1.030362639,-13.32586767,-2.797756382,1.734748148,-13.3680886,-39.39827618,-6.050221485,-121.7916504,-162.7096605,39.23307106,160.9336234,-175.1092959,24.39805469,180,-25.12980218,-49.01020935,-33.96521538,29.47806586,4.076932566,-149.4132123,22.1313311,78.92569214,-1.78E-13,34.81367358,29.455632,161.0255867,-159.4719639,-72.0210449,-72.59597597,-154.7812148,-21.99401083,180,-111.747496,32.19737881,180,117.0232245,-59.48706389,-160.8980766,-160.5625573,-44.71696175,180,-92.6590423,-3.187662064,180
-0.144030502,-0.182830232,0.082394431,-2.845017308,14.54506786,14.42007094,-3.113286159,1.074658447,-13.1561286,-2.78252966,1.76823653,-13.20112729,-39.13137738,-6.793878012,-121.3408809,-162.2732216,41.9373522,160.9056061,-175.2704722,22.36208909,180,-24.29811737,-48.76116926,-33.43750165,30.99219881,2.516134473,-149.5000024,23.19119082,76.00478162,0,34.56409422,30.2709486,159.9558116,-162.5583613,-72.25148489,-74.59839394,-154.8485653,-23.43625712,180,-112.9529031,32.4265386,180,116.702934,-59.32305686,-160.8114853,-160.3698242,-45.91086492,180,-93.35204228,-4.456354187,180
-0.146013623,-0.180041594,0.08244049,-2.730788517,14.45139861,14.44050819,-3.005092559,1.090283095,-13.11057241,-2.675058399,1.756448202,-13.1556719,-39.06375749,-7.811018602,-120.4221602,-162.10431,44.46536482,160.5606724,-175.4781512,19.67898971,180,-23.92810302,-48.68586366,-33.39896216,31.3205742,2.151668792,-149.5195996,23.69408925,74.44793517,-7.63E-14,34.68563753,30.75469519,159.2597478,-163.6595645,-72.93766436,-74.54326901,-155.2821122,-24.61750047,180,-113.8134315,32.41860314,180,115.8156708,-59.08044865,-161.2868215,-160.3923914,-46.61542328,180,-94.21446661,-4.674925994,180
-0.147281194,-0.17772255,0.084016363,-2.64551941,14.41954526,14.39321926,-2.93322478,1.101070324,-13.0189802,-2.605428584,1.746368468,-13.06414259,-39.09185218,-8.169669322,-120.0439339,-161.1734271,46.89912871,159.9310993,-175.3584425,16.92965184,180,-23.11031041,-48.42117285,-33.00235171,31.9412765,1.621624169,-149.5762355,24.14326436,70.40100209,0,35.33870791,32.87774467,157.0942582,-160.9859542,-72.70666527,-70.75342269,-155.5113277,-27.78726267,180,-113.8571035,32.57436771,180,115.4578731,-59.31579362,-161.4102716,-160.4754622,-46.88760967,180,-94.19851187,-5.067689561,180
-0.148977762,-0.175996409,0.08740711,-2.476901301,14.41829797,13.88460058,-2.842837256,1.053694581,-12.76120771,-2.536005275,1.667228492,-12.80300919,-39.55720667,-8.173960475,-119.8937044,-159.0945395,51.1658563,158.8265785,-174.9485324,12.14653968,180,-21.77211512,-48.14172917,-32.07827473,32.57672904,0.630927911,-149.7483145,24.76830483,67.22955389,0,35.699374,33.60571039,155.4276282,-157.6466727,-71.91681891,-66.66991338,-155.6291055,-27.90395561,180,-115.0013821,32.86156324,180,114.717526,-58.97254919,-161.977845,-160.7505374,-47.48636079,180,-94.11817504,-6.083670183,180
-0.151023428,-0.174963217,0.087062039,-2.452444726,14.57105813,13.7666595,-2.70037338,0.998990231,-12.56600352,-2.415052098,1.572609036,-12.60371205,-39.25904768,-8.263805003,-119.5284637,-159.3383383,50.73933945,159.8390956,-175.0367171,14.17992738,180,-19.2322879,-46.55635109,-28.65772626,33.00417211,-0.464039155,-150.0304069,25.2953403,68.65313673,0,33.29463189,30.92016901,157.8287838,-157.4214396,-68.95928865,-65.53664814,-156.1752272,-22.01054383,180,-116.7041676,33.11838801,180,116.512491,-59.40538967,-159.7245269,-160.7419839,-46.30654625,180,-94.80992449,-6.629635384,180
-0.151434878,-0.173810839,0.087941443,-2.449200422,14.78278772,13.69307396,-2.613738678,0.97019999,-12.51112967,-2.338496496,1.522566031,-12.54664822,-38.96277021,-8.653982571,-119.2280853,-161.7475432,44.88916513,162.1855581,-174.9684029,19.91344884,180,-18.94067266,-45.94971575,-28.18701245,33.03409728,-1.046206671,-149.9504289,25.36565796,68.3871699,-2.54E-14,32.74629288,29.56788741,157.9569083,-157.2560397,-68.80741341,-65.23177043,-156.3136378,-18.90265127,180,-115.939416,32.4202668,180,116.8805553,-59.5787028,-159.2374301,-160.801289,-45.47573562,180,-94.26103509,-4.871672911,180
-0.151530237,-0.173287867,0.088864838,-2.465522745,14.97800568,13.63146431,-2.565495665,0.951326112,-12.44828852,-2.297285001,1.49068825,-12.48248663,-38.79977567,-8.86389249,-119.0050644,-162.5537879,41.52050015,162.9739269,-174.9483347,23.13342299,180,-18.52342994,-45.79338926,-27.58282945,33.11474712,-1.620663692,-149.8578102,25.33146584,67.78470358,0,32.02429303,29.16013984,158.0659435,-156.7392359,-68.56201323,-64.76457812,-156.4721927,-19.20298674,180,-115.6295013,32.44401665,180,117.2039887,-59.60500318,-158.8444156,-160.8025921,-45.02339176,180,-93.95772413,-5.027624692,180
-0.15115909,-0.172653008,0.089815648,-2.506393381,15.23234003,13.60342637,-2.446422729,0.922770459,-12.41049972,-2.188405003,1.434776232,-12.44236002,-38.75497167,-9.276343895,-118.8052818,-162.4306374,42.04227779,162.7165128,-175.2193195,22.78341736,180,-19.20893853,-46.00143578,-28.27120241,32.95858174,-1.841849095,-149.8427012,25.55183184,68.45188995,0,32.11794232,28.70767006,157.5872862,-155.5423184,-68.11854701,-63.54753934,-156.5289475,-19.87930934,180,-115.3004242,32.54505878,180,117.8301721,-59.88650951,-158.1746566,-160.7980211,-44.99131834,180,-93.84338928,-5.857510934,180
-0.150417762,-0.172448081,0.089988473,-2.462639086,15.12854382,13.56157235,-2.477725623,0.910718132,-12.41548068,-2.221471243,1.429875621,-12.44699732,-38.39996666,-9.289599465,-118.6140731,-163.132191,38.68146952,163.2766631,-175.3902199,25.57945549,180,-19.82919338,-46.59877403,-29.20354717,32.88038016,-1.627691546,-149.7026527,25.56465924,68.43872407,0,32.30515662,28.82115157,156.5923013,-153.7956435,-68.44321795,-61.78060343,-156.8441506,-19.60235491,180,-114.6995302,32.45428733,180,117.8074271,-60.16130384,-158.219678,-160.8080695,-44.99293623,180,-93.44566733,-6.492209151,180
-0.150754278,-0.173139723,0.088410991,-2.303154775,14.59592587,13.42872982,-2.569937561,0.874130557,-12.46225089,-2.318337613,1.415667334,-12.49258479,-37.6165332,-9.019234261,-118.3942968,-164.9109998,30.6229189,164.3321982,-175.8270794,33.77534699,180,-20.57838188,-47.52806648,-29.75178578,32.53963549,-1.0664993,-149.776752,25.47152481,69.63800287,-2.54E-14,31.88055892,29.24131194,156.0602341,-153.33392,-68.84106806,-61.20975286,-156.7321351,-20.42013291,180,-114.7786635,32.52498779,180,117.0954906,-60.53831307,-159.0616886,-160.7673416,-45.03516633,180,-92.99238499,-6.993665405,180
-0.151310744,-0.173978918,0.086607509,-2.168007223,14.05047642,13.38555623,-2.629194457,0.798150411,-12.2967955,-2.396809242,1.346534067,-12.32371772,-36.93985492,-8.180103451,-118.4460058,-165.2667832,26.92285557,165.1304793,-175.512058,37.96097124,180,-20.16030413,-47.70316954,-28.75801101,32.18670438,-1.710337668,-150.2274044,24.85459595,76.41041373,0,29.57719687,23.84357309,160.3242161,-154.0313395,-68.22843116,-61.7082408,-155.6438678,-20.43702838,180,-115.4362112,32.68368965,180,118.0635106,-61.55747912,-158.0600309,-160.2957609,-44.04976795,180,-92.54021362,-7.239952832,180
-0.151230441,-0.174604306,0.085885138,-2.128441261,13.83778194,13.35491787,-2.663512159,0.741165869,-12.33289081,-2.441909007,1.299006847,-12.35702554,-36.43201938,-7.857476658,-118.4208061,-165.6062246,25.1865679,165.224487,-175.4016181,39.28527689,180,-20.85294136,-47.98261455,-29.39991998,31.26284373,-0.986509891,-150.3844917,24.43893863,78.1294877,-7.63E-14,29.97525148,23.16429397,160.4577136,-153.2142538,-68.4041982,-60.84315386,-155.5710935,-20.54906238,180,-115.5684762,32.73549881,180,117.6835955,-61.67932633,-158.5204618,-160.3324256,-44.05180782,180,-92.46690071,-7.342407749,180
-0.151220049,-0.174849302,0.086008332,-2.125236757,13.80230507,13.31682016,-2.689184096,0.710685986,-12.40155379,-2.472098474,1.277319147,-12.42415953,-36.28964272,-7.582150396,-118.7183072,-165.4848214,25.37019431,165.0537415,-175.3074226,39.15567072,180,-21.17834421,-47.83485207,-29.56531063,30.39471449,-0.197857397,-150.4111928,24.28092763,79.80628295,-1.53E-13,30.4989348,22.44760173,160.573601,-152.4787481,-68.57302508,-60.1235096,-155.2580763,-20.77222426,180,-115.6825702,32.66195694,180,118.0544309,-62.24227633,-158.2164104,-160.1523181,-43.52429265,180,-92.53946046,-7.433086602,180
-0.151169993,-0.175050211,0.086544424,-2.170353283,13.92616918,13.31497191,-2.648662654,0.673599569,-12.52241598,-2.438084169,1.236918564,-12.54291909,-36.79300777,-7.111789531,-119.3170558,-165.8221339,24.38690323,165.0292481,-175.2531216,39.76781207,180,-21.77582834,-48.11492723,-30.03032797,29.64094545,0.195880725,-150.2537065,23.84651088,82.18265369,-2.04E-13,30.65735163,20.87344564,161.6148633,-152.7350844,-68.55697736,-60.36610414,-155.09288,-20.47357234,180,-115.5306013,32.46863912,180,118.2718749,-62.17607234,-158.0008076,-160.1504284,-43.53894345,180,-92.55923394,-7.472970102,180
-0.151112261,-0.174869048,0.086959488,-2.199641538,14.00374264,13.30726502,-2.636921518,0.664550818,-12.61547157,-2.426643623,1.229315623,-12.63542324,-37.55413993,-6.379431436,-120.0474424,-166.0892511,23.27080608,164.889879,-175.2057669,40.76749129,180,-22.01142982,-48.098445,-30.1846417,28.92236324,0.403585815,-150.0242307,23.28803473,85.78619602,2.04E-13,30.30614412,18.03877372,163.4403105,-152.8272302,-68.70500376,-60.42108397,-154.9013581,-20.6928357,180,-115.2882503,32.34059128,180,118.3723396,-62.1301342,-157.8918247,-160.1739499,-43.62787647,180,-92.68308168,-7.700765165,180
