frame,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,mw-equal_lmw-balanced_ignorevisibility_excludebase,mw-equal_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-balanced_byvisibility_includebase,mw-decreasing_by_half_lmw-dempster_byvisibility_includebase,mw-decreasing_by_quarter_lmw-balanced_byvisibility_includebase,mw-decreasing_by_quarter_lmw-dempster_byvisibility_includebase,mw-equal_lmw-balanced_byvisibility_includebase,mw-equal_lmw-dempster_byvisibility_includebase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.8027089819243625,0.7498578284629268,0.7023703591838171,0.656125599905061,0.5016931137027265,0.4686611427893292,0.0556916049203973,0.0560013361240026,0.0487301543053476,0.0490011691085022,0.0348072530752483,0.03500083507750163
2,1.2536029766872656,1.177916084886757,1.1408794779965397,1.0709015207807997,0.8671173793799953,0.8143077435191114,0.086052263836239,0.0871920275345776,0.0783687188690749,0.0792911231476247,0.0595060568783544,0.06024246344343699
3,1.5625236171377337,1.4699877103258128,1.4474004438833414,1.3574985695489767,1.1877064104007176,1.1083881626080123,0.1062423722958497,0.1077555726308955,0.0990268274110822,0.1000323506384515,0.0824186537220492,0.08275564801038664
4,1.7658419711586872,1.6640230347072544,1.642754830183689,1.542400271106925,1.393031836191458,1.296948807280413,0.1179185544345391,0.1196996613501358,0.1107733400384108,0.1119241073544284,0.0959957041105862,0.09597701042523842
5,1.8993762249210324,1.7909941190909338,1.7708478680852873,1.66446693340725,1.5170383646640486,1.414878485152976,0.1257722328898577,0.1276983642905396,0.1180110039902166,0.1192981954703661,0.1029753747644375,0.10305894196881978
6,2.105763293554395,1.991785764395572,1.9610652105732649,1.8493327986294328,1.6833956694853622,1.5753320263913164,0.1317607927114795,0.1337310855585991,0.123486869007623,0.1247880777967334,0.1080463568011515,0.10803631345901471
7,2.630642226779488,2.500689060908029,2.466321218088607,2.3408643135921463,2.1560779917246173,2.037898228392249,0.1640100894299479,0.1678075028143876,0.1545008927649493,0.1577437127222286,0.1372472304053653,0.139381116841747
8,2.90110282606253,2.7669013115710226,2.734345450854996,2.603298746974476,2.4160422162945063,2.2926821808195266,0.1812457806238049,0.1864975493863505,0.1713716421622568,0.1758774414168003,0.1534322287250816,0.15679815403187342
9,3.139539953407265,2.997380972206368,2.962046178284711,2.8230182520239344,2.636943182747215,2.5065394473567864,0.1957139495437727,0.2016902014535233,0.1852773115068724,0.1904421464815573,0.1671548308144129,0.1712636607819547
10,3.3421551901591946,3.1936370345714007,3.149165506183439,3.0041204638529577,2.8198465755032176,2.6838566697353827,0.2087371706371394,0.2154531069564723,0.1972338433676713,0.2030577150775973,0.1787061159177635,0.18347644770598331
11,3.4957587410200324,3.342005762824673,3.290655292597285,3.141325020011527,2.9439750896440606,2.8047211556344123,0.2183653391613175,0.2255670401796793,0.2061377135128766,0.2124720332832923,0.1865695794565761,0.19184801382393538
12,3.729083621232316,3.55360823863012,3.5019722212674926,3.332300555623298,3.1238523355268244,2.9660682026742125,0.2297171163666182,0.2357768435173594,0.2163632878751902,0.2215836182268274,0.1952247878362038,0.1994157277580502
13,3.8741284778284353,3.690174814546552,3.641692869298705,3.462173901758819,3.252549101967874,3.0847830988189413,0.2366211142574654,0.2425074359003115,0.2233410850278119,0.2282459311846983,0.2021280448086902,0.2059806878396153
14,4.016901239674716,3.8226103549172814,3.777822712435258,3.5873382782296708,3.377819768935236,3.1978990947579424,0.2444962953839457,0.2501121622203417,0.2310256871126983,0.2355702809526068,0.2096504393078014,0.21299454754814354
15,4.211634498897251,4.007337082407915,3.958997325550511,3.759814121492554,3.539694738742908,3.350708162508845,0.2580130233681637,0.2640109763676926,0.2435844245528439,0.2485492033172863,0.22097005147646,0.22455890778492277
16,4.464826400012656,4.245044754696828,4.18541796618583,3.9730973938334526,3.7277850166031135,3.528406276266613,0.2764100814322306,0.2827256533163814,0.2599073525045838,0.2652192976725931,0.2342897243024884,0.23819764687882103
17,4.648118945161422,4.420266454993116,4.356583408913781,4.13528136132954,3.879384829279757,3.672708040184342,0.2885311903614982,0.295283938892829,0.2713194632383501,0.2768940177536579,0.2443555929565046,0.24856261058109813
18,4.811872106561856,4.578539552061528,4.5099056861139655,4.282252358052321,4.017424383444893,3.803739798860551,0.2977211494290557,0.3048723749072779,0.2802581000343567,0.2861108455142236,0.2529914858432749,0.257374196406617
19,4.965130628829713,4.734394350015937,4.64830002771884,4.422932534649282,4.138767871151061,3.92325524542244,0.3076748336206643,0.31616522725945,0.2890805977112434,0.2961187975107531,0.2607458540660591,0.2657615520301315
20,5.338058465934938,5.10659713168231,4.9931234517085175,4.768921665236196,4.440144604859782,4.227778543506833,0.3294998077129921,0.3402190794664663,0.3093205552836817,0.3186203324993578,0.2786221665183341,0.2858592870202438
21,5.72327030055499,5.487821362840904,5.350245823811627,5.124689846194745,4.75250523528209,4.542877666327105,0.3572443710885493,0.3704565121302717,0.334911016475813,0.3467543605363199,0.3008118210050832,0.31066572116237523
22,5.972850722367682,5.733466469972081,5.599729863674952,5.3715899546894965,4.985788401294629,4.776787380968488,0.3714406011412078,0.3857152024031585,0.3499010798900232,0.363029207420111,0.3157502340469828,0.327216572278231
23,6.280631522690402,6.029154137702853,5.896387369085796,5.657463301145097,5.277202189416313,5.059092019232629,0.3890328199769164,0.4038725599114562,0.3674556375448138,0.381279576524988,0.3342378328726219,0.3466679417215827
24,6.543981436918305,6.271430267774021,6.129644303968482,5.872961876655774,5.488359299566882,5.257508185054314,0.4053566165805985,0.4197128287098373,0.3819365218386222,0.3954268652512173,0.3479116486658152,0.360436955759054
25,6.76386959554881,6.465991163068945,6.323838979824038,6.046392302443628,5.647467160989711,5.401298577273826,0.4198468827633457,0.4331010170287632,0.394207841330737,0.4068344225495553,0.3574466236582926,0.36938363648638073
26,7.030187455964842,6.700277227396186,6.558123511253148,6.2548834048667405,5.833429110808304,5.568774063543445,0.4390231417206944,0.4509772559933562,0.4106467647074381,0.4223271127499768,0.3701412975716639,0.38149213222853856
27,7.211755534271756,6.8589465804083,6.7413034276791945,6.4129073783668735,6.01012576797236,5.719059841712418,0.4519048437676669,0.4628508143592858,0.4238586680680873,0.4343372099909589,0.3829593624344625,0.3929428272258983
28,7.390459839943618,7.028831091528932,6.919109437804172,6.580311459070709,6.180583317607703,5.879202266676536,0.4589608274095033,0.4697286525995525,0.4315849658079959,0.4417935642143636,0.3912982671149874,0.401082705110931
29,7.519480447917197,7.148885203413435,7.043839313729202,6.69609177650273,6.309776695001521,5.996777549823159,0.4653490738963117,0.4758563997024859,0.4377673069733868,0.447696381212828,0.3983382147220206,0.4076604840892217
30,7.713583563479897,7.339391328955587,7.220316763061769,6.869331075908841,6.458691042934279,6.142991371415748,0.4775551555605563,0.4889271774706505,0.4489099574038884,0.4596327959694578,0.4077993129697373,0.41780035968704926
31,8.021588581923467,7.638492802578804,7.501595962327109,7.142883332739324,6.70009727773232,6.378414434748819,0.4935770483435284,0.5056602368829788,0.4630409894763146,0.4744035246030423,0.4192541119685008,0.4298018000375656
32,8.286690998655219,7.899627452968806,7.753976490226441,7.392346256457453,6.927570926921155,6.604516070248974,0.5084104377545662,0.5215869229847702,0.4766291765459879,0.4890652729608128,0.4309655066375,0.44255342701373607
33,8.596877373514582,8.182240258392312,8.03664942190651,7.648512250438364,7.173808226910643,6.825499901542168,0.5288240779686765,0.5412871348753965,0.4945754898614366,0.5061566957084336,0.4457077205252094,0.4562433987454628
34,8.955541007131252,8.523146169941784,8.359860849577144,7.955773199444582,7.436502032966467,7.074683716128588,0.5434875436447094,0.5556415876976756,0.5076520003585405,0.5189463464890921,0.4564391831881319,0.4666975643574554
35,9.231313921781153,8.787751349674371,8.608553249310553,8.195695811635504,7.648896631148086,7.282045982158102,0.5581155860499628,0.5706214542944975,0.5203052938657731,0.5319947352245306,0.4664610524667225,0.47722736416288575
36,9.47369322971756,9.007783467362652,8.84297116909189,8.410708534621955,7.870412533654416,7.489960993399364,0.5738127149621722,0.5856367413019428,0.5348812224896913,0.5460745219922812,0.4791822118354055,0.48985675243114823
37,9.713286721261442,9.231511260657042,9.061227136198609,8.61514567850012,8.068562437640574,7.676271072817524,0.5898702854128969,0.6017118950789813,0.5492970194189053,0.5605485393475038,0.4915359354318666,0.502259840424957
38,9.955487288019704,9.464676715546782,9.286186476047224,8.831564973167685,8.2623926167973,7.863425769754622,0.6024921612446573,0.6146980529593267,0.5609813018557008,0.5725525633085332,0.5016049735611758,0.512674787166045
39,10.16318093060092,9.663743480907174,9.482032626568753,9.019607706729047,8.438792066210505,8.033519836842826,0.6157931657749202,0.6284758815562292,0.5733120346303757,0.5853451709149712,0.5123950081703867,0.5239225549056558
40,10.363517502230728,9.85672467024098,9.661421789774138,9.193289701541351,8.591211319467117,8.180364510763367,0.6279192511728034,0.6410919965375272,0.5838972745656926,0.5964319737676261,0.5215151391736066,0.5334072480758246
41,10.576879809513628,10.066562599607794,9.855701257498485,9.384015826659086,8.754384628825331,8.339697644706142,0.641018022983409,0.6551835537821509,0.5958529124911143,0.6092588004906392,0.531663917614115,0.5442099566102564
42,10.920321195825274,10.405514308613814,10.164382337480188,9.687296581263684,9.014297255113169,8.594280273117047,0.6633874612665562,0.679418326279813,0.6159581593787208,0.6308977117974699,0.5484293256153498,0.562167493496191
43,11.447624228086744,10.91588047955577,10.655789283326245,10.163996118520632,9.448287795378787,9.017035799172064,0.7031154438457594,0.721534287963208,0.6531940687294528,0.6704946106838803,0.581681179779298,0.5977274188520979
44,11.766636826510943,11.23050891610279,10.961789619885725,10.465203193974473,9.726528879471978,9.290192524658792,0.7267761731153409,0.7472294421849391,0.675460325103905,0.6946047099022079,0.601533181780525,0.6191374934342155
45,12.17630742319474,11.631307934755627,11.329914269147428,10.824045673286887,10.046482378558869,9.601320280832285,0.7526585926943106,0.7749354587466284,0.698465582831284,0.7190806788244184,0.621521765993268,0.6403219137952867
46,12.449362675431065,11.894186260952342,11.580875207835414,11.065146740654772,10.263667216627312,9.808958249967556,0.7711366698639445,0.7943168249416804,0.7149295532599776,0.7362627440289801,0.6352917558831027,0.6545502341832377
47,12.842237883177487,12.275595161638163,11.94247714534428,11.417627985171448,10.593487361207902,10.132306750703531,0.7947397675401034,0.8192626298426584,0.7358690259923897,0.7585109647160763,0.653275044966819,0.6738093304222164
