frame,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,mw-equal_lmw-balanced_ignorevisibility_excludebase,mw-equal_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-balanced_byvisibility_includebase,mw-decreasing_by_half_lmw-dempster_byvisibility_includebase,mw-decreasing_by_quarter_lmw-balanced_byvisibility_includebase,mw-decreasing_by_quarter_lmw-dempster_byvisibility_includebase,mw-equal_lmw-balanced_byvisibility_includebase,mw-equal_lmw-dempster_byvisibility_includebase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3801075223117734,0.3654599945052919,0.3325940820228018,0.3197774951921304,0.2375672014448584,0.2284124965658074,0.0225853739386002,0.023219354737572,0.0197622021962751,0.0203169353953755,0.0141158587116251,0.014512096710982554
2,0.6798605072393962,0.6413551565218953,0.6082512843696434,0.5757103893798974,0.4518089249803537,0.4291301840701449,0.0412393340620294,0.0414566928338783,0.0368106761767462,0.0371512113795589,0.0272188593461221,0.02758142205499405
3,0.9417502392838591,0.8835885784754771,0.8573491156765835,0.8080898341784394,0.6957710955592422,0.6601009307114676,0.0568906255127094,0.0567857853615766,0.0518243911655521,0.0520278338889296,0.0419196276053855,0.04241979877509143
4,1.1846922418974832,1.1136240496671403,1.0944474146646628,1.0328756698629693,0.927480620239864,0.8814739982828129,0.0720300131542149,0.0721055808464287,0.0662774371024446,0.0666538000299762,0.0556423144355426,0.05641601037475621
5,1.3221890540041985,1.2447907817110828,1.2325213556042214,1.1645807429387305,1.0557177734446934,1.0042264211150178,0.0803323167252706,0.0805686345004891,0.0745627863758891,0.0750953400432712,0.0633077522137096,0.0642591345082677
6,1.4284754200202776,1.34713298618711,1.338300986572387,1.2661128127014785,1.171656132997484,1.1147206445909017,0.086118083946406,0.0865056766265344,0.0804561352376148,0.0811238861931128,0.0698934094752747,0.07093859554185032
7,1.5388703646208624,1.4591810470775544,1.4395965308442848,1.369393467649015,1.2666113847913665,1.210958127963913,0.0921453380626859,0.0931693058809913,0.0860723083885531,0.0873698897802516,0.0753677159505412,0.07697276459018797
8,1.6549042426446408,1.5717881888886038,1.54676120554996,1.4747526287198036,1.3578277624621204,1.3021836459002494,0.0991268720395711,0.1004464297174282,0.0924387507707341,0.0941155350816058,0.0807651568018573,0.08281966638993517
9,1.8192211932865103,1.7283904260903538,1.6973140755296816,1.6197988241297807,1.4889876056327012,1.431238341798911,0.1101018008679039,0.1116942236594993,0.1023984609566782,0.104447841131754,0.0893051483040023,0.09189795003352841
10,1.9873174510257623,1.8917498158103463,1.850967359694982,1.767878438377375,1.618971315513261,1.5561740330515106,0.1196566131992316,0.1216513388683116,0.1111503183547876,0.1134651300752416,0.0968364092739235,0.09963660291685945
11,2.4282658232329064,2.2603682480775253,2.2604198819272456,2.106659838209008,1.9774726907640048,1.8478408948101248,0.1476267876597668,0.145904259644172,0.1372698679268252,0.1358513241899186,0.1199694274125126,0.11910744244354111
12,2.844451195315914,2.634221332603317,2.628229463313187,2.434801035611763,2.2813270318924435,2.117389876488053,0.1739539538072847,0.1708792762663959,0.1606189724077024,0.1578216816844037,0.1392245136343176,0.1370909274070646
13,3.093062900975346,2.861375970169667,2.887025945494634,2.6686901713053675,2.5370912269081445,2.3461488058255164,0.1889223675785341,0.185293165411353,0.1767148933964102,0.1731644888643548,0.1553477698356381,0.15228403832075554
14,3.330844163225501,3.079895734511329,3.116244953337929,2.8782638348657974,2.750242333586636,2.5403697450893987,0.2036929030406405,0.1996770770051499,0.1911375858388086,0.1871374886768793,0.169014701966063,0.16549771674638475
15,3.79500640421345,3.56347198768901,3.545519320225666,3.328154252125201,3.127256805268917,2.9331230750137234,0.2320129078875608,0.2322301493144851,0.2175219795758506,0.2176898780759171,0.1924140144918578,0.19236774254814556
16,6.0525673843237655,5.709781051105315,5.689773275077234,5.354854130381477,5.090246030954469,4.764276099643329,0.3654523028830772,0.3676625547783925,0.3441688905100947,0.34515178291823,0.3080794242181489,0.30657540467081906
17,6.96360238775351,6.585444748654374,6.719736471335692,6.343123712424711,6.210684291523991,5.82523196195593,0.4188110016486015,0.4226631755148044,0.4047329981022287,0.4074383018831128,0.3742116244673577,0.37331366955801365
18,8.10791776975063,7.708938071118143,7.8665819433514,7.459747327382416,7.365934552564065,6.929198926908323,0.4876268558230063,0.4959240704554218,0.4733197760341763,0.4795780817971071,0.4424737722254134,0.44314752931509094
19,8.803185861038967,8.389594568105183,8.535977535021313,8.114710180830137,8.060621561869953,7.599877202872005,0.5268933601014181,0.537497180535479,0.5117484925103263,0.5202515681098492,0.4825417473932629,0.48471754020470936
20,9.258091215367784,8.84916377296812,9.006978602229326,8.59450566247773,8.511561329396585,8.072619060358857,0.5534232788576642,0.5669676982210771,0.5388973950851874,0.5507885595309462,0.5089167668501948,0.5156334114602165
21,9.586063718480997,9.176584933640076,9.3323270916702,8.921688432518458,8.842424644474885,8.412160536276213,0.5735474197583469,0.5889479074782278,0.558386512014042,0.5722998117030773,0.5286276008496004,0.5380363101913047
22,9.793564391923107,9.381267640608312,9.544928369008316,9.129385309013903,9.087084683480242,8.648207371285011,0.5860841694101159,0.6024098138421194,0.5712293494583291,0.5858982895602949,0.5424508767705152,0.5523555721862865
23,10.026644140096945,9.611792472818694,9.756362792127693,9.337493322717606,9.263976508772313,8.821682199388103,0.6002854616237217,0.6177262890764575,0.584353458042679,0.5999605365629634,0.5537198509609583,0.5643763464602409
24,10.479614766615317,9.994628811952444,10.160390993320767,9.673800399082165,9.600567305009646,9.099898323587963,0.6259769265722355,0.6391560529632618,0.6072346451747335,0.6185419783955108,0.5726016442930916,0.5794710732888889
25,10.790518087335668,10.276620808463043,10.460874353584924,9.942149368864955,9.87474933957489,9.338248031009512,0.6443547576175982,0.656506344502199,0.6250266836361605,0.6349349834000806,0.5888992428496169,0.5938632056171168
