frame,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,mw-equal_lmw-balanced_ignorevisibility_excludebase,mw-equal_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-balanced_byvisibility_includebase,mw-decreasing_by_half_lmw-dempster_byvisibility_includebase,mw-decreasing_by_quarter_lmw-balanced_byvisibility_includebase,mw-decreasing_by_quarter_lmw-dempster_byvisibility_includebase,mw-equal_lmw-balanced_byvisibility_includebase,mw-equal_lmw-dempster_byvisibility_includebase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1410469772539706,0.1443371979368039,0.1234161050972243,0.1262950481947034,0.0881543607837316,0.0902107487105024,0.0072384035018832,0.0082468272201656,0.0063336030641478,0.0072159738176449,0.004524002188677,0.00515426701260351
2,0.2919526851093206,0.294034873186025,0.2656408130070997,0.2680250092353363,0.201599150556898,0.203565206227452,0.0136594934635907,0.0151656857922887,0.0124316203276514,0.0138490191668917,0.0094591501687101,0.010552022052417889
3,0.5476009448561078,0.5316460917752415,0.5016307710808938,0.4865816622399516,0.4110207754196603,0.3966978944629954,0.0283816474589379,0.0295710061568559,0.0262695312167626,0.0273432858464136,0.02202735998781,0.022764608480612455
4,0.7263186439214135,0.6956218989264881,0.6599733774595989,0.6320656135775757,0.549561796758261,0.5245099845013144,0.0385698908631937,0.0393244412972119,0.0354173693207428,0.0361367940088447,0.030085315303347,0.030567523736919327
5,0.8803465996705094,0.8392527829816333,0.794121823522521,0.7561124233309232,0.6559077610268239,0.6219048078344612,0.0477013580512294,0.0483348741524295,0.0434292379584858,0.0439488106829649,0.0365514426538898,0.03679600039951555
6,1.05786985846653,0.9979430635846052,0.9483810127219076,0.8944635687331313,0.7816717797827577,0.7371286974580272,0.059423593492113,0.059376981168262,0.0536255892044537,0.0535988499057163,0.0447873574146624,0.04481152172706686
7,1.191620870219774,1.1188730640197757,1.067254692314041,1.003174270479131,0.8786239944618627,0.8262934307821935,0.0676449821914871,0.0671601018824128,0.0610059949574939,0.0607141225896775,0.0507714255701099,0.05062375449423076
8,1.3317960831945033,1.2493057198723607,1.191223592740649,1.1188459981986707,0.9838246166306176,0.9240709977453966,0.0757582219065188,0.0751184674131066,0.0682628671919495,0.0678721094697814,0.0571123637930972,0.05686183261902318
9,1.5889760812795153,1.4738201679846794,1.4185889245561774,1.315882374738078,1.1685248899471152,1.0816625219173224,0.0930971435788328,0.0910163206104591,0.0838309812165376,0.0820523525579051,0.0700585058965019,0.06847635208092161
