frame,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,mw-equal_lmw-balanced_ignorevisibility_excludebase,mw-equal_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-balanced_byvisibility_includebase,mw-decreasing_by_half_lmw-dempster_byvisibility_includebase,mw-decreasing_by_quarter_lmw-balanced_byvisibility_includebase,mw-decreasing_by_quarter_lmw-dempster_byvisibility_includebase,mw-equal_lmw-balanced_byvisibility_includebase,mw-equal_lmw-dempster_byvisibility_includebase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1960716493998383,0.1740372339155842,0.1715626932248585,0.1522825796761362,0.1225447808748989,0.1087732711972401,0.0130436883601912,0.0123915014990649,0.0114132273151673,0.0108425638116818,0.0081523052251195,0.007744688436915592
2,0.3668576218297862,0.3334752114443776,0.3241611287222993,0.2936157170621793,0.2452245989798509,0.2203287622642789,0.0244181323154243,0.0237679033065109,0.0215745502769565,0.0209238371796141,0.0163196839904929,0.01569759452474432
3,0.4943069584492426,0.4520577657944628,0.4465045517991512,0.40538187065757,0.3593627640228146,0.3233020233963409,0.0328951189913174,0.0322166220353627,0.0297183238068448,0.0288910317222275,0.0239142728183312,0.023033103025124128
4,0.8105017149965233,0.7137720090666186,0.7333649224351848,0.64036397361739,0.5978378272805214,0.5166853686118765,0.0539371217796515,0.0508258068219626,0.0488026838195739,0.045589463441073,0.0397590633973865,0.03675001228000027
5,1.3946725529462474,1.2107193520107855,1.2512688980341011,1.0844020725126535,1.015417779064991,0.8791059637692857,0.0931909776290937,0.0865711356072907,0.0835911493592736,0.0775197995642656,0.0677827556954553,0.06278898492925339
6,1.806675134753572,1.574687081254185,1.6285804751500652,1.4165308514261594,1.326951434195967,1.1557814849410215,0.1207021286660694,0.112567205732686,0.1088228006027715,0.1012786442787454,0.0886316972179629,0.08260380481644887
7,2.1787089827402424,1.9160170980678133,1.977590355591719,1.732403195506788,1.6595934593532204,1.4506864200841445,0.1452913316122679,0.1367017716955381,0.1319605975984054,0.1236729536568646,0.1108324751609925,0.1036494723138316
8,2.4464899172951324,2.16537381600358,2.220588838146688,1.9574231884735285,1.889705002950873,1.6593457263897813,0.1626713259563709,0.1540032434435062,0.1478087601971686,0.1393609062351724,0.1260303810252717,0.11837700876804667
9,2.622485002884905,2.331627691078205,2.388207998524824,2.115534292769284,2.0405208129979555,1.8024197412414744,0.1739028108331201,0.1653480421817195,0.1584678440261288,0.1501075211536638,0.1355661947565911,0.12804922812206268
10,2.745005019226115,2.447087046216293,2.5088603814964543,2.229299086388063,2.1559089010321246,1.9109380566326608,0.1816466673154525,0.1731443519680849,0.1660859261791054,0.1577816792982653,0.1428499598093978,0.1353647553585814
11,2.8288775950871785,2.526609022989224,2.595393106313469,2.3107999082298023,2.2476943018046454,1.9970423111923687,0.1869901308738535,0.1785648444630287,0.1715574787145534,0.1632873510675741,0.1486247431069695,0.14114681666598727
12,2.958454063013272,2.6522393994149738,2.714766003633297,2.426388056402764,2.3544087451447875,2.100301085686701,0.1954980537931239,0.1874300815312838,0.1793683979629491,0.1714136305852496,0.1555767089198704,0.14837264267526884
13,3.0653356287593785,2.7542165061456827,2.807569809675518,2.514887173642209,2.4316066908125364,2.1739985776437263,0.2026047499665459,0.194709993755991,0.1855215391168481,0.1777121658777282,0.1606284347260431,0.15354640045307585
14,3.195237543125553,2.8708374342387404,2.9301326143840094,2.625451109198202,2.540651241704578,2.2730524058663253,0.2116131836088108,0.2033780517890107,0.1940429815432654,0.1859565851713996,0.1682428091218096,0.16097148066425387
15,3.436798225019599,3.085458366820151,3.1490357637818387,2.8230331652361658,2.727197353010024,2.4449084344830987,0.2283852477084246,0.2193278175668935,0.2092526422112742,0.200671976823632,0.1812059578326549,0.17379493812693586
16,3.644224629323908,3.2685591869502915,3.3294536513296062,2.9844422193699507,2.8739649383164307,2.577940187624356,0.2424057979759451,0.2325120875824912,0.2214121299744759,0.2122756150470283,0.1910476825075291,0.18332062949920724
17,3.803867513889591,3.407419067539545,3.4730426896052284,3.1090151433096445,2.997335682536591,2.686939421091785,0.2534473627640937,0.2427568803379264,0.231275172807527,0.2213899947630291,0.1994678873055766,0.19125403389087345
18,3.943834785584394,3.5393577394692115,3.602229870174902,3.22856818816888,3.1098989600059355,2.7903227873123253,0.2628884352810649,0.2523139581190951,0.2400076298532046,0.2300483671699281,0.2070918559764138,0.19875016376500995
19,4.205575715669517,3.780169279192792,3.839296883698349,3.446234153223754,3.309669528128205,2.974078444619681,0.2807630209343607,0.2699389901029173,0.2562310379849979,0.246012151925753,0.2207961465120105,0.21226563791380182
20,4.498986309220855,4.056794928318675,4.096951451624141,3.688321577628224,3.523986389234265,3.1725172132946104,0.3009900887525756,0.2904450847717503,0.2739956740539924,0.2639549410521293,0.2356097052148174,0.2269929677267702
21,4.8067780387948735,4.342675643320003,4.360203976070658,3.932838382224229,3.738370259920903,3.3716718810074457,0.322072810043051,0.3114612329831686,0.2920557254179964,0.2819606824351872,0.2503692599855676,0.24171476891465038
22,5.090116029500163,4.612977009221958,4.607753522251222,4.169352161340332,3.937628088666093,3.5622320281408166,0.3408729574808771,0.3307224610863864,0.3084694569951424,0.2988046444829824,0.2635808186283747,0.2552874334045355
23,5.28684635296059,4.801284122849474,4.784392424437225,4.339230123439292,4.085882413455273,3.705232866021333,0.3537272533001048,0.3439298213350318,0.3200364892467238,0.3107546563085047,0.2733145179261696,0.26537816220351673
24,5.429429604323208,4.9399145665784925,4.917441201448108,4.468168733224696,4.210392877302337,3.824989002371341,0.3628056126504754,0.3534148485701783,0.3285714826909241,0.319640749139549,0.2813709242550085,0.27369660688376546
25,5.588019635040534,5.097151769625272,5.058573656216796,4.607709725752374,4.334846995934212,3.949251869519168,0.3728291500253071,0.3641279912850304,0.3375229963722135,0.3291776607585176,0.2893053692026016,0.2822470227885711
26,6.003278751644461,5.486804902309273,5.448061097216537,4.972151759805098,4.683582396575591,4.2748668630842905,0.3984618107112807,0.3897630525422693,0.3615997143009939,0.3531767526994391,0.3108976194674884,0.30371666565852895
27,6.301947984442133,5.776288496797264,5.717808595398565,5.231160576323871,4.914289984276802,4.49253746836649,0.4170625527624809,0.4091279368266787,0.3784626906678505,0.3705368171692101,0.3254006786610841,0.3183387751344372
28,6.563839303282868,6.018730276404589,5.953901346996659,5.44931258219271,5.123182635066311,4.686426460910429,0.4339829011001711,0.4258398491602372,0.3937346096888987,0.3855889214037701,0.3388903611756416,0.33170379110626574
29,6.895143548026714,6.333506008394006,6.256625685338367,5.736929975938589,5.396047224667284,4.944206014712145,0.4557673518155309,0.4480603137492973,0.4136104734558281,0.4058603926666795,0.3567735782358808,0.3498190687745884
30,7.146130857089641,6.567261694543237,6.479926566481852,5.946255717113003,5.595964024886522,5.134012601343057,0.4724706891090703,0.4647191985631401,0.4284366711758101,0.4207578668852716,0.3699466403747885,0.3632489683694669
31,7.359200105750633,6.766709272105958,6.677816239722658,6.130098080016415,5.777639596566495,5.302246270509099,0.4865096588293466,0.4787935787198288,0.4415106084702184,0.4337491616643252,0.3819567882033868,0.3751375555447168
32,7.505783182062483,6.909877749412943,6.814113841654072,6.262074029571616,5.903625365805699,5.423054853637,0.4961988753141458,0.4890223589048564,0.4505620763237584,0.4432073493153015,0.3903734254968503,0.3838327442954801
33,7.682923256712303,7.084596756286481,6.967498495497276,6.412936031066778,6.025947460749917,5.5413072594904245,0.5077746514126292,0.5013944920187406,0.4605919714428476,0.4538902768369959,0.3984362735707768,0.3922429292243371
34,7.877714070092423,7.257267218545795,7.139544594381018,6.564279601466217,6.16396946542222,5.6611139763360265,0.5208618010004156,0.5136981790841537,0.4722048757204066,0.4647148182046894,0.4078231969621472,0.4008641577147437
35,8.069323124209713,7.440241574346109,7.308093395629255,6.726280525373346,6.2991471405953146,5.7919238595976985,0.533834222677525,0.5270468257606487,0.4836276976129944,0.4765603891076004,0.4170208913300204,0.4104806427600796
36,8.242340578840707,7.603892437044498,7.462681013924943,6.873320762983425,6.425535227040488,5.912099654570305,0.545730876751557,0.5391620346465057,0.4942484006206893,0.4874464560352258,0.4256979752316385,0.4193705304370544
37,8.347177916131793,7.700370589120155,7.570499809008345,6.97288459443774,6.52787670432087,6.006583554283449,0.5527368148022856,0.5460518978095974,0.5014955965325797,0.4946073244118926,0.4325919913005153,0.4261820870713197
38,8.476913539234719,7.824888699770741,7.688943275409205,7.086783179736021,6.630425927758202,6.105990806700604,0.5613300375408138,0.5549344190299604,0.5093734886489616,0.50277087545295,0.4394470856127772,0.4333554119480662
39,8.575073131794818,7.919211518484262,7.784689186192034,7.178975956677162,6.724177799010631,6.196264918086829,0.5674497862394835,0.561248850668053,0.5153591265813375,0.5089639500543823,0.4453765632465804,0.4394940160699464
40,8.721815377891017,8.06006603376167,7.922968279957031,7.31234720661087,6.84721737509939,6.315912466879226,0.5754184334654429,0.5693948401510546,0.5228997563566765,0.5167289152041206,0.4521258674906568,0.4465293470697147
41,8.870978191578233,8.206347588018572,8.06268269813024,7.4490993844570355,6.972554463914623,6.438795082345531,0.5841740291063573,0.5786525561883329,0.5311170833270312,0.5253954398207169,0.4595249206117255,0.4543510522586014
42,9.049267314303265,8.379781641321813,8.221947291121753,7.603890528620845,7.105271039768054,6.567665683633254,0.5953372039331635,0.5903585617848358,0.5411082085510418,0.5358614018488582,0.46788655199166,0.4631013460541265
43,9.336272104726197,8.653829510605156,8.476804339437084,7.847392399315146,7.31197406458535,6.766464536728243,0.6141718524387548,0.6097019175892939,0.5577476018852731,0.5529581543646274,0.4813198112560687,0.4770131886497906
44,9.6901422815818,8.997556397633396,8.772103620912592,8.1338982373842,7.532660753179643,6.979967458315591,0.6373905062246273,0.6340599054632275,0.577062443529139,0.573189786718058,0.4957104581214948,0.4920318076336841
