frame,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,mw-equal_lmw-balanced_ignorevisibility_excludebase,mw-equal_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-balanced_byvisibility_includebase,mw-decreasing_by_half_lmw-dempster_byvisibility_includebase,mw-decreasing_by_quarter_lmw-balanced_byvisibility_includebase,mw-decreasing_by_quarter_lmw-dempster_byvisibility_includebase,mw-equal_lmw-balanced_byvisibility_includebase,mw-equal_lmw-dempster_byvisibility_includebase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.8813747201771055,0.8072626516512871,0.7712028801549673,0.7063548201948762,0.5508592001106909,0.5045391572820543,0.0580656682251809,0.0564480044973314,0.0508074596970333,0.049392003935165,0.036291042640738,0.035280002810832156
2,1.3272125036190008,1.2143231512621997,1.215753057758527,1.1125580263594714,0.9213176814469908,0.8430418290858837,0.0862270172177788,0.0835342414171243,0.0791694150930174,0.0767427533329916,0.0599260054707248,0.058072293975687646
3,1.5864425477889952,1.4510514443288034,1.5056212822685582,1.3792700309044006,1.253278793799357,1.152069232011019,0.1026586585279664,0.0993463313455957,0.0975746977999614,0.0946631660461502,0.0810560483829854,0.0790183667407732
4,1.8153097173990644,1.6684156493143634,1.7365316771100343,1.5973151800364866,1.510780013074645,1.392205187037089,0.1153646204925647,0.1121766657514272,0.1106389933883671,0.1077480572804194,0.0965666843045831,0.09433735610280795
5,1.9665547416297384,1.817134848324768,1.8807115238713208,1.738064182369522,1.6505505383544936,1.5287658123337553,0.1235010159700908,0.1208988547265116,0.1184755275096171,0.1160445769622544,0.104045166000635,0.10226150326257193
6,2.157969102860296,1.993004576170464,2.049412698847018,1.8922733794988225,1.7854104726102025,1.6523916668678171,0.1354808866334491,0.1325024950819547,0.1291100917609388,0.1262720304629748,0.1125272676255101,0.11045314992669647
7,2.290051491052542,2.115800735366745,2.1758271132818825,2.0097197065629087,1.9007193666114783,1.7596271902323466,0.143466893719947,0.1403500968378828,0.1365463340157798,0.1335452088637851,0.1191462151081361,0.11691728349205525
8,2.368105364505351,2.1896468729335146,2.260577641647687,2.0895743252099384,1.9904980097321616,1.8437777181040955,0.147912301710183,0.1448211079457035,0.1413706343026115,0.1383618103612927,0.1241462742917253,0.12184970807138626
9,2.460894259327261,2.274884880684428,2.3476510749101656,2.169737982497465,2.075755511170532,1.922782861661856,0.1540414542941066,0.1507963565528743,0.1470870340810715,0.143949021908516,0.1294194495269107,0.12701687410255863
10,2.613896776154818,2.4154152069929915,2.487532620862662,2.297296269457682,2.198555749027725,2.033733589550481,0.163174273914217,0.1595672952348014,0.1553447721942575,0.1517660384655992,0.1365372896156826,0.1336216311468501
11,2.6991772892801,2.497134239132064,2.570224156471853,2.376809785023198,2.274583556222366,2.108901582877744,0.168181490645689,0.1647324603704669,0.1602700135216096,0.1568821719684943,0.1410226638140119,0.13850288181157316
12,2.779051527920013,2.573561610119616,2.6493587408745345,2.4517857643852627,2.355759116455679,2.184188676716107,0.1723187658131265,0.1689457964667801,0.1645724514867748,0.1612005593825596,0.1458360947315803,0.143198164312713
13,3.3661269007069428,3.154812486672126,3.2231763692884905,3.02008362974232,2.912433641661205,2.7355225502491574,0.1835698857661518,0.180799817053321,0.1752641981760098,0.1724669370014802,0.1560722934741335,0.15397836080709693
