frame,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,mw-equal_lmw-balanced_ignorevisibility_excludebase,mw-equal_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-balanced_byvisibility_includebase,mw-decreasing_by_half_lmw-dempster_byvisibility_includebase,mw-decreasing_by_quarter_lmw-balanced_byvisibility_includebase,mw-decreasing_by_quarter_lmw-dempster_byvisibility_includebase,mw-equal_lmw-balanced_byvisibility_includebase,mw-equal_lmw-dempster_byvisibility_includebase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5685605547454551,0.5416784053216193,0.4974904854022731,0.4739686046564169,0.3553503467159093,0.338549003326012,0.0379335554416792,0.0387472839778306,0.0331918610114693,0.0339038734806017,0.0237084721510495,0.02421705248614414
2,0.9260554508239957,0.8908181337122241,0.8366817268043603,0.8035332016145729,0.6365096968872721,0.611686149794099,0.0617178911066406,0.0636697242129713,0.0557778510720634,0.0574457859480249,0.0424413310260237,0.04373996325023642
3,1.3785921046295813,1.2672518321238626,1.279457574957695,1.1734654382541605,1.0590674414702168,0.9679694330225862,0.092197697377826,0.0907863565876665,0.0856077201652743,0.084104836561734,0.0708895028898658,0.06939971592453137
4,1.7779580438337528,1.614741686989931,1.6562765590425303,1.5026529851650914,1.3899101353582477,1.25785610710995,0.1190301163259806,0.1157707102110862,0.1109220702440412,0.1077723316904506,0.0931088628817684,0.0902364371432057
5,2.429863016531195,2.221177429118585,2.239214196201107,2.0471407647118487,1.885650038979914,1.7167098609387872,0.1624965855886455,0.1590894675945683,0.149764115133851,0.1466434237069878,0.126128211958194,0.1229704337852585
6,3.2167377227775704,2.9391705824883614,2.9331884852309464,2.68202739749541,2.456429598911361,2.240726738597895,0.2151831038232921,0.210581649397986,0.1962131134775145,0.1921603644906336,0.1643222577474223,0.16053258722926014
7,3.7256599885552624,3.40701213234224,3.4423633179062514,3.15102172293481,2.9138897715901493,2.6655169608482483,0.2491574240482543,0.2440328178870477,0.2302271063627773,0.2257204039446153,0.1948831436738383,0.19093823232606644
8,4.033427455314111,3.695339568243381,3.765513394438352,3.452960805817821,3.253692954951287,2.9847732743382904,0.2696069924482058,0.264556598180826,0.2517443069767332,0.2472601098409679,0.217539026772995,0.21374915322818577
9,4.516246172222194,4.139524220664336,4.21081412092663,3.8638873728906606,3.65966290380218,3.3590320978464088,0.3017707742510336,0.2962455511604108,0.2814254309306461,0.2765968212787736,0.2446431683858974,0.2405152112505931
