frame,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,mw-equal_lmw-balanced_ignorevisibility_excludebase,mw-equal_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-balanced_byvisibility_includebase,mw-decreasing_by_half_lmw-dempster_byvisibility_includebase,mw-decreasing_by_quarter_lmw-balanced_byvisibility_includebase,mw-decreasing_by_quarter_lmw-dempster_byvisibility_includebase,mw-equal_lmw-balanced_byvisibility_includebase,mw-equal_lmw-dempster_byvisibility_includebase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.079976393160585,0.0757337985138886,0.0699793440155119,0.0662670736996526,0.0499852457253656,0.0473336240711804,0.0051090461593493,0.005172839449189,0.0044704153894306,0.0045262345180403,0.0031931538495933,0.0032330246557431387
2,0.9379321684221074,0.8934769951290535,0.8787278931768441,0.8372240957806945,0.7072806214513538,0.674019934448322,0.0604352089538526,0.0616113134703679,0.0566330156015721,0.0577464970244369,0.0455961671830564,0.04650403032156311
3,1.9086204208906687,1.7939224761683774,1.7282371752591823,1.6267709463223805,1.3992003248604092,1.3185780008643413,0.1235912910549257,0.1242457472535818,0.1119072642486512,0.1126756151513827,0.0906308252140138,0.09136735471903365
4,2.5786479833449576,2.422743810429303,2.3258219472197705,2.1879980995735067,1.9027895779862367,1.795583337617774,0.1661903054323578,0.1669478523784255,0.1499121333358634,0.1508025456366346,0.1226020121435441,0.12373882797352542
5,3.417644099787081,3.2119763450733703,3.0506920311307444,2.872836572121242,2.462075809641828,2.3280661295746845,0.2194334693176446,0.2204536393920902,0.1959986460128064,0.1973452783675324,0.1582027508880245,0.16000184115526012
6,4.143185896521793,3.856635758227408,3.677601203879725,3.431091813958965,2.98454239981224,2.7985265327205138,0.2654169956008865,0.2637809186683608,0.2358401207200179,0.2349933147548787,0.1915139136023807,0.19188905650103477
7,5.048427846841139,4.701749939849701,4.465769502022907,4.169704149569668,3.6413933477937,3.4197468891504577,0.3200777371360021,0.3180231395624267,0.2833918120046337,0.2823913160280653,0.23120381479103,0.2318889980953481
8,5.622737998624441,5.234882500599776,5.002076385511018,4.665745630500564,4.094307411825959,3.836723691175101,0.354921340861482,0.3523807273783363,0.3158768538273127,0.3142788796625366,0.2585962578987322,0.25862470099221635
9,6.321652573460611,5.904005550118462,5.606297361540543,5.240755972414883,4.557463750698492,4.269568862622669,0.3943162142759014,0.392524348458545,0.3500670681045024,0.3488575754457554,0.2851807917290944,0.28491980479285434
10,7.809680465597754,7.274084187436009,7.006253206748357,6.529721689512204,5.804087797726947,5.419250525357086,0.4729294661723668,0.468025891258691,0.4239694352488585,0.4198251516421291,0.3506101044811827,0.34785434230171164
11,8.553676228084123,7.96924717017581,7.772805308814234,7.240306736737695,6.584451804481025,6.139263663487848,0.5105944183174291,0.504797829438498,0.4633101888616527,0.4578363578587121,0.3906261636827419,0.3862428592073674
12,8.97532109070622,8.355517305945174,8.249046818097916,7.672589728196231,7.16442635712608,6.659147182453463,0.5328967773597776,0.5260444361467983,0.4884609689356829,0.481467751435473,0.4215149813678939,0.4147717153942441
13,9.261754791173692,8.627466778381201,8.543920797538242,7.948308875642846,7.509050941778288,6.968857316566398,0.5482441499467333,0.5414624692920161,0.5042020317766525,0.4969315067290613,0.4405275344353395,0.4324916751006265
14,9.734923722006634,9.093814967012175,8.97454625426296,8.371908341160909,7.861270287370937,7.314713098750169,0.5686839250804396,0.5630133091750472,0.5229161024340708,0.516599010432454,0.4562350479859192,0.44896153979886233
15,10.02870576083915,9.377106257258935,9.269030540822987,8.657281429596381,8.13956997496932,7.5853406097390685,0.584092943864263,0.5788250376186276,0.5379887466523544,0.5321584910234151,0.4700860674359134,0.46331621580616544
16,10.258657498547295,9.601291418549708,9.507536181426447,8.890861256408142,8.398033524039262,7.84017881706229,0.596172185502168,0.5914146862291596,0.5500980999869185,0.5448488775557887,0.4823890734700967,0.4763208675487862
17,10.80686661791089,10.10517569441533,10.013089933977064,9.353919222712769,8.838484638958342,8.241236807091191,0.6264895356099782,0.6206020190314984,0.5780756501262858,0.571654686158203,0.5067423289983024,0.4994591780786368
18,11.5172894200032,10.770953101293978,10.640108826406228,9.943294334193128,9.340432603350562,8.715723759055837,0.6612196021571897,0.6545267923987497,0.6086328893634774,0.6016365064537815,0.5312261403790208,0.5237019164678073
19,12.126401573870869,11.353029676657185,11.218866302453296,10.49005722084254,9.864238922593286,9.20619421044323,0.6949650030787838,0.6888205826339285,0.6410767623698687,0.6341161828420514,0.5608094652938432,0.5529768154362839
20,12.80637911251345,11.992137674448166,11.825897144546165,11.059198333761252,10.364662709583149,9.67415633740878,0.7313054979374288,0.724785853854567,0.6733998403561949,0.6659795351636898,0.5872642735632769,0.5789365211916105
21,13.38738794456216,12.559554559563775,12.333034152552916,11.550181330132702,10.774019196720722,10.06637548378663,0.7627238806603677,0.7576573459919472,0.7009364049921994,0.694443276529071,0.6098460881570091,0.6019615135316135
22,13.886844845108348,13.041044847015227,12.770246954601962,11.969292149474304,11.131061249011395,10.403351266217406,0.7911831422825315,0.7869659320232296,0.7259973611469859,0.7200668985847354,0.6305433433303974,0.6227077253118838
23,14.301011237440468,13.440630127642024,13.142227495192738,12.32898550055491,11.451531505538885,10.71151251315897,0.815640433799947,0.8122185837697035,0.7477729806660879,0.7426065916663432,0.6491783737537027,0.6418519498511409
24,14.726491431252718,13.853400864363518,13.544729041837408,12.721599098393066,11.813807769326177,11.066827160883651,0.8408488334655532,0.8384227727675033,0.7717814364329824,0.7677402628229069,0.6710459719881052,0.6649074727980275
25,14.972862858033665,14.092452038403456,13.789165912081971,12.96086476837202,12.045824340217363,11.29766534224259,0.8557598189222579,0.8539333094143357,0.7864933148534621,0.7832059822305126,0.6850119251289329,0.6798842403585215
26,15.637524049602437,14.743411119045025,14.403314924258895,13.564013425925673,12.58017641470176,11.825582702889143,0.8913964341552095,0.891317771333816,0.8193468759507979,0.8178012311999723,0.7137159922288107,0.7103639041582148
27,16.25508265509175,15.330350921018788,14.961096602642977,14.094943379855012,13.060385994535112,12.284253464690163,0.927293761864976,0.927633868185342,0.8517451397652491,0.8506396942254634,0.7415454937645765,0.7386927639569457
28,16.85789001990534,15.918164840433713,15.509026630209934,14.627781020989698,13.534768806887309,12.744520701901784,0.9622665196583096,0.9641772631056208,0.883442160714099,0.8836421312447034,0.7688683544624126,0.7670541570953003
29,17.711718389505172,16.73691614353409,16.264018649112437,15.353298950011752,14.15763794984499,13.347501604993502,1.014081784020232,1.0172983348291031,0.9293458327523249,0.9308278703170214,0.8068709408623764,0.8064710876848526
30,18.44456355555117,17.44671492598866,16.89196149304203,15.96121752054152,14.667964431591455,13.841857031727123,1.0587305608051043,1.0636387573393042,0.9677983461136132,0.970722916200366,0.8381965509988141,0.8389973996824022
31,18.999884667539,17.98717411054349,17.37320541756881,16.42548645029452,15.054732542835804,14.20997274570821,1.092234988853072,1.0986001273262145,0.9969722194130856,1.0008501316403875,0.8618710624995223,0.8630632819271031
32,19.47073215136825,18.44354637221402,17.77166463335422,16.80783398795236,15.360964476511572,14.497543559391008,1.1206789653588964,1.1281522381159323,1.0211433736258906,1.0256619902835744,0.8805841252325817,0.8817834478771915
33,21.166762909989888,20.078037109132868,19.36672958352564,18.34412530317445,16.815252103483715,15.89835431895689,1.211710233663874,1.2214927760627796,1.1062248380517992,1.1127978250400592,0.9574084466768712,0.9604250008367037
34,22.082762832519016,20.96957685521032,20.25173931205689,19.20618976924462,17.659362187167165,16.724425491712736,1.2603017912695238,1.2720074993723085,1.1529078383849394,1.1613723083213845,1.0013198761275188,1.0063994864079604
35,22.81734347404794,21.67121003039712,20.944824780217097,19.869137524063834,18.295373917891222,17.33426232216306,1.3029826374448288,1.3154782575913513,1.1924792984869226,1.2017063809558124,1.0369536167041151,1.0427933187595173
36,23.395805153604584,22.230285707237417,21.48258937081667,20.385770063017297,18.80105531123848,17.81431710416951,1.3369310804896022,1.350614313789408,1.2238562539541662,1.233918781799874,1.0657637580773272,1.0718593402724934
37,23.83323273804612,22.66240886463108,21.87684353974954,20.771458085175507,19.14804789865608,18.145908381903403,1.3621661153364544,1.377482273389667,1.2468359296895055,1.258080124135898,1.0862708929923683,1.0927864861785388
38,24.525265865821147,23.339543987052995,22.488950659819903,21.368613070477306,19.660604122327587,18.64111075621858,1.3995464910920858,1.4166867121117988,1.2799802131556857,1.2926995033927002,1.1143895694751764,1.1217773293936777
39,25.21532334055565,24.02716060807477,23.11899189885777,21.994134274995226,20.19728458502309,19.17230973573629,1.437967202740286,1.4579953505033414,1.3148309553263466,1.3299832456428695,1.143881050717663,1.1531933073933975
40,25.95433489754052,24.678682173886084,23.86243540842032,22.65136203739868,20.901669319569987,19.79404395736636,1.4842148350511322,1.5009858656930837,1.3610080059249074,1.372997354814139,1.1874252155245857,1.1936476421788382
41,26.679454729884565,25.35063812890376,24.52927702810576,23.269037873008173,21.47796711107443,20.32984541783773,1.529386093149988,1.5455341162478862,1.4025851508119929,1.4139833980436152,1.2233176852511916,1.2291847739687376
42,27.133372035350533,25.767815749204537,24.9574647997507,23.66321093960491,21.8786157461989,20.69231048182484,1.5580508998220763,1.5735713639066098,1.4295541697456466,1.4404047393122972,1.2486477684102533,1.2535129789349522
43,27.49200198624852,26.10710040768374,25.28467266047816,23.97254874496546,22.168703988209263,20.96671963040984,1.5812791802255828,1.5971013447576368,1.450634504809856,1.4617341390092011,1.2672006080797562,1.2722879601382502
44,28.581222145728017,27.094740549226188,26.295279962471174,24.88698110716069,23.046987963857934,21.75725543227466,1.6522045778050027,1.6656753333882983,1.5164962673358768,1.525270300283578,1.3246323870590613,1.3273933417507844
45,29.353155281670084,27.80472891007791,26.985039445986352,25.52030118508717,23.62638736782076,22.28982476790213,1.7017463828728192,1.7142721523927718,1.5608539130570445,1.5687069752504472,1.362022573726578,1.3640640138579025
