frame,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,mw-equal_lmw-balanced_ignorevisibility_excludebase,mw-equal_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-balanced_byvisibility_includebase,mw-decreasing_by_half_lmw-dempster_byvisibility_includebase,mw-decreasing_by_quarter_lmw-balanced_byvisibility_includebase,mw-decreasing_by_quarter_lmw-dempster_byvisibility_includebase,mw-equal_lmw-balanced_byvisibility_includebase,mw-equal_lmw-dempster_byvisibility_includebase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1654740468248445,0.1622264765303396,0.1447897909717389,0.1419481669640472,0.1034212792655278,0.1013915478314622,0.0115589263304586,0.0122875506722422,0.0101140605391513,0.0107516068382119,0.0072243289565366,0.0076797191701514144
2,0.3107569760967477,0.2878310431279812,0.2781205163812524,0.2580240957825894,0.211012175103053,0.1960895348945774,0.0217640158342595,0.0216649384483854,0.0195081844902114,0.0194589254837335,0.0148072762933975,0.014798722561412798
3,0.4980404674942419,0.4434934844197332,0.4525166690109014,0.4060718036668688,0.3721264648869891,0.3385614995884567,0.0358787937803962,0.0342505401392979,0.0324851082181881,0.0312678468214067,0.0267256869865246,0.0261298042748649
4,0.7725946373464384,0.7004769413675135,0.708397312594811,0.6459066823367411,0.6019275937213423,0.5553166857024622,0.0556094510196595,0.0541697702491926,0.0509225872125849,0.0499141335824038,0.0433588588549838,0.043076158048326804
5,0.9566833066458392,0.8687499191761037,0.8836210960191029,0.8047349726774659,0.7641499515441862,0.6976166104157431,0.0687200754073378,0.0670447143260197,0.0634327531277787,0.0620857880554664,0.0549669807319393,0.053959890014784635
6,1.0754776225919782,0.9758548826154606,1.0051872781104136,0.9165034701995954,0.8923315389537363,0.8144236991575836,0.0768672541614634,0.0748832893413859,0.0718848822148923,0.0704206892206472,0.0640732597678755,0.06286855581276361
7,1.1564552132375698,1.0476520775499782,1.084324235175638,0.987148758431905,0.975938723512515,0.8915059697641557,0.0823850941063558,0.0800814191953449,0.0773635870274502,0.0756363877230703,0.0700417822417054,0.06878850968667795
8,1.541197654786876,1.428386317837318,1.456995621371937,1.3561098342936744,1.3284670648619663,1.2416169264996486,0.1111866534401553,0.1110534783745,0.1053875460733119,0.10578885115907,0.0967315330965817,0.09760315163873015
9,1.7503214737015766,1.635330040372582,1.6684324115469356,1.5649943370037154,1.5443377127034734,1.4550049528006723,0.1251349234883758,0.1260317281391669,0.1196359154369224,0.1210608902301272,0.1115277865111709,0.11347712430827143
