frame,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,mw-equal_lmw-balanced_ignorevisibility_excludebase,mw-equal_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-balanced_byvisibility_includebase,mw-decreasing_by_half_lmw-dempster_byvisibility_includebase,mw-decreasing_by_quarter_lmw-balanced_byvisibility_includebase,mw-decreasing_by_quarter_lmw-dempster_byvisibility_includebase,mw-equal_lmw-balanced_byvisibility_includebase,mw-equal_lmw-dempster_byvisibility_includebase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1074577602628622,0.1024769800737969,0.0940255402300044,0.0896673575645723,0.0671611001642889,0.064048112546123,0.0060823741491575,0.006208795612984,0.0053220773805128,0.005432696161361,0.0038014838432234,0.0038804972581150086
2,0.1702264350039037,0.1629016006296452,0.1545342663186433,0.1477954454906831,0.117172098855755,0.1120752461021492,0.0093312793424246,0.0095622950596459,0.0085183758937005,0.0087232730327716,0.006458850215024,0.0066157099621993
3,0.2334566258704151,0.2202191581357125,0.2119570668111894,0.2003495894307529,0.1661341758959174,0.1579099169549551,0.0132614148244331,0.0132615825058316,0.0119958444282611,0.0120387341956025,0.0092577895063608,0.009376365352259363
4,0.3055437267424495,0.2862045987707424,0.276412381725498,0.2597886029939626,0.220121783814024,0.208776634280035,0.0173971607336091,0.0171679497155563,0.015663862379482,0.0155494336323809,0.0122717586883726,0.012377837547464982
5,0.3480783076053059,0.3239856533958321,0.3211243533777945,0.2992898399504571,0.2623268230810835,0.2456663801617309,0.0199751011424404,0.0194913136908263,0.0183799916283926,0.0179736625893326,0.0148330428028793,0.014616875150287072
6,0.418683339357934,0.3818893955075445,0.3851620131005275,0.3518698935886308,0.316308558445686,0.2902768197681051,0.0248244529899547,0.0234225896997481,0.0227460210733484,0.0215105239654787,0.0184369383051022,0.01754643130144468
7,0.4715646962348777,0.4268024017281631,0.432728962533667,0.3920362552867305,0.3571063878751737,0.3246799558675942,0.0281835266037516,0.026242688249726,0.0258230729614353,0.0240820162938024,0.021155105245743,0.01983469305898713
8,0.5020795868615757,0.4543043806984774,0.467066949351069,0.4229540077800819,0.3906596210403722,0.355650343376771,0.0299191950447981,0.0278284389460165,0.0278326094200288,0.0259259665043298,0.0231376005277275,0.02174670027973185
9,0.5245995356160249,0.4751284247751866,0.4924065364583982,0.445836237383837,0.4196228185137535,0.381020268452487,0.0310025737436504,0.0288397547718686,0.0291559722070709,0.02711592416946,0.0247946199929839,0.023175945639069256
10,0.5904077916336569,0.535436867057324,0.5559616214368359,0.5039667285817471,0.4784302059889013,0.4346451705441889,0.0341256052609062,0.0316836949088445,0.0321677761018363,0.0298444122707524,0.0275479376419696,0.025644031327339344
11,0.632627200218938,0.5746404774131412,0.597426041383607,0.5425086480583551,0.5190055656489352,0.4724264025732388,0.0361579457259243,0.0335999046422159,0.0341269151776584,0.0316897953356352,0.0294047423688381,0.027390157852001273
12,0.6858825632181633,0.6226893915869819,0.647326541990191,0.5879334481598132,0.5650758092349801,0.5148732210349192,0.0391359828634458,0.0363132814027333,0.0367833360204741,0.0341301489324636,0.0315943449197879,0.02940947185009973
13,0.7644153587414337,0.6971012200263107,0.7191539856524747,0.6561980069295748,0.6255941894503466,0.5724764811517463,0.0422584693392732,0.0393162016772075,0.0395542656485229,0.0368062460776333,0.0338763228982443,0.03161563914075165
14,0.8268924821117923,0.757839891319294,0.7763044823035891,0.711889580407604,0.675714301985043,0.6213724383575286,0.0445525349790599,0.0416774951308622,0.0415872890020738,0.0389087336377477,0.0355828248991615,0.03338050310442098
15,0.8767833116242225,0.8036173563739979,0.8202488346303702,0.7522136839737743,0.71208534182599,0.6550511437681954,0.0471730213064626,0.0441162691676894,0.0438070898324216,0.0409580726169994,0.0373033761827959,0.03498276767486584
16,0.946086129708284,0.8709295897195755,0.8804170271342444,0.8107138081589,0.7597973148489265,0.701447098073801,0.0500420172604432,0.0470931494360136,0.0462262159788151,0.0434694397126465,0.0391587339502344,0.03690436211680659
17,0.9894753683101036,0.9129752452769454,0.9241691744556848,0.8533758032374343,0.7992941940287068,0.7402206730825114,0.0519882361655601,0.0491142154997495,0.0481346587110595,0.0454795075940159,0.0408722275948692,0.03874082671698351
18,1.054911145576119,0.973858689604646,0.9832313642999464,0.908667233103694,0.8477356686076379,0.7860042135630616,0.0553597576556733,0.0523374503509737,0.051111814302682,0.0483570029046911,0.0432313569071821,0.041062436103826566
19,1.0936645452824991,1.008781475559804,1.019510540216186,0.9417092524167634,0.8801453419384995,0.8159381857540879,0.0575878666769413,0.0543617926876533,0.0531200153766231,0.0502089342997974,0.044909969335194,0.04263968703777146
20,1.126705899263986,1.0396677421258578,1.0510024248741685,0.9709475731476132,0.9087838600773775,0.8426778332895174,0.0591598203174271,0.0558588947969737,0.0547017527391136,0.0517044316962325,0.0464087305705221,0.04408708460975929
21,1.1580599135342355,1.0685844574644017,1.0791331083590527,0.9970610293514864,0.9338524202748012,0.8659269429936574,0.06088190883107,0.0574884568059295,0.0562459742451318,0.0531874515694781,0.0477635235578537,0.045381757466858505
22,1.2478829809637104,1.1554045857105348,1.1622958019514913,1.077664666572289,1.0078898199914963,0.937649729081374,0.0636788584102171,0.0602585985340277,0.0587611656432601,0.0556969201856563,0.049968432986667,0.047572375668778574
23,1.365541890300063,1.2615949862691171,1.2698959411642066,1.1744591017198631,1.1019218846457208,1.0219106033756584,0.0697903273691496,0.065670754907008,0.0643991990789095,0.06066036858732,0.0549275313287816,0.051903321882199344
24,1.4514307902993495,1.3406554089222922,1.3475157207288802,1.2457421031126716,1.1700433907317411,1.0839930086762584,0.0738518104357475,0.0693710065352279,0.0680815436435907,0.0639961912295947,0.0581750378600108,0.05478642129156479
25,1.5628171222955924,1.4412173578067178,1.4445132833249996,1.3335114928940657,1.2473484997608153,1.1544034142163786,0.0793132188994579,0.0741315298393367,0.0727679931375783,0.0680890932673493,0.0617981637882565,0.05798200879688044
