frame,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,mw-equal_lmw-balanced_ignorevisibility_excludebase,mw-equal_lmw-dempster_ignorevisibility_excludebase,mw-decreasing_by_half_lmw-balanced_byvisibility_includebase,mw-decreasing_by_half_lmw-dempster_byvisibility_includebase,mw-decreasing_by_quarter_lmw-balanced_byvisibility_includebase,mw-decreasing_by_quarter_lmw-dempster_byvisibility_includebase,mw-equal_lmw-balanced_byvisibility_includebase,mw-equal_lmw-dempster_byvisibility_includebase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3979144959927967,0.3878952555391186,0.3481751839936971,0.3394083485967288,0.2486965599954979,0.2424345347119491,0.0132752113429277,0.0135874669230902,0.0116158099250617,0.0118890335577039,0.0082970070893298,0.008492166826931406
2,0.6695615636287834,0.6572667834680178,0.6053999067741407,0.593674011540147,0.4496361041089535,0.4409081956278834,0.023834984224949,0.0249433132709848,0.021311610519799,0.0222321936956668,0.0157823027858573,0.01645982068501844
3,1.129208208905757,1.1068529611125066,1.0506157224044863,1.0298652494709184,0.8769859967098549,0.8623668303836203,0.0518595558917778,0.0547011160669542,0.0477170942794908,0.050314641461272,0.0393773421722383,0.041763173892501525
4,1.5542459495039267,1.5146889947259188,1.436966075382979,1.4011715065943624,1.2270089291064743,1.20058745492015,0.080699039525721,0.0846682075024002,0.0728758388159687,0.0764534938154176,0.0594314980133524,0.06261703601678324
5,1.9625292404407693,1.913416561711964,1.8197271811766376,1.7741535696086324,1.5616657820658777,1.5256152159331853,0.1088911659314071,0.1146708834233949,0.0996664515150029,0.1048968532537338,0.0828820946788456,0.08741038452429707
6,2.204101017033593,2.149796357183412,2.0548337925372544,2.0029528968449304,1.7812171133009405,1.7361481041375957,0.1256556223120677,0.1325638904149255,0.1160344448351241,0.1222459853581073,0.098594945996169,0.10377611047163186
7,2.3549327020302337,2.2973064303920707,2.2048199877579013,2.148950059145556,1.9358250251618816,1.884796776490348,0.1358171606285882,0.1433950641442817,0.1260417386411409,0.132842457811965,0.1087369602916644,0.1143276626342904
8,2.499033518553623,2.4388463596632413,2.3373167670020853,2.2792581990755565,2.0637059610926443,2.010755793915264,0.1452922961939111,0.153550818128832,0.1346836208899232,0.1421196305293518,0.1166797010816152,0.12286312764382436
9,2.61502449686218,2.5499705410227542,2.4464012534496624,2.3838983573955206,2.165219816803326,2.108211718445498,0.1531471401495272,0.1617006835599634,0.142126766756795,0.1498588524070024,0.1237916221916926,0.1302765482230207
