path,creation_method,stem,frames,complexity_per_frame,net_complexity
other\colddance,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,colddance,311,0.2553185016551744,79.40405401475925
other\debbieallenchallenge,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,debbieallenchallenge,792,0.3517247645789882,278.5660135465587
other\getup,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,getup,455,0.3133915973690911,142.59317680293648
other\itsafit,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,itsafit,327,0.1565083354774443,51.17822570112431
other\renegade,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,renegade,367,0.2572514881279473,94.41129614295666
other\sayso,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,sayso,1661,0.3319351782558887,551.3443310830312
other\unhhunh,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,unhhunh,578,0.377006936911046,217.91000953458456
other\welcome-to-my-world,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,welcome-to-my-world,430,0.4774676742804576,205.3110999405968
study2\bartender,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,bartender,449,0.217868294183833,97.82286408854104
study2\last-christmas-tutorial,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,last-christmas-tutorial,452,0.1800528603150495,81.38389286240238
study2\mad-at-disney-tutorial,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,mad-at-disney-tutorial,544,0.2528021655022123,137.5243780332035
study2\pajamaparty-tutorial,mw-decreasing_by_half_lmw-balanced_ignorevisibility_excludebase,pajamaparty-tutorial,419,0.2494842065043648,104.53388252532886
other\colddance,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,colddance,311,0.2447809867511426,76.12688687960537
other\debbieallenchallenge,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,debbieallenchallenge,792,0.3321657652934139,263.0752861123839
other\getup,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,getup,455,0.2986784872947511,135.8987117191118
other\itsafit,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,itsafit,327,0.1464766262013773,47.89785676785038
other\renegade,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,renegade,367,0.2421346704420658,88.86342405223816
other\sayso,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,sayso,1661,0.3174970329296949,527.3625716962232
other\unhhunh,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,unhhunh,578,0.3560096264489333,205.7735640874835
other\welcome-to-my-world,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,welcome-to-my-world,430,0.4545719913855666,195.46595629579363
study2\bartender,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,bartender,449,0.20654169024412,92.73721891960987
study2\last-christmas-tutorial,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,last-christmas-tutorial,452,0.1686238272766132,76.21796992902917
study2\mad-at-disney-tutorial,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,mad-at-disney-tutorial,544,0.2383283418594727,129.65061797155315
