clipRelativeStem,title,clipName,clipPath,clipType,isTest,frameCount,fps,duration,width,height,startTime,endTime,poseUpperBodyOnly,tags,landmarkScope
other/colddance,Cold Dance,colddance,other/colddance.mp4,video,False,398,30.0,13.267,576,1024,0,13.267,False,"[""TikTok""]","[""pose""]"
other/debbieallenchallenge,Debbie-Allen Challenge,debbieallenchallenge,other/debbieallenchallenge.mp4,video,False,922,30.0,30.733,576,1024,0,30.733,False,"[""TikTok""]","[""pose""]"
other/getup,Getup,getup,other/getup.mp4,video,False,527,30.0,17.567,720,1280,0,18.033,False,"[""TikTok""]","[""pose""]"
other/itsafit,It's a Fit,itsafit,other/itsafit.mp4,video,False,414,29.97,13.814,576,1024,1,10.0,False,"[""TikTok""]","[""pose""]"
other/laxed-siren-beat,Laxed (Siren Beat),laxed-siren-beat,other/laxed-siren-beat.mp4,video,False,452,30.0,15.067,576,1024,0,15.067,False,"[""TikTok""]","[""pose""]"
other/raysteps-watchmyshoes,raysteps-watchmyshoes,raysteps-watchmyshoes,other/raysteps-watchmyshoes.MP4,video,False,570,30.0,19.0,576,1024,0,19.0,False,"[""TikTok""]","[""pose""]"
other/renegade,Renegade,renegade,other/renegade.mp4,video,False,367,30.0,12.233,576,1024,0,12.233,False,"[""TikTok""]","[""pose""]"
other/sayso,Say So,sayso,other/sayso.mp4,video,False,1733,29.97,57.824,540,960,0,58.292,False,"[""TikTok""]","[""pose""]"
other/unhhunh,Unhhunh,unhhunh,other/unhhunh.mp4,video,False,578,30.0,19.267,540,960,0,19.267,False,"[""TikTok""]","[""pose""]"
other/welcome-to-my-world,Welcome to My World,welcome-to-my-world,other/welcome-to-my-world.mp4,video,False,430,29.0,14.828,576,1024,0,14.828,False,"[""TikTok""]","[""pose""]"
paper/julien-sirenbeat-tutorial,Siren Beat Tutorial,julien-sirenbeat-tutorial,paper/julien-sirenbeat-tutorial.mp4,video,False,325,25.0,13.0,720,1280,0,13.0,False,[],"[""pose"", ""rightHand"", ""leftHand"", ""face""]"
selena/Advanced-Cha-Cha-Solo-Practice-Routine--Latin-Dance-Tutorial-trimmed,Advanced Cha Cha Solo (Latin Dance),Advanced-Cha-Cha-Solo-Practice-Routine--Latin-Dance-Tutorial-trimmed,selena/Advanced-Cha-Cha-Solo-Practice-Routine--Latin-Dance-Tutorial-trimmed.mp4,video,False,1258,23.976,52.469,1918,1080,0,52.469,False,"[""Selena""]","[""pose""]"
selena/Bust-Your-Windows--Jazmine-Sullivan--Solo-Ladies-Tango-Routine--Lady-Dance-Choreography,Bust Your Windows | by Jazmine Sullivan (Solo Ladies Tango); Lady-Dance-Choreography,Bust-Your-Windows--Jazmine-Sullivan--Solo-Ladies-Tango-Routine--Lady-Dance-Choreography,selena/Bust-Your-Windows--Jazmine-Sullivan--Solo-Ladies-Tango-Routine--Lady-Dance-Choreography.mp4,video,False,2580,30.0,86.0,1920,1080,0,86.0,False,"[""Selena""]","[""pose""]"
