,HipsX,HipsY,HipsZ,HipsXrot,HipsYrot,HipsZrot,SpineXrot,SpineYrot,SpineZrot,LeftUpperArmXrot,LeftUpperArmYrot,LeftUpperArmZrot,LeftLowerArmXrot,LeftLowerArmYrot,LeftLowerArmZrot,RightUpperArmXrot,RightUpperArmYrot,RightUpperArmZrot,RightLowerArmXrot,RightLowerArmYrot,RightLowerArmZrot,LeftUpperLegXrot,LeftUpperLegYrot,LeftUpperLegZrot,RightUpperLegXrot,RightUpperLegYrot,RightUpperLegZrot
0,-0.0013673777,-0.0019259781,0.0008224394,137.73174,-69.74149,133.5249,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-142.57217,-3.1235006,4.072367,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0013983024,-0.0019012024,0.0008198115,137.42238,-69.78348,133.75847,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-150.50063,-2.598477,4.581546,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0014233767,-0.0018652765,0.0008233087,137.0015,-69.755646,134.06227,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-155.68047,-2.0181854,4.455797,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.001440305,-0.0018283023,0.00082394434,137.17,-69.62863,133.82516,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-157.70659,-1.7976414,4.3752947,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0014601363,-0.0018004159,0.0008244049,136.8324,-69.67977,134.05795,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-160.37758,-1.5213311,4.2587476,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,-0.0014728119,-0.0017772255,0.0008401636,136.7833,-69.734825,134.03197,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-163.12271,-1.3502562,4.4412293,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0014897776,-0.001759964,0.0008740711,137.68584,-70.08601,133.02628,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-167.89925,-1.0615773,4.9389443,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,-0.0015102343,-0.0017496322,0.00087062037,138.21089,-70.057144,132.47316,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-165.87111,-1.2144151,4.8127794,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,-0.0015143488,-0.0017381083,0.00087941444,138.77104,-69.95415,131.89346,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-160.15729,-1.711816,4.732158,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,-0.0015153023,-0.0017328786,0.0008886484,139.28818,-69.8533,131.37704,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-156.94704,-1.9824913,4.64733,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,-0.0015115909,-0.00172653,0.0008981565,139.86003,-69.685455,130.81892,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-157.28778,-1.8494864,4.409202,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
11,-0.0015041776,-0.0017244808,0.00089988473,139.717,-69.78913,130.93645,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-154.49277,-1.9885821,4.159635,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,-0.0015075428,-0.0017313972,0.00088410993,138.84818,-70.26577,131.72742,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-146.2949,-2.3184674,3.470526,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
