frame,NOSE_x,NOSE_y,NOSE_distance,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_distance,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_distance,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_distance,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_distance,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_distance,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_distance,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_distance,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_distance,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_distance,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_distance,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_distance,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_distance,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_distance,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_distance,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_distance,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_distance,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_distance,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_distance,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_distance,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_distance,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_distance,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_distance,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_distance,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_distance,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_distance,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_distance,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_distance,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_distance,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_distance,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_distance,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_distance,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_distance,RIGHT_FOOT_INDEX_vis
0,460.41006088256836,581.5476226806641,-269.91487741470337,0.9999861717224121,470.1205587387085,564.5404815673828,-237.73300409317017,0.9999542236328125,477.3234272003174,565.7074737548828,-238.14507722854614,0.9999420642852783,485.68904399871826,567.2638702392578,-238.07169198989868,0.9999567270278931,448.8865613937378,565.765380859375,-235.54550170898438,0.9999709129333496,441.6378593444824,567.659912109375,-236.04256868362427,0.9999724626541138,434.42190170288086,569.3778610229492,-236.2454080581665,0.9999774694442749,491.4072561264038,579.7189331054688,-45.50933003425598,0.9999723434448242,423.6823797225952,581.1351776123047,-35.986849665641785,0.9999243021011353,475.6602430343628,603.2026290893555,-192.18527555465698,0.9999825954437256,447.87341594696045,605.1860809326172,-193.7137484550476,0.9999749660491943,547.8137683868408,694.0419769287109,17.5382137298584,0.9999476671218872,375.1567554473877,698.9767456054688,102.86728620529175,0.9998546838760376,585.9690713882446,835.8317565917969,-169.099223613739,0.9893217086791992,267.5481605529785,797.9262542724609,9.249122366309166,0.8401175141334534,474.01761531829834,758.3615875244141,-587.5148820877075,0.9868645071983337,165.138738155365,771.2264251708984,-342.67786502838135,0.8845581412315369,436.99896812438965,763.8402557373047,-682.8266429901123,0.9778625965118408,131.49508237838745,767.7742767333984,-424.4568729400635,0.8856306672096252,426.11198902130127,748.3352661132812,-687.9046440124512,0.9781394600868225,137.39946126937866,754.4851684570312,-458.3976745605469,0.892537534236908,436.6077518463135,748.00048828125,-596.9798183441162,0.9623346924781799,153.88424277305603,755.2483367919922,-369.2187309265137,0.8765653967857361,535.5646991729736,1004.6281433105469,10.878310203552246,0.9981921315193176,428.3189535140991,1005.3708648681641,-11.113307252526283,0.9984079003334045,517.4602603912354,1230.518569946289,-3.4193162620067596,0.3455252945423126,389.57940101623535,1239.7664642333984,-79.3041443824768,0.38850703835487366,491.65135860443115,1428.0659484863281,397.3120164871216,0.021768677979707718,337.2425937652588,1418.5195922851562,222.01111793518066,0.06543038785457611,487.87013053894043,1451.392822265625,428.5643434524536,0.021509183570742607,331.65621757507324,1449.5819091796875,244.24135208129883,0.030809611082077026,467.6525831222534,1486.6110229492188,265.1226282119751,0.021279821172356606,336.6168451309204,1468.4178161621094,55.64383685588837,0.035824019461870193
1,458.11705112457275,581.1731719970703,-201.83923244476318,0.9999842643737793,468.7764072418213,564.5051956176758,-175.2697741985321,0.9999491572380066,476.24011516571045,565.5455780029297,-175.72416186332703,0.9999365210533142,484.4063901901245,566.9522094726562,-175.6536304950714,0.9999532103538513,448.0647325515747,565.7431030273438,-170.26911735534668,0.9999663233757019,441.2240266799927,567.5341796875,-170.83377599716187,0.9999679923057556,434.25517559051514,569.1744232177734,-171.05256915092468,0.9999735951423645,490.9655714035034,579.4704437255859,-11.51730090379715,0.9999698996543884,424.6011972427368,580.7643508911133,10.512939691543579,0.9999095797538757,474.0642213821411,603.0245971679688,-134.0744984149933,0.9999797940254211,447.19908714294434,604.4789886474609,-132.1138572692871,0.9999691843986511,547.8065586090088,690.8231353759766,26.14762455224991,0.9999475479125977,373.3054304122925,698.9079284667969,143.57800483703613,0.999837338924408,585.9721612930298,830.9806823730469,-132.2290849685669,0.9890876412391663,269.78235483169556,803.4019470214844,67.94307947158813,0.8332669734954834,449.0143632888794,784.3926239013672,-489.3594217300415,0.9860825538635254,155.74367880821228,784.9600982666016,-256.63418769836426,0.8725640773773193,408.1630325317383,809.0966033935547,-572.3000621795654,0.97670978307724,122.14730501174927,781.0594940185547,-328.52959871292114,0.8744231462478638,399.2181873321533,788.7145233154297,-574.5472812652588,0.977064311504364,123.37930798530579,766.7786407470703,-365.3656196594238,0.8821204304695129,408.4337854385376,784.2475891113281,-495.06596088409424,0.9608350992202759,139.42312359809875,768.0765533447266,-283.7667918205261,0.8666678071022034,535.2109909057617,1004.6971130371094,3.2039955630898476,0.9981468319892883,427.21843242645264,1005.5445098876953,-3.539227433502674,0.9982801079750061,516.8879413604736,1234.4476318359375,-39.11102771759033,0.34101182222366333,387.5417375564575,1240.2823638916016,-68.46048831939697,0.37547925114631653,491.50111198425293,1461.202392578125,228.25225353240967,0.023000523447990417,337.0088768005371,1434.5947265625,222.1640682220459,0.06313832849264145,487.96900749206543,1489.0046691894531,245.1412868499756,0.021938690915703773,331.78168058395386,1466.7582702636719,244.24182415008545,0.02998531237244606,465.9018087387085,1524.827880859375,66.15696966648102,0.022241763770580292,335.7105803489685,1492.5062561035156,64.96240496635437,0.03477796912193298
2,457.78183937072754,579.9441528320312,-322.3563551902771,0.9999827146530151,468.32133293151855,564.0451812744141,-298.51205348968506,0.9999450445175171,475.8339214324951,564.8373413085938,-299.0342044830322,0.9999317526817322,483.69871616363525,565.9180450439453,-298.9495325088501,0.9999499320983887,447.8580093383789,565.2336883544922,-291.21668100357056,0.999963104724884,441.15458965301514,566.7168426513672,-291.8223023414612,0.9999650716781616,434.2203712463379,568.1991577148438,-292.09970712661743,0.9999712705612183,490.4410171508789,578.1137847900391,-132.61712551116943,0.9999673962593079,424.9943447113037,579.6743011474609,-98.856600522995,0.9999009966850281,473.6653232574463,601.682014465332,-252.66387462615967,0.9999770522117615,447.1879291534424,602.6396942138672,-247.14566946029663,0.9999647736549377,548.0221652984619,688.8432312011719,-93.07156920433044,0.9999452233314514,371.9874572753906,698.7187957763672,65.01262128353119,0.9998232126235962,573.8539409637451,828.3688354492188,-215.65754413604736,0.9872415065765381,270.53682804107666,810.6912994384766,18.035661578178406,0.8360118269920349,420.9130096435547,841.6096496582031,-525.5564546585083,0.9810596704483032,135.95242023468018,815.9019470214844,-279.5363259315491,0.8708238005638123,389.25127029418945,881.7140960693359,-614.0692234039307,0.9707709550857544,92.23563194274902,817.5654602050781,-330.9252619743347,0.8728382587432861,374.23274517059326,869.8128509521484,-618.9006757736206,0.9717475771903992,90.32860279083252,804.2182922363281,-418.88139724731445,0.8814139366149902,384.14979457855225,857.4984741210938,-533.3137893676758,0.9533618688583374,108.47397208213806,804.8532104492188,-323.0520558357239,0.8665271401405334,534.2180156707764,1003.8974761962891,-10.159287750720978,0.9981153011322021,425.6203508377075,1005.2543640136719,9.751304313540459,0.998242974281311,516.6666269302368,1235.916519165039,-40.08476346731186,0.3402711749076843,383.9162492752075,1240.1873779296875,-34.960499703884125,0.37114232778549194,489.41293716430664,1458.2200622558594,277.0702815055847,0.026147620752453804,339.3601655960083,1436.4854431152344,272.08770275115967,0.06585157662630081,486.1312437057495,1484.0385437011719,299.0085196495056,0.023738419637084007,336.4836359024048,1468.5700988769531,294.8485207557678,0.03148607164621353,463.52232456207275,1523.966064453125,116.71781659126282,0.02545548416674137,337.1784996986389,1496.2983703613281,109.32042360305786,0.03723703697323799
3,457.09978580474854,578.4662628173828,-242.2170352935791,0.9999826550483704,467.5298023223877,563.3500289916992,-223.08876514434814,0.9999457001686096,475.3346014022827,563.8653564453125,-223.61647367477417,0.9999329447746277,483.0767011642456,564.6501541137695,-223.57868671417236,0.9999510645866394,447.2940158843994,564.5109176635742,-214.3026852607727,0.9999628663063049,440.67488193511963,565.7793426513672,-214.9404501914978,0.9999645948410034,433.85215759277344,567.1120071411133,-215.21161079406738,0.9999707341194153,489.9562883377075,576.2689971923828,-110.01364588737488,0.9999680519104004,424.9834442138672,578.3893966674805,-62.04934895038605,0.9998989701271057,473.0495309829712,600.0263214111328,-188.4743857383728,0.9999765753746033,447.1202516555786,600.0483322143555,-180.15003204345703,0.9999634027481079,548.0573129653931,686.3697814941406,-57.35586404800415,0.9999476671218872,371.90608978271484,698.7724304199219,66.8083655834198,0.9998153448104858,544.6801328659058,829.0489196777344,-142.48295545578003,0.9870606064796448,270.7127594947815,821.9651031494141,35.089210867881775,0.8356522917747498,416.24210357666016,903.4279632568359,-376.54335021972656,0.9809645414352417,123.4636902809143,866.1488342285156,-244.20457363128662,0.8655521273612976,388.62517833709717,946.103515625,-448.8905096054077,0.9708485007286072,80.11918723583221,873.5173797607422,-303.11631202697754,0.8670509457588196,369.11019802093506,937.6879119873047,-466.6112422943115,0.9719963073730469,75.20004272460938,859.6518707275391,-365.3006887435913,0.8770017027854919,376.2297248840332,925.1531219482422,-386.65738105773926,0.9541438817977905,90.34316182136536,858.3713531494141,-280.1395654678345,0.8635362982749939,527.5086736679077,1001.0896301269531,-10.006639212369919,0.9981774687767029,420.4086685180664,1000.5454254150391,9.571707621216774,0.9982436299324036,516.4642810821533,1242.7474212646484,-84.93665993213654,0.34028133749961853,375.67573070526123,1242.6997375488281,-56.3897430896759,0.36517617106437683,490.45475006103516,1465.3561401367188,170.16210794448853,0.02778995782136917,339.9156403541565,1447.19970703125,166.85739040374756,0.06584225594997406,486.86076164245605,1489.3740844726562,185.8234190940857,0.02406856045126915,338.2311701774597,1479.9783325195312,182.84172534942627,0.03141719847917557,468.64015102386475,1534.3124389648438,29.11879599094391,0.02688557654619217,337.15890884399414,1509.8992919921875,28.899249136447906,0.037863872945308685
4,456.7433738708496,576.5898513793945,-339.5902347564697,0.9999828934669495,467.1526622772217,561.7363357543945,-317.4820947647095,0.9999468326568604,474.9748420715332,562.0296096801758,-318.00102710723877,0.9999346137046814,482.7012348175049,562.655029296875,-317.9653000831604,0.9999521374702454,446.48218631744385,562.9023361206055,-305.02883434295654,0.9999634027481079,439.7997522354126,564.068717956543,-305.6184697151184,0.9999650120735168,433.14173698425293,565.3395843505859,-305.90630292892456,0.9999710321426392,488.95095348358154,574.5241165161133,-174.59269881248474,0.9999685287475586,423.68499755859375,577.3285675048828,-117.39835739135742,0.9999005794525146,472.6216220855713,598.2523727416992,-280.19009828567505,0.9999770522117615,446.5975856781006,598.1461334228516,-267.65527725219727,0.9999643564224243,547.3577928543091,684.5813751220703,-164.79063034057617,0.9999508261680603,371.73155307769775,699.0330505371094,40.6359788775444,0.9998234510421753,524.1927337646484,832.0498657226562,-248.10184478759766,0.9878312945365906,270.69632291793823,835.5776214599609,7.591141015291214,0.8472259640693665,421.8791198730469,960.9227752685547,-453.271222114563,0.9821001291275024,128.4712028503418,924.1802215576172,-264.54614639282227,0.8760073781013489,396.432466506958,1014.5298767089844,-542.0066356658936,0.9724248051643372,87.63425946235657,946.8482971191406,-340.9916353225708,0.8761716485023499,377.83308506011963,1003.3378601074219,-517.256669998169,0.973565936088562,80.58751702308655,936.2635803222656,-401.75392627716064,0.8857483267784119,382.7320861816406,988.8162231445312,-456.65865898132324,0.9568036198616028,94.9622368812561,931.0675048828125,-296.15334033966064,0.8733935356140137,519.7195386886597,989.5258331298828,-23.01339089870453,0.9982404708862305,410.3881502151489,986.5166473388672,22.580190002918243,0.9982839226722717,516.4664268493652,1241.2174224853516,-99.60364937782288,0.34843504428863525,367.1103000640869,1239.4608306884766,-87.90498554706573,0.370083749294281,490.0443935394287,1457.9644775390625,219.77020740509033,0.03183557093143463,341.28047704696655,1445.8111572265625,181.7520833015442,0.06853609532117844,486.62266731262207,1480.5403137207031,241.11563444137573,0.025624608621001244,341.84695959091187,1479.1107177734375,201.40323400497437,0.03281427174806595,468.6588191986084,1529.9099731445312,72.67636835575104,0.03018946200609207,337.93481826782227,1503.7324523925781,33.761833906173706,0.04031963646411896
5,455.0796318054199,576.6109085083008,-379.2347002029419,0.9999816417694092,465.1401901245117,561.5116500854492,-357.907018661499,0.9999439120292664,473.4180021286011,561.9971466064453,-358.40436458587646,0.999930739402771,480.5390739440918,562.7046585083008,-358.35413217544556,0.9999484419822693,444.23659801483154,562.7600860595703,-343.624792098999,0.9999620318412781,437.3678255081177,564.0525436401367,-344.23916816711426,0.9999637007713318,431.21153354644775,565.372200012207,-344.5741009712219,0.9999704360961914,487.91197299957275,574.5747756958008,-217.4961018562317,0.9999639987945557,420.9039115905762,577.4326705932617,-151.24784588813782,0.9999005794525146,471.24815940856934,598.2856369018555,-320.9190773963928,0.9999746680259705,443.19221019744873,598.2827758789062,-305.91625928878784,0.9999632239341736,546.7350912094116,684.6211242675781,-213.88503313064575,0.9999516010284424,371.48603439331055,699.1536712646484,6.842035576701164,0.9998353123664856,516.5975332260132,839.6770477294922,-278.66971492767334,0.9871141910552979,276.67168378829956,836.0874938964844,8.527740240097046,0.8595898151397705,444.7189235687256,1006.3150787353516,-473.896164894104,0.9798874855041504,159.98902559280396,962.6681518554688,-220.55171728134155,0.8872371912002563,445.1149034500122,1065.352554321289,-547.4786424636841,0.9693256616592407,121.9042432308197,994.5755004882812,-275.34716606140137,0.8865309953689575,419.9869394302368,1061.3362121582031,-568.2113456726074,0.9708464741706848,112.37488031387329,995.6934356689453,-345.68511486053467,0.8954614400863647,414.2842626571655,1042.8070068359375,-486.22926235198975,0.9540213942527771,127.73765087127686,988.2542419433594,-257.2333073616028,0.8841849565505981,513.2362747192383,983.6949157714844,-40.53198963403702,0.9982563853263855,403.73258113861084,975.5855560302734,40.086954832077026,0.9983407258987427,516.5020036697388,1240.7289123535156,-97.93093800544739,0.3469422161579132,360.2041482925415,1232.7415466308594,-63.57261836528778,0.3666808009147644,488.193883895874,1443.1307983398438,236.73425674438477,0.03360097482800484,344.8671054840088,1440.2275085449219,214.119393825531,0.06935414671897888,486.6414213180542,1462.1174621582031,260.712947845459,0.02558908797800541,349.6967124938965,1470.689697265625,236.48669958114624,0.03312886506319046,453.29066276550293,1519.2283630371094,107.60617017745972,0.031502943485975266,339.13423776626587,1500.2827453613281,92.33104348182678,0.04170117899775505
6,452.28768825531006,576.6294097900391,-479.4776487350464,0.9999780058860779,462.5283193588257,561.5150833129883,-454.8203372955322,0.9999332427978516,471.0496759414673,562.009162902832,-455.31965732574463,0.9999179244041443,477.1898317337036,562.7274322509766,-455.2801752090454,0.9999362826347351,441.02704524993896,562.7632522583008,-437.9137086868286,0.9999560713768005,434.05686378479004,564.0702056884766,-438.49207878112793,0.9999587535858154,427.98447132110596,565.395393371582,-438.84085178375244,0.9999669790267944,483.4251308441162,574.6165084838867,-286.463463306427,0.9999528527259827,417.87189960479736,577.3918914794922,-208.1728720664978,0.9998934864997864,467.4649143218994,598.4352874755859,-409.9668073654175,0.9999693036079407,438.3630323410034,598.3222579956055,-391.45493030548096,0.9999594688415527,544.5384693145752,686.7495727539062,-263.42195749282837,0.9999509453773499,366.63557052612305,699.4963073730469,-15.482308566570282,0.9998456239700317,514.735951423645,860.1298522949219,-341.34984970092773,0.9868758916854858,294.1516184806824,847.0018005371094,9.280612841248512,0.8704695105552673,486.81612968444824,1036.4351654052734,-582.4731874465942,0.9777412414550781,211.6639280319214,999.4226837158203,-234.98148679733276,0.8976439833641052,499.0025854110718,1091.7236328125,-665.8958530426025,0.9654058218002319,170.48091530799866,1027.7071380615234,-296.4290714263916,0.8962987065315247,471.92214488983154,1093.2203674316406,-710.1426458358765,0.967375636100769,166.18707418441772,1030.965805053711,-369.2810010910034,0.9045730829238892,459.65569496154785,1076.0459899902344,-603.5336351394653,0.9502385258674622,182.8630542755127,1026.0475158691406,-273.92329931259155,0.8942230939865112,511.0476779937744,984.3156433105469,-55.834107398986816,0.9982156157493591,400.4300308227539,977.7762603759766,55.4879093170166,0.998359739780426,516.4335536956787,1240.5238342285156,-136.46848797798157,0.3559149205684662,354.16450023651123,1233.1317138671875,-45.98360359668732,0.36700382828712463,489.1836404800415,1441.0371398925781,255.29808282852173,0.03679598867893219,353.96151065826416,1439.9069213867188,320.0552988052368,0.0698508620262146,493.4884786605835,1459.5465087890625,281.7962694168091,0.026310792192816734,359.41555738449097,1468.1521606445312,350.5910038948059,0.03367727994918823,447.0102596282959,1515.7916259765625,109.7348141670227,0.03380809351801872,353.0225443840027,1498.6793518066406,174.71677780151367,0.04263531044125557
7,449.2114734649658,576.5706634521484,-678.5939455032349,0.999975323677063,459.39605712890625,561.4886474609375,-647.1275568008423,0.9999254941940308,468.14332008361816,562.0313262939453,-647.6637411117554,0.9999076724052429,473.9772319793701,562.8267288208008,-647.6325845718384,0.9999261498451233,437.8418254852295,562.4527740478516,-641.1097526550293,0.999952495098114,431.034893989563,563.7915802001953,-641.7927074432373,0.9999560713768005,424.6297788619995,565.0699615478516,-642.2372245788574,0.999965488910675,478.95652770996094,574.6364212036133,-436.8705654144287,0.9999404549598694,414.98605728149414,577.2228240966797,-408.8438844680786,0.999889612197876,463.5043430328369,598.465576171875,-593.0937910079956,0.9999628663063049,434.08857822418213,598.4312057495117,-588.9288139343262,0.9999558925628662,540.898904800415,695.8426666259766,-323.17251920700073,0.999947726726532,359.93839502334595,700.3313446044922,-220.44071674346924,0.999855637550354,522.5148296356201,879.9204254150391,-292.4920606613159,0.9859380722045898,315.1564693450928,860.0164031982422,-179.61984515190125,0.8813779950141907,546.8288612365723,1063.7248229980469,-467.99474716186523,0.9726391434669495,258.7541198730469,1018.8011169433594,-394.60920810699463,0.9069744348526001,562.1951293945312,1124.1046142578125,-522.7746391296387,0.9555749297142029,224.7156000137329,1056.2245178222656,-458.2564401626587,0.9045857787132263,542.973690032959,1122.81494140625,-599.4282674789429,0.959148645401001,214.86584186553955,1054.9977111816406,-534.2894268035889,0.912369430065155,531.5108728408813,1105.1666259765625,-499.77763652801514,0.9422619938850403,230.82912683486938,1045.7108306884766,-432.18807220458984,0.9026935696601868,495.5450248718262,984.9523162841797,-52.67445981502533,0.998165488243103,389.1547966003418,980.3763580322266,52.16806948184967,0.9983814358711243,515.2709341049194,1231.585693359375,-110.78277468681335,0.3619825839996338,350.0464081764221,1233.4352111816406,-71.9039511680603,0.37439030408859253,489.06755447387695,1440.7048034667969,258.3970642089844,0.03951214253902435,343.521945476532,1439.4497680664062,283.002233505249,0.07343008369207382,493.7438678741455,1459.1128540039062,283.7043070793152,0.02666708454489708,346.8040466308594,1466.1283874511719,307.4549460411072,0.03430253639817238,445.83240509033203,1515.5990600585938,88.14385235309601,0.03637751191854477,350.3538107872009,1497.4488830566406,126.13425850868225,0.04575754329562187
8,445.6416893005371,576.5932464599609,-639.9322414398193,0.9999715089797974,456.37043952941895,561.4835357666016,-603.9810705184937,0.9999151825904846,464.9953079223633,562.0969390869141,-604.5216751098633,0.9998948574066162,470.95805168151855,563.078498840332,-604.5037794113159,0.9999127388000488,434.7885274887085,562.3337936401367,-599.3110227584839,0.9999474287033081,428.2920026779175,563.6504364013672,-599.9717903137207,0.9999524354934692,421.6236448287964,564.8627471923828,-600.4296970367432,0.9999629855155945,475.52098274230957,574.9477386474609,-376.8887758255005,0.9999285340309143,412.45370864868164,576.8833541870117,-354.32092666625977,0.9998859167098999,459.4105625152588,598.6323928833008,-548.6505317687988,0.9999561905860901,430.3116846084595,598.5161590576172,-546.016902923584,0.9999516606330872,536.1487340927124,702.1122741699219,-254.56762075424194,0.9999423027038574,357.2089147567749,700.35400390625,-184.326274394989,0.9998632073402405,526.4808940887451,883.6403656005859,-240.1742649078369,0.9849912524223328,341.0109043121338,862.5344085693359,-166.11595273017883,0.890989363193512,597.483344078064,1068.5798645019531,-432.68876552581787,0.9696903228759766,310.7483768463135,1020.0666809082031,-410.1703977584839,0.9156010746955872,618.9967203140259,1120.2591705322266,-494.126672744751,0.9504151344299316,285.9173655509949,1057.421875,-486.1433458328247,0.9126813411712646,615.9386157989502,1125.845718383789,-576.0748958587646,0.9552667737007141,278.131685256958,1057.6656341552734,-556.7216634750366,0.9199134707450867,603.3645057678223,1107.6300048828125,-468.629207611084,0.939125120639801,292.3988699913025,1046.0728454589844,-446.55943393707275,0.9108598828315735,497.96716690063477,995.8198547363281,-46.361682415008545,0.9979962706565857,388.57741355895996,989.9449157714844,45.76776087284088,0.9983106255531311,510.9202194213867,1240.4386138916016,-97.0338249206543,0.38158702850341797,347.1522831916809,1233.6131286621094,-25.92286080121994,0.3855910897254944,493.1425380706787,1449.1848754882812,329.55615520477295,0.042765673249959946,342.75333166122437,1438.9547729492188,415.85668087005615,0.0738002136349678,501.0969400405884,1468.9656066894531,359.8492169380188,0.026970714330673218,346.17531538009644,1464.8063659667969,453.08677196502686,0.03434823080897331,445.90797901153564,1516.6232299804688,149.03753399848938,0.03862025961279869,348.1910705566406,1496.7875671386719,270.73578357696533,0.046328119933605194
9,443.0779695510864,576.6779327392578,-706.4051055908203,0.9999690651893616,453.838906288147,561.532096862793,-670.2911567687988,0.9999094605445862,462.24812507629395,562.3761749267578,-670.8681106567383,0.9998877048492432,468.6100673675537,563.7758255004883,-670.8848905563354,0.999905526638031,432.6585102081299,562.1823120117188,-670.4101610183716,0.9999445080757141,426.27764225006104,563.3766937255859,-671.093373298645,0.9999503493309021,419.5156002044678,564.4521331787109,-671.5780162811279,0.9999613761901855,472.5035619735718,575.491828918457,-433.7815189361572,0.999922513961792,410.37999629974365,575.97900390625,-434.46056842803955,0.9998840689659119,455.9173822402954,599.0462112426758,-610.998158454895,0.999951183795929,427.57583141326904,598.5733795166016,-614.8365926742554,0.9999482035636902,531.4955949783325,705.8110809326172,-282.50360012054443,0.999938428401947,351.1112666130066,699.9631500244141,-270.18213272094727,0.9998677968978882,535.9120559692383,884.0992736816406,-220.3714084625244,0.9850412011146545,349.2104172706604,860.6639099121094,-293.69579315185547,0.9000625014305115,632.262282371521,1056.3276672363281,-387.15421199798584,0.969415545463562,355.28308868408203,1011.0934448242188,-559.0203380584717,0.9230778813362122,666.9622135162354,1104.4769287109375,-439.73220348358154,0.9492802619934082,326.7570447921753,1051.1602783203125,-643.9259004592896,0.9192838072776794,676.5694999694824,1106.0557556152344,-529.3799543380737,0.954864501953125,338.89721632003784,1056.568374633789,-704.6482372283936,0.9261353611946106,661.3633489608765,1090.963134765625,-425.4013967514038,0.9398059248924255,357.3842453956604,1044.6920013427734,-591.8878269195557,0.9174683094024658,494.65367317199707,1002.3420715332031,-29.118340015411377,0.9979391098022461,382.9991912841797,995.7353210449219,28.548668324947357,0.9982800483703613,495.8941841125488,1247.8519439697266,-69.06907081604004,0.4068889021873474,344.11025047302246,1237.4507904052734,-35.01296103000641,0.40436574816703796,491.36695861816406,1453.3587646484375,326.00769996643066,0.05118585005402565,343.0945086479187,1435.2287292480469,386.1397361755371,0.07794008404016495,500.5781364440918,1475.3199768066406,353.0276083946228,0.028993744403123856,346.67733907699585,1458.5527038574219,422.5670528411865,0.036552414298057556,441.8534231185913,1516.6355895996094,142.23543047904968,0.04509112611413002,347.57766008377075,1492.5404357910156,233.81262302398682,0.049954693764448166
