frame,NOSE_x,NOSE_y,NOSE_distance,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_distance,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_distance,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_distance,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_distance,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_distance,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_distance,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_distance,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_distance,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_distance,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_distance,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_distance,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_distance,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_distance,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_distance,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_distance,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_distance,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_distance,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_distance,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_distance,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_distance,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_distance,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_distance,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_distance,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_distance,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_distance,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_distance,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_distance,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_distance,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_distance,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_distance,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_distance,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_distance,RIGHT_FOOT_INDEX_vis
0,-19.626116037368774,-608.0767211914062,-170.2397117614746,0.9999450445175171,-9.854586124420166,-631.0588989257812,-166.55065727233887,0.9998863935470581,-9.214471578598022,-630.7619018554688,-159.7979965209961,0.9998792409896851,-9.464472770690918,-630.7069091796875,-162.13377571105957,0.9998998641967773,-21.785380125045776,-636.5283813476562,-170.37554740905762,0.9999213218688965,-21.155211210250854,-634.4918823242188,-177.1512451171875,0.9999274015426636,-18.277578592300415,-620.8377685546875,-166.04417037963867,0.9999368190765381,33.74101138114929,-631.4406127929688,-115.6530933380127,0.9999284744262695,-42.4463095664978,-568.6817626953125,-100.0662317276001,0.9998531341552734,6.137039065361023,-601.635009765625,-143.42664241790771,0.9999388456344604,-13.0180424451828,-561.299072265625,-154.30181121826172,0.9999195337295532,100.2859582901001,-472.6548767089844,-46.90778875350952,0.9999836683273315,-62.117265701293945,-501.4652099609375,4.990800261497498,0.9999114274978638,168.7577419281006,-283.4591064453125,-51.020602226257324,0.9926324486732483,-87.58009815216064,-198.07656860351562,-0.09717810899019241,0.9661868214607239,154.13330841064453,-91.17921447753906,-54.4192271232605,0.9949312806129456,-142.70611095428467,6.640122413635254,-44.27829694747925,0.99065101146698,145.06072998046875,-53.22899627685547,-55.83937311172485,0.9915453791618347,-141.80263996124268,47.841522216796875,-64.93079137802124,0.9842548370361328,122.16788291931152,-52.00469970703125,-67.53461122512817,0.9925570487976074,-127.78689193725586,28.16204071044922,-80.06201648712158,0.9858221411705017,146.95635223388672,-65.4342269897461,-59.77617788314819,0.9897258877754211,-138.18412971496582,12.158367156982422,-55.3764967918396,0.9827086925506592,50.453651905059814,7.832589149475098,-1.7457789033651352,0.9998816251754761,-48.71335315704346,-11.218109130859375,2.853323221206665,0.9998223185539246,81.48504638671875,459.6834411621094,-34.781129121780396,0.9888835549354553,-52.31949520111084,361.2676696777344,14.923221945762634,0.9494226574897766,135.9977903366089,808.7210083007812,28.20290207862854,0.9839561581611633,-68.72273969650269,714.3409423828125,131.51278495788574,0.9169580340385437,128.68807983398438,847.430908203125,36.52077341079712,0.7805004119873047,-70.94209384918213,745.4736938476562,119.90318012237549,0.6744714379310608,109.44384384155273,899.7463989257812,0.7851741090416908,0.9692842960357666,-102.46427249908447,790.4296264648438,97.98203945159912,0.8940197825431824
1,-20.06040859222412,-608.1121215820312,-179.07519149780273,0.9999400973320007,-10.416447758674622,-631.0664672851562,-176.0273780822754,0.9998734593391418,-9.723172903060913,-630.7725219726562,-169.14013481140137,0.9998674392700195,-10.023305654525757,-630.7122802734375,-171.5160312652588,0.9998902678489685,-22.12963843345642,-636.5145874023438,-180.29098320007324,0.9999117255210876,-21.450129747390747,-634.4891967773438,-187.2729148864746,0.9999195337295532,-18.757732629776,-620.8402709960938,-175.94556427001953,0.9999291300773621,31.580152988433838,-628.7055053710938,-126.67605400085449,0.9999241232872009,-44.15906524658203,-568.0516357421875,-113.33968162536621,0.9998354911804199,5.3268343806266785,-601.1221923828125,-153.15863227844238,0.9999364018440247,-14.084783792495728,-561.1228637695312,-165.08667755126953,0.9999155402183533,96.99260902404785,-466.298828125,-58.5506272315979,0.999983549118042,-65.21329879760742,-496.4638366699219,-7.619293749332428,0.999903678894043,164.53461456298828,-275.24560546875,-61.04707717895508,0.9929535984992981,-90.26066780090332,-189.8874969482422,-15.437058091163635,0.9661034941673279,153.29122352600098,-76.50668334960938,-64.77524042129517,0.994998574256897,-144.73374938964844,7.18643045425415,-61.24772357940674,0.9897434711456299,145.00619316101074,-36.6431770324707,-66.39145374298096,0.9915334582328796,-143.2745590209961,48.04281997680664,-82.29908180236816,0.9827185869216919,122.15960025787354,-35.53087615966797,-79.5433759689331,0.9925544261932373,-130.06189441680908,28.07140350341797,-97.8834114074707,0.9845042824745178,146.15898513793945,-48.93379211425781,-71.32834911346436,0.9897170066833496,-140.08953666687012,12.266634941101074,-72.89839839935303,0.9812687635421753,50.51387929916382,7.724325656890869,-0.9079560488462448,0.9998770952224731,-48.759650230407715,-11.117213249206543,1.9800589978694916,0.9998131990432739,80.71754837036133,456.197265625,-33.15047264099121,0.9887892603874207,-53.89012384414673,357.43341064453125,12.17020046710968,0.9497147798538208,126.26235008239746,810.021484375,33.61430597305298,0.9837628602981567,-80.49085235595703,714.5667114257812,126.36405086517334,0.918300986289978,118.28642177581787,848.580078125,42.2904109954834,0.7762786149978638,-83.48505592346191,745.8757934570312,114.22445869445801,0.6716395020484924,105.77353477478027,899.7523803710938,3.793295592069626,0.9687057733535767,-110.32705020904541,789.5460815429688,84.62695598602295,0.8942170143127441
2,-22.005130290985107,-605.6941528320312,-193.77369689941406,0.9999322295188904,-11.764465928077698,-628.0848388671875,-190.07576751708984,0.999853789806366,-10.984252095222473,-627.7245483398438,-182.9469451904297,0.9998475313186646,-11.39911150932312,-627.52490234375,-185.3122158050537,0.9998731017112732,-23.713637351989746,-633.9920654296875,-194.6404323577881,0.9998978972434998,-23.000856399536133,-632.1787719726562,-201.80320930480957,0.9999079704284668,-20.454663276672363,-618.6425170898438,-190.22621154785156,0.9999186396598816,29.92635226249695,-621.3605346679688,-136.96374607086182,0.99991375207901,-48.56181478500366,-567.079833984375,-126.01678848266602,0.9998107552528381,2.7257077395915985,-596.8472900390625,-166.79082870483398,0.9999291896820068,-17.63941991329193,-559.023681640625,-179.48268127441406,0.9999068379402161,91.69913864135742,-457.43963623046875,-67.26326608657837,0.9999826550483704,-71.16110372543335,-494.62237548828125,-19.77390146255493,0.9998972415924072,150.22167778015137,-260.2872009277344,-67.11905336380005,0.9930996298789978,-93.14069080352783,-185.72752380371094,-26.814652919769287,0.9665169715881348,147.84499168395996,-50.38520812988281,-69.09691858291626,0.9949238300323486,-147.87805366516113,10.561105728149414,-69.445228099823,0.9893848299980164,142.7864227294922,-7.9398674964904785,-70.30483531951904,0.9912735223770142,-146.73389625549316,51.348846435546875,-90.4176607131958,0.9818590879440308,120.73136043548584,-3.8921852111816406,-84.59650325775146,0.9923421740531921,-133.36860752105713,31.371522903442383,-105.90276145935059,0.9837798476219177,141.34615802764893,-20.101333618164062,-76.11634540557861,0.9894374012947083,-142.88551425933838,15.63672924041748,-81.12992191314697,0.980472981929779,50.745909690856934,7.707483291625977,-0.05424501607194543,0.9998723864555359,-48.99640130996704,-11.079153060913086,1.1657483875751495,0.9998071193695068,76.4228982925415,454.9813232421875,-31.861847162246704,0.9885717034339905,-57.375004291534424,355.7890625,10.613701701164246,0.9498860239982605,114.0342664718628,810.0791625976562,43.05772018432617,0.9831711649894714,-91.80155181884766,714.0910034179688,126.56893730163574,0.9191362261772156,105.26285076141357,848.6973876953125,52.591715812683105,0.7689126133918762,-96.00867176055908,745.4620971679688,114.4392671585083,0.6685677766799927,90.05202198028564,901.0758666992188,13.52888309955597,0.9674280881881714,-123.04200839996338,787.9144897460938,85.46771907806396,0.8935611844062805
3,-22.248410940170288,-606.118408203125,-190.5742893218994,0.9999256134033203,-11.850171089172363,-628.2260131835938,-187.0459098815918,0.9998390674591064,-11.05315375328064,-627.912109375,-180.04291534423828,0.9998338222503662,-11.475109219551086,-627.66845703125,-182.4198760986328,0.9998614192008972,-23.900417804718018,-634.3143310546875,-191.3514003753662,0.9998854398727417,-23.21190118789673,-632.6369018554688,-198.39966201782227,0.9998977184295654,-20.640538215637207,-619.1607666015625,-186.93511962890625,0.9999085068702698,29.51908564567566,-621.4736328125,-135.85522556304932,0.9999063611030579,-50.19663619995117,-568.579833984375,-122.43411254882812,0.999783992767334,2.220702901482582,-596.9724731445312,-163.7611598968506,0.9999223351478577,-18.493972778320312,-559.849609375,-175.9127426147461,0.9998968243598938,88.59187889099121,-455.1466979980469,-66.5551586151123,0.9999818205833435,-75.95134449005127,-495.4435729980469,-16.388837814331055,0.9998844265937805,135.50829792022705,-248.78187561035156,-60.90186882019043,0.9931637644767761,-93.61315441131592,-185.67581176757812,-24.244802713394165,0.9651595950126648,142.7447862625122,-25.69343376159668,-59.85925769805908,0.9949520826339722,-148.71776962280273,10.522184371948242,-70.11687898635864,0.9878593683242798,140.94064235687256,20.661409378051758,-60.85578203201294,0.9912391901016235,-148.2909164428711,51.223304748535156,-91.17087650299072,0.9793963432312012,119.99310493469238,29.631269454956055,-76.46571922302246,0.9923369288444519,-136.091534614563,31.233381271362305,-106.73983383178711,0.9816976189613342,137.37884044647217,7.407691955566406,-67.45547533035278,0.989397406578064,-144.0494556427002,15.599443435668945,-81.80880832672119,0.978198766708374,51.56682872772217,7.683369159698486,1.2894581705331802,0.999866247177124,-49.768341064453125,-11.014307022094727,-0.08333468344062567,0.9997928738594055,74.91073322296143,452.62200927734375,-31.63448166847229,0.9883223176002502,-62.37420415878296,354.1390075683594,5.923654854297638,0.9494321346282959,107.43896770477295,809.5239868164062,44.88730001449585,0.982431173324585,-97.31338405609131,703.5098876953125,131.68352794647217,0.9167470932006836,97.9322919845581,848.376953125,54.77432584762573,0.7603219151496887,-101.59335708618164,733.6083374023438,121.46826839447021,0.6590157151222229,83.61139869689941,900.6282958984375,16.01428234577179,0.9661951065063477,-125.76711559295654,773.6805419921875,94.16520023345947,0.8894386887550354
4,-24.16515827178955,-610.3775024414062,-164.13517570495605,0.9999210238456726,-13.143954992294312,-630.6383056640625,-158.1262035369873,0.9998340010643005,-12.418641686439514,-630.839599609375,-151.2396125793457,0.9998294115066528,-12.850386142730713,-630.4551391601562,-153.3178482055664,0.9998579621315002,-25.520753145217896,-636.814697265625,-162.31594276428223,0.9998788833618164,-24.917635917663574,-635.8214721679688,-169.66492080688477,0.9998912215232849,-22.188250064849854,-622.2047729492188,-158.49591064453125,0.9999010562896729,27.94756007194519,-621.8935546875,-103.76461601257324,0.9999046921730042,-51.88534212112427,-571.000244140625,-93.25521469116211,0.999764084815979,0.15086904354393482,-599.9339599609375,-138.0190944671631,0.9999203085899353,-20.797707080841064,-564.236083984375,-150.36592483520508,0.9998914003372192,83.5374641418457,-452.8829650878906,-49.07930517196655,0.9999813437461853,-80.19913101196289,-496.4497375488281,4.475593239068985,0.9998653531074524,118.31021404266357,-243.9273223876953,-60.47071552276611,0.9925915598869324,-93.62349700927734,-186.35752868652344,-20.19494605064392,0.9580042362213135,125.14825057983398,-34.135467529296875,-78.48022556304932,0.9946133494377136,-148.59144401550293,-11.830442428588867,-75.32284927368164,0.9839563965797424,125.20328521728516,10.754073143005371,-86.69058322906494,0.9908809065818787,-148.28552627563477,24.081161499023438,-98.40640354156494,0.9747805595397949,104.85456275939941,18.289169311523438,-100.33186054229736,0.9920299649238586,-136.8262538909912,0.30016469955444336,-114.87606811523438,0.9777077436447144,120.16940975189209,-2.7676658630371094,-86.45225715637207,0.9887863993644714,-144.10170936584473,-8.518287658691406,-87.3978967666626,0.973704993724823,52.555113315582275,7.688992977142334,1.2670625299215317,0.999855637550354,-50.682862758636475,-11.015496253967285,-0.0590480393730104,0.9997648000717163,73.51946067810059,452.2699890136719,-44.416767597198486,0.9876309037208557,-70.2150993347168,352.8187255859375,6.275009214878082,0.9428572654724121,98.19454765319824,811.0714111328125,28.330143928527832,0.9807980060577393,-106.06367683410645,684.297607421875,155.8366870880127,0.9024041295051575,87.37695407867432,850.77099609375,38.66439485549927,0.7448714971542358,-110.79275035858154,711.8126831054688,148.09965133666992,0.637973427772522,69.17450094223022,906.3612670898438,-1.3592927008867264,0.963284969329834,-133.77238941192627,755.3656616210938,131.9263687133789,0.871488630771637
5,-24.11336588859558,-622.9656372070312,-98.47398662567139,0.999917209148407,-13.030245423316956,-640.5261840820312,-90.00851440429688,0.9998314380645752,-12.377759456634521,-641.9017944335938,-83.5290699005127,0.9998251795768738,-12.80770468711853,-641.4891967773438,-85.51916599273682,0.9998540878295898,-25.532267332077026,-647.4898681640625,-93.85560035705566,0.9998764991760254,-24.941179275512695,-647.5186157226562,-101.45262908935547,0.9998884797096252,-22.17817997932434,-634.1655883789062,-90.59905529022217,0.9998979568481445,28.03126859664917,-629.6640014648438,-34.67258977890015,0.9999023675918579,-52.01233720779419,-583.3425903320312,-24.096965789794922,0.9997578859329224,0.21407070569694042,-611.7167358398438,-73.17527961730957,0.9999170899391174,-20.918335676193237,-578.268798828125,-85.06071853637695,0.9998860359191895,82.22004890441895,-453.55810546875,7.464884877204895,0.9999779462814331,-81.71060085296631,-508.916259765625,50.249430656433105,0.9998472929000854,104.29198551177979,-246.12127685546875,-42.00329875946045,0.9902806282043457,-93.23602294921875,-213.38282775878906,-12.754752516746521,0.9504327774047852,100.13099956512451,-103.28665924072266,-92.83128833770752,0.9938826560974121,-135.05721473693848,-116.40855407714844,-106.05151462554932,0.9831025004386902,97.24629020690918,-68.49238586425781,-109.47623634338379,0.9905638098716736,-134.84644889831543,-96.77227783203125,-140.4398889541626,0.9747079610824585,76.0732069015503,-68.42724609375,-120.10918235778809,0.9917493462562561,-120.69117450714111,-133.76199340820312,-153.01514053344727,0.9776307344436646,94.37388038635254,-79.365478515625,-100.3859167098999,0.988115668296814,-131.40668964385986,-120.8808822631836,-116.81280326843262,0.9732584357261658,53.05513286590576,7.004270553588867,1.5325347036123276,0.9998440742492676,-51.25634050369263,-10.346519470214844,-0.10297846142202616,0.9997437000274658,72.68386459350586,438.0805358886719,-48.76952505111694,0.9847354888916016,-69.72323369979858,352.8554992675781,-4.642467677593231,0.9307620525360107,87.76630783081055,793.73828125,22.441596508026123,0.9736195206642151,-101.8985538482666,656.3666381835938,162.34474754333496,0.8628990054130554,75.44551849365234,834.786865234375,33.731518507003784,0.7140695452690125,-105.9684648513794,680.29736328125,156.3215618133545,0.6039600968360901,54.91626834869385,891.384765625,-3.591665357351303,0.9510273337364197,-130.51895141601562,726.9170532226562,149.1030979156494,0.8268346190452576
6,-23.94033122062683,-623.6068725585938,-121.34662914276123,0.9998583793640137,-12.038718581199646,-640.7958984375,-114.99236869812012,0.9997548460960388,-11.568774104118347,-642.4506225585938,-108.423171043396,0.9997441172599792,-12.113131642341614,-641.88427734375,-110.42034816741943,0.9997931718826294,-25.17593264579773,-648.8612060546875,-119.21781349182129,0.9998105764389038,-24.482714653015137,-648.7933349609375,-126.63590240478516,0.9998255372047424,-21.750807523727417,-635.9732666015625,-115.61979103088379,0.999842643737793,28.069746494293213,-629.593017578125,-59.297255516052246,0.9998624324798584,-51.80074739456177,-585.4284057617188,-49.57547950744629,0.9996257424354553,0.22419525682926178,-611.9769287109375,-95.17015743255615,0.9998725056648254,-20.898734092712402,-579.3825073242188,-107.54118347167969,0.9998193383216858,82.6161060333252,-454.0423278808594,-3.8907134234905243,0.9999659061431885,-82.80678749084473,-513.6073608398438,37.5773491859436,0.9997735023498535,109.04241371154785,-244.35171508789062,-43.40686225891113,0.9779986143112183,-97.61634922027588,-223.6920623779297,-18.78315567970276,0.9244094491004944,84.70779132843018,-170.00604248046875,-112.48110008239746,0.9888496398925781,-124.19160747528076,-234.44662475585938,-144.04605674743652,0.9764629006385803,72.08997631072998,-162.95730590820312,-128.4010877609253,0.9869044423103333,-115.05554008483887,-252.4017333984375,-185.68461799621582,0.9707009196281433,60.32513380050659,-189.99026489257812,-137.28154277801514,0.9884571433067322,-99.61662483215332,-320.3949279785156,-192.06659317016602,0.9739312529563904,81.040846824646,-161.96560668945312,-118.99171829223633,0.9826286435127258,-119.45819091796875,-260.43927001953125,-152.64232635498047,0.9672447443008423,53.05142068862915,6.571352005004883,2.058095321059227,0.9998160004615784,-51.26748991012573,-9.926629066467285,-0.34814372286200523,0.999701201915741,63.41249370574951,439.76702880859375,-48.15882682800293,0.9754607677459717,-68.82207584381104,361.3456115722656,-27.63664484024048,0.9153458476066589,81.66787433624268,793.6644897460938,44.08725929260254,0.96051424741745,-80.88708114624023,659.37109375,160.36877059936523,0.8236279487609863,69.58097791671753,834.02294921875,58.53970527648926,0.6769734025001526,-82.352614402771,682.8715209960938,150.2633399963379,0.5678673386573792,48.057074546813965,892.8157348632812,31.940244913101196,0.9312122464179993,-101.29885482788086,734.478759765625,138.09557819366455,0.7834179401397705
7,-23.299051523208618,-623.0151977539062,-101.61741542816162,0.9998146295547485,-11.35246467590332,-640.5615844726562,-95.77334976196289,0.999722421169281,-10.906692266464233,-642.041259765625,-89.41769886016846,0.9997075796127319,-11.543258786201477,-641.4967041015625,-91.12950611114502,0.9997708201408386,-24.309611320495605,-648.6366577148438,-101.14000797271729,0.9997798800468445,-23.54478907585144,-648.4307861328125,-108.38768005371094,0.9997898936271667,-20.916481733322144,-635.778564453125,-97.54665470123291,0.9998155236244202,27.976946353912354,-628.5177612304688,-39.1722936630249,0.9998477697372437,-51.63937282562256,-585.4630737304688,-34.28909611701965,0.9995642304420471,0.25356390327215195,-611.6751098632812,-75.40469741821289,0.9998472332954407,-20.835187196731567,-578.5618896484375,-89.42814445495605,0.9997774362564087,79.40497398376465,-446.9613952636719,14.327487230300903,0.9999597668647766,-82.21586036682129,-512.96875,56.56208038330078,0.9997097849845886,99.75920677185059,-215.1954803466797,-26.887731313705444,0.9736758470535278,-89.92636585235596,-220.66529846191406,-6.4903616309165955,0.8979549407958984,73.7807207107544,-234.28146362304688,-108.52261447906494,0.988393247127533,-99.44963264465332,-305.66595458984375,-119.71823215484619,0.9712249636650085,61.24928140640259,-262.0107116699219,-119.49055767059326,0.9863959550857544,-85.9343376159668,-350.7955627441406,-153.4200038909912,0.9662429690361023,58.832847118377686,-293.23388671875,-121.95961475372314,0.9878090620040894,-78.54610919952393,-425.3400573730469,-163.21265029907227,0.9690762162208557,74.41923236846924,-236.60272216796875,-114.24406242370605,0.9813351035118103,-97.35360431671143,-340.90570068359375,-129.20126152038574,0.9600615501403809,52.40809392929077,5.825438022613525,2.0607980489730835,0.999805748462677,-50.710654735565186,-9.208003997802734,-0.3373161479830742,0.9996823668479919,55.52183389663696,440.1868591308594,-44.80218172073364,0.96909499168396,-63.90641927719116,364.3045654296875,-35.49224925041199,0.9035619497299194,75.65782070159912,791.9829711914062,51.26019859313965,0.9519394636154175,-51.0014705657959,656.1605834960938,140.1106081008911,0.7900379300117493,63.67341470718384,832.2755737304688,66.35661506652832,0.6536821722984314,-49.88597631454468,679.4737548828125,134.12481880187988,0.5388593077659607,38.723326206207275,896.7095336914062,45.38768434524536,0.9168539643287659,-67.88010120391846,738.7489624023438,133.38867473602295,0.7457686066627502
8,-22.37460994720459,-627.6643676757812,-83.25297832489014,0.999782383441925,-10.841530680656433,-644.157958984375,-77.62057113647461,0.999703586101532,-10.340548753738403,-646.5567016601562,-71.25459480285645,0.9996827840805054,-11.041560173034668,-645.9016723632812,-73.1738634109497,0.9997592568397522,-23.422926664352417,-654.0890502929688,-83.48509883880615,0.999762773513794,-22.483720064163208,-653.5487670898438,-90.61788654327393,0.9997655749320984,-20.072070837020874,-641.387939453125,-79.8830680847168,0.9998005032539368,27.590274810791016,-630.2811889648438,-22.837282419204712,0.9998351335525513,-51.41614866256714,-589.1515502929688,-18.988574266433716,0.9995214939117432,0.29710614681243896,-614.9271240234375,-57.41201877593994,0.9998266100883484,-20.794387578964233,-582.3055419921875,-72.02799797058105,0.9997465014457703,75.83549880981445,-445.2441711425781,27.184980154037476,0.9999542832374573,-81.71672058105469,-512.9888916015625,69.12924242019653,0.9996626377105713,91.80055618286133,-210.7167205810547,-13.955358624458313,0.9681851863861084,-84.43495273590088,-224.26072692871094,2.4449555575847626,0.8742778301239014,79.72140598297119,-263.7434387207031,-91.34487247467041,0.987750232219696,-84.65102291107178,-337.14453125,-112.95419025421143,0.9627737402915955,71.49284791946411,-299.83734130859375,-101.63551712036133,0.985645592212677,-68.23293399810791,-385.3445739746094,-143.2829704284668,0.9575467109680176,68.92329168319702,-326.9024963378906,-96.9177131652832,0.9869358539581299,-63.0002875328064,-459.2398376464844,-147.78358840942383,0.9597091674804688,82.36387538909912,-267.2806091308594,-93.93778324127197,0.980002224445343,-82.60814094543457,-373.84197998046875,-123.66463279724121,0.9475619196891785,50.82181406021118,4.1820549964904785,2.0991462618112564,0.9997938871383667,-49.20695686340332,-7.691953182220459,-0.35125793516635895,0.999666690826416,51.718246936798096,436.5771179199219,-42.63504695892334,0.9502887725830078,-50.78352069854736,372.604248046875,-37.76863145828247,0.8776235580444336,70.95815706253052,791.7601318359375,49.31586742401123,0.9274783730506897,-20.674155950546265,670.0524291992188,108.23418045043945,0.74462890625,59.22303342819214,831.9470825195312,63.55141496658325,0.615089476108551,-16.99205482006073,693.8471069335938,100.18500423431396,0.5006738305091858,35.29920959472656,896.8651733398438,42.88521766662598,0.8835815191268921,-29.178706884384155,767.193359375,91.75565814971924,0.6970217227935791
9,-19.59939479827881,-632.4977416992188,-76.8554334640503,0.999759316444397,-8.241522252559662,-648.2909545898438,-70.95836734771729,0.9996885657310486,-7.638074040412903,-651.2277221679688,-64.80393362045288,0.9996642470359802,-8.423392117023468,-650.3676147460938,-66.54113388061523,0.9997510313987732,-20.359970569610596,-659.1781005859375,-76.84155464172363,0.9997498989105225,-19.369291305541992,-658.5986328125,-83.88111305236816,0.9997485280036926,-16.90095090866089,-646.6180419921875,-73.29795742034912,0.9997908473014832,28.2437424659729,-633.1242065429688,-16.970078945159912,0.9998264312744141,-48.93475341796875,-593.3585205078125,-13.113025903701782,0.9994884133338928,1.7061547636985779,-618.7486572265625,-51.305598735809326,0.9998164176940918,-19.008514881134033,-586.5809326171875,-65.80297708511353,0.9997325539588928,76.87440204620361,-445.2334899902344,32.80018472671509,0.9999523162841797,-81.27590274810791,-514.3208618164062,74.5201005935669,0.9996563792228699,96.29611015319824,-210.94361877441406,-7.2231733202934265,0.9635251760482788,-83.6588716506958,-224.5504608154297,11.418214201927185,0.8565594553947449,87.30821228027344,-271.3389892578125,-76.4027795791626,0.9874706864356995,-91.38983058929443,-329.5458984375,-107.78367233276367,0.9607774615287781,79.96697616577148,-306.9381103515625,-86.45151042938232,0.9853241443634033,-77.82956027984619,-376.9444580078125,-135.93804359436035,0.9560160636901855,70.52485799789429,-336.2508850097656,-82.70498371124268,0.9865107536315918,-71.36085319519043,-450.7286071777344,-146.18653678894043,0.9579308032989502,88.8455171585083,-275.33740234375,-78.69135189056396,0.9792851805686951,-89.20191192626953,-365.4140319824219,-122.95048713684082,0.9445766806602478,50.54276990890503,3.3483994007110596,2.6953773200511932,0.9997815489768982,-48.96109056472778,-6.897489070892334,-0.8613957166671753,0.9996539950370789,52.8279390335083,431.8765563964844,-39.91649293899536,0.9287562370300293,-34.65889763832092,377.39642333984375,-40.00479555130005,0.8549167513847351,68.63832950592041,784.2872924804688,56.96178960800171,0.8955124616622925,-9.096736550331116,679.9785766601562,102.87165069580078,0.7046543955802917,56.57458162307739,823.9146728515625,72.36064338684082,0.5759432315826416,-6.000412166118622,704.5701293945312,94.82418251037598,0.46677660942077637,36.47465658187866,895.0070190429688,56.83296203613281,0.8446403741836548,-15.884509563446045,779.9597778320312,83.85799026489258,0.6538223624229431
