frame,NOSE_x,NOSE_y,NOSE_distance,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_distance,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_distance,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_distance,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_distance,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_distance,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_distance,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_distance,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_distance,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_distance,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_distance,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_distance,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_distance,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_distance,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_distance,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_distance,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_distance,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_distance,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_distance,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_distance,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_distance,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_distance,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_distance,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_distance,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_distance,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_distance,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_distance,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_distance,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_distance,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_distance,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_distance,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_distance,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_distance,RIGHT_FOOT_INDEX_vis
0,-52.78729364275932,-607.4093055725098,-245.87519824504852,0.9999738931655884,-28.258730247616768,-625.3582191467285,-244.00768876075745,0.9999688863754272,-26.084056869149208,-621.7366790771484,-236.87903702259064,0.999957799911499,-27.96139732003212,-623.8431358337402,-238.61343920230865,0.9999737739562988,-40.25239884853363,-645.3238677978516,-243.9363795518875,0.9999712705612183,-39.52645629644394,-645.0121307373047,-251.37054562568665,0.9999606609344482,-35.61895787715912,-634.1192436218262,-239.03855860233307,0.9999648332595825,33.02526444196701,-568.0060386657715,-200.385040640831,0.9999841451644897,-37.328363209962845,-579.0567398071289,-166.56105995178223,0.9999017715454102,-28.566739037632942,-579.8175430297852,-222.4742066860199,0.9999610185623169,-45.26755973696709,-565.6112480163574,-228.15572082996368,0.9999399185180664,37.84883514046669,-371.33803367614746,-163.54767858982086,0.9999860525131226,-51.229518949985504,-503.52344512939453,-17.33640566468239,0.9998319149017334,74.74370241165161,-182.704496383667,-181.28960609436035,0.967570960521698,-14.443100094795227,-226.31449699401855,15.507076419889927,0.00829277839511633,67.23529011011124,47.64183282852173,-147.66436100006104,0.6176620721817017,-26.288549825549126,-14.31799829006195,19.947139844298363,0.014151828363537788,64.02513653039932,94.63011503219604,-148.14101099967957,0.47244885563850403,-8.61478429287672,25.38718342781067,14.790851175785065,0.022523263469338417,43.300336450338364,112.31492757797241,-151.48126244544983,0.47301819920539856,-10.034077540040016,4.159790575504303,-1.3206204771995544,0.02408655732870102,64.57728400826454,81.15808010101318,-147.34219014644623,0.3735666573047638,-24.75663296878338,-10.593367516994476,8.243197090923786,0.022284746170043945,29.51785035431385,7.464182674884796,-14.047827646136284,0.999962568283081,-28.207841366529465,-11.321415603160858,13.399493806064129,0.9999352693557739,21.168326139450073,406.03474617004395,-1.1696338187903166,0.5957528352737427,-22.83727504312992,338.3777904510498,15.7564252987504,0.36198827624320984,20.518907010555267,713.8833618164062,70.7249915599823,0.8058224320411682,-18.542418032884598,707.6417541503906,86.41650170087814,0.5126655101776123,8.99799183011055,749.0448188781738,78.47216337919235,0.6086819171905518,-21.83445006608963,732.8830146789551,72.30036824941635,0.33224424719810486,-21.909943521022797,761.1798477172852,46.02001994848251,0.7685214281082153,-43.09581935405731,734.2981910705566,39.568882137537,0.4722728133201599
1,-52.402383238077164,-634.0385627746582,-182.12006628513336,0.9999634623527527,-28.10989983379841,-649.5736312866211,-182.10017502307892,0.9999565482139587,-26.023226380348206,-647.2804069519043,-174.9402219057083,0.9999464750289917,-27.861216813325882,-648.482494354248,-176.37054204940796,0.9999639987945557,-39.193281680345535,-671.7510795593262,-180.11896669864655,0.9999597668647766,-38.73310312628746,-670.8008766174316,-186.91382825374603,0.999950647354126,-35.21207615733147,-659.4187545776367,-175.31250715255737,0.999954879283905,33.02758991718292,-595.0972938537598,-146.31986618041992,0.9999811053276062,-35.14836296439171,-610.7822227478027,-109.70687627792358,0.9998775720596313,-28.379998952150345,-606.1101150512695,-162.71152138710022,0.9999409914016724,-45.210324078798294,-591.7870903015137,-166.67792916297913,0.9999095797538757,38.58502507209778,-407.1534061431885,-119.92281764745712,0.9999832510948181,-44.08708333969116,-526.9750213623047,27.9188085347414,0.9997851252555847,80.92756748199463,-220.34923553466797,-119.72274631261826,0.9694909453392029,-7.460655570030212,-237.2591257095337,57.17131733894348,0.008552138693630695,60.6425316631794,-21.651560068130493,-57.66679644584656,0.6224565505981445,-24.287064000964165,-69.02686357498169,39.657238125801086,0.014449752867221832,50.15636846423149,15.402866005897522,-50.811565071344376,0.47655072808265686,-5.982719007879496,-42.47760057449341,30.12246586382389,0.023468827828764915,34.850987792015076,12.329500615596771,-51.343225836753845,0.4763838052749634,-8.163585774600506,-74.40943479537964,18.61467272043228,0.024956021457910538,57.74238646030426,0.8431673794984818,-55.970833003520966,0.37995705008506775,-22.478942647576332,-75.5390453338623,29.781423658132553,0.023473896086215973,29.529417380690575,7.83708393573761,-17.166561484336853,0.9999449849128723,-28.23249824345112,-11.543894112110138,17.149961292743683,0.9999069571495056,35.92335373163223,408.65787506103516,8.63367274403572,0.6200773119926453,-27.526090890169144,318.81940841674805,35.897017121315,0.3805443346500397,40.0738562643528,689.3599891662598,128.79190653562546,0.786795973777771,-33.93702372908592,670.0531196594238,105.73295295238495,0.5159363746643066,27.672895565629005,720.8190536499023,142.34797060489655,0.5925240516662598,-36.97652444243431,695.8083343505859,91.99423849582672,0.34675517678260803,-21.305118799209595,737.1888542175293,126.86768442392349,0.7358325123786926,-69.92699146270752,681.4828491210938,68.09453308582306,0.4695347249507904
2,-50.60478284955025,-642.0897674560547,-169.7687029838562,0.9999591112136841,-26.867808401584625,-655.7845687866211,-168.84602844715118,0.9999520182609558,-24.930504485964775,-654.0427780151367,-161.87938749790192,0.9999427795410156,-26.746602058410645,-654.9355888366699,-162.93842017650604,0.9999605417251587,-36.81743457913399,-678.9907836914062,-167.08309292793274,0.9999550580978394,-36.61612808704376,-677.8241157531738,-173.58703672885895,0.9999464154243469,-33.562626242637634,-666.4688873291016,-161.93629324436188,0.9999500513076782,33.74752566218376,-601.7153549194336,-130.28275340795517,0.9999801516532898,-33.422928750514984,-620.3531455993652,-94.77742195129395,0.9998624920845032,-27.067970260977745,-614.2940711975098,-149.50002193450928,0.9999281167984009,-44.563495963811874,-600.6797218322754,-153.31133902072906,0.999889612197876,37.97298654913902,-420.5563545227051,-106.30317717790604,0.9999813437461853,-36.22873529791832,-540.9502601623535,45.18677964806557,0.9997438788414001,83.49030554294586,-244.704008102417,-103.18675071001053,0.970321536064148,-1.511694174259901,-254.8278522491455,77.545465528965,0.00824721995741129,59.390428215265274,-74.53338146209717,-34.7503325343132,0.6213716268539429,-19.475038200616837,-106.75297737121582,59.06986266374588,0.014132632873952389,47.46531888842583,-48.766082525253296,-26.92556105554104,0.4759063124656677,-0.3217556036543101,-87.80080318450928,48.121642023324966,0.02345239743590355,33.91814634203911,-56.22120022773743,-27.299886122345924,0.47493016719818115,-3.336357129737735,-121.39603614807129,38.21345195174217,0.024845348671078682,56.913603991270065,-56.14054799079895,-32.803519517183304,0.38134855031967163,-18.020521849393845,-116.13615274429321,49.832994639873505,0.02356863021850586,28.49873296916485,8.06567519903183,-19.539421275258064,0.999920666217804,-27.201216369867325,-11.702853441238403,19.87253151834011,0.9998665452003479,40.95030292868614,408.5492420196533,8.544643856585026,0.6290637850761414,-26.3790924847126,313.7868118286133,40.535362511873245,0.3794894516468048,43.68830054998398,681.0892295837402,128.35414588451385,0.7486318945884705,-32.27272376418114,663.5077285766602,106.51706457138062,0.5023021697998047,30.771677792072296,712.2673416137695,141.6651338338852,0.5650337338447571,-35.395362228155136,689.3244552612305,92.66797453165054,0.3509686291217804,-22.802779152989388,732.5621795654297,130.57573914527893,0.6888540387153625,-68.57756406068802,673.2138061523438,72.55204260349274,0.4524918496608734
3,-49.52075734734535,-645.1569557189941,-157.18852579593658,0.9999525547027588,-26.204812601208687,-658.5704040527344,-155.92116594314575,0.9999436736106873,-24.32670369744301,-656.8954467773438,-148.91213536262512,0.9999346733093262,-26.137255132198334,-657.7395629882812,-150.11026203632355,0.9999538660049438,-35.760747492313385,-681.6972541809082,-154.55261170864105,0.999947190284729,-35.65448775887489,-680.5557060241699,-161.07219815254211,0.9999387264251709,-32.80879609286785,-669.5313835144043,-149.5145058631897,0.9999420046806335,33.73907670378685,-605.9749031066895,-116.60954654216766,0.9999775886535645,-33.18762727081776,-624.5223426818848,-83.3033099770546,0.9998350739479065,-26.48194447159767,-618.544864654541,-137.11615025997162,0.9999081492424011,-44.28478091955185,-604.6193504333496,-141.38472497463226,0.9998602271080017,33.993140906095505,-430.0203323364258,-97.21620976924896,0.9999791979789734,-32.48892053961754,-546.6460418701172,53.42376574873924,0.9996958374977112,80.28957456350327,-252.3856544494629,-98.64587813615799,0.9712861776351929,3.1407184805721045,-261.6269588470459,76.17186605930328,0.00801662728190422,48.71421977877617,-78.7411880493164,-36.31807699799538,0.6238534450531006,-16.992460638284683,-112.55563259124756,53.30445036292076,0.013931291177868843,35.209424793720245,-49.97591972351074,-29.008108600974083,0.4789803624153137,1.3463792391121387,-91.44826412200928,42.85472631454468,0.023592790588736534,23.68151105940342,-55.98373889923096,-28.901392221450806,0.4772348999977112,-2.1905274968594313,-123.06394100189209,31.810428947210312,0.024890320375561714,46.740233302116394,-59.0554940700531,-34.287208914756775,0.38651561737060547,-15.911990739405155,-120.73359489440918,43.77164751291275,0.02387627586722374,26.220312416553497,7.9032450914382935,-20.71031615138054,0.9998959302902222,-24.865894094109535,-11.39502078294754,21.293813288211823,0.9998273253440857,39.56387713551521,408.3701705932617,8.682622388005257,0.6288027763366699,-19.33120273053646,314.46887969970703,37.21621334552765,0.37159016728401184,43.36098790168762,677.6360893249512,131.52769535779953,0.7006028890609741,-24.630142003297806,661.0387229919434,101.91302597522736,0.47839483618736267,31.006023734807968,709.1788673400879,145.60622692108154,0.5327659249305725,-26.935756132006645,686.2652206420898,87.24669635295868,0.34624865651130676,-22.686730697751045,727.4761962890625,138.1436401605606,0.6361565589904785,-65.7531014084816,667.7440452575684,67.44525879621506,0.42727091908454895
4,-48.35114389657974,-645.2041053771973,-151.08771800994873,0.9999495148658752,-25.282061621546745,-658.5844802856445,-150.18557846546173,0.9999400973320007,-23.576627299189568,-656.9298362731934,-143.07849168777466,0.9999313950538635,-25.281987190246582,-657.8291130065918,-144.39670622348785,0.9999507665634155,-34.53660607337952,-682.1196556091309,-148.439701795578,0.9999434947967529,-34.59081217646599,-680.9008026123047,-155.0750470161438,0.9999354481697083,-31.879742592573166,-669.6631622314453,-143.6121279001236,0.9999384880065918,33.8257871568203,-608.0317497253418,-112.2006145119667,0.9999761581420898,-32.28301540017128,-626.6252517700195,-78.1375926733017,0.9998191595077515,-25.70188634097576,-619.1007614135742,-131.48635983467102,0.9998924732208252,-43.74544769525528,-605.335807800293,-135.3413701057434,0.9998365044593811,32.42453746497631,-433.1823921203613,-93.51004600524902,0.9999774694442749,-27.647365629673004,-551.3204383850098,58.582039922475815,0.9996607899665833,79.59352523088455,-253.70756149291992,-95.79190850257874,0.9718647003173828,7.304975464940071,-266.5664005279541,84.18198555707932,0.007723682094365358,49.774439334869385,-77.2051477432251,-27.61889062821865,0.6130250096321106,-12.673017159104347,-119.6541166305542,59.75729003548622,0.013544023036956787,37.7344885468483,-46.642030477523804,-19.874195158481598,0.46867087483406067,5.76875114813447,-99.22016859054565,48.205705136060715,0.02335580624639988,25.72101518511772,-49.322848320007324,-19.17710579931736,0.46626946330070496,2.1945548336952925,-130.08244514465332,37.873836010694504,0.02456674352288246,48.20850133895874,-56.38782620429993,-25.29548741877079,0.3796907663345337,-11.716912910342216,-127.762770652771,50.49764201045036,0.023795198649168015,23.735033199191093,7.900287508964539,-23.029911294579506,0.9998665452003479,-22.383718863129616,-11.348159909248352,23.77287045121193,0.9997820258140564,38.710970878601074,408.03540229797363,21.34979970753193,0.6172986030578613,-18.032376542687416,310.3117561340332,58.05030673742294,0.350223571062088,41.80378049612045,672.191219329834,146.15460455417633,0.6526761651039124,-22.392960414290428,652.1099281311035,124.56953555345535,0.44705823063850403,29.56245481967926,703.7066459655762,160.49894034862518,0.5026772022247314,-24.21957291662693,677.1133804321289,110.09018540382385,0.33593907952308655,-22.620293721556664,719.7689437866211,156.469624042511,0.5856530070304871,-65.32730609178543,658.5068893432617,96.47711098194122,0.39747026562690735
5,-46.289231926202774,-643.2209014892578,-153.34231853485107,0.9999396800994873,-24.0297831594944,-656.8527030944824,-151.52996063232422,0.9999269247055054,-22.347078546881676,-655.1717948913574,-144.81413304805756,0.999918520450592,-24.01894636452198,-656.1163902282715,-145.97662925720215,0.9999403953552246,-33.21332015097141,-679.9944305419922,-150.34116804599762,0.9999304413795471,-33.35856981575489,-678.7834167480469,-156.7597210407257,0.9999229311943054,-30.719058886170387,-667.6432228088379,-145.2441769838333,0.9999250769615173,34.279693365097046,-607.5172233581543,-110.99931746721268,0.9999716281890869,-32.113583609461784,-624.363956451416,-77.8259789943695,0.9997681379318237,-23.389072492718697,-617.8939819335938,-132.81490623950958,0.9998607635498047,-42.30375364422798,-603.6427116394043,-136.89292073249817,0.9997879862785339,32.85289563238621,-435.7881546020508,-90.21565228700638,0.9999749660491943,-29.08099092543125,-551.6963768005371,59.04833793640137,0.9996227622032166,79.93511259555817,-253.1180477142334,-86.3540518283844,0.9710685610771179,6.993987914174795,-267.927188873291,85.27457267045975,0.007609630934894085,50.991894006729126,-83.49562883377075,-15.682310834527016,0.6029902100563049,-12.011853978037834,-128.96766185760498,60.20223632454872,0.013355851173400879,39.82962906360626,-58.310590982437134,-8.717608116567135,0.461029589176178,7.490165568888187,-111.02352619171143,47.828414887189865,0.023384008556604385,26.83141954243183,-64.01552438735962,-8.678195737302303,0.4582808315753937,5.566396079957485,-145.4692554473877,37.748107463121414,0.024528438225388527,49.25513818860054,-64.42854881286621,-13.834008648991585,0.3745840787887573,-10.379365347325802,-138.92682552337646,51.18762820959091,0.023925401270389557,23.839896842837334,7.886405289173126,-22.818498238921165,0.9998364448547363,-22.475728020071983,-11.311876773834229,23.511664867401123,0.9997386932373047,38.89361724257469,397.42292404174805,18.98177593946457,0.6079309582710266,-18.05925227701664,301.578369140625,47.74415463209152,0.3418160676956177,41.396267116069794,661.6182518005371,135.13172328472137,0.6076634526252747,-22.835440412163734,640.4851341247559,97.29806810617447,0.42476534843444824,29.35697413980961,693.3773231506348,148.443483710289,0.4721909761428833,-24.886421039700508,665.6757545471191,81.94366335868835,0.332354336977005,-21.97388604283333,712.8730773925781,139.06473755836487,0.5397067666053772,-63.84681522846222,651.4791297912598,75.01484155654907,0.3752298951148987
6,-41.423448622226715,-641.8746185302734,-146.69659316539764,0.9999299645423889,-20.296099931001663,-655.9883880615234,-144.3140834569931,0.9999144673347473,-18.44947949051857,-653.9496803283691,-137.46207475662231,0.9999058842658997,-20.187484547495842,-655.092601776123,-138.71520817279816,0.9999306797981262,-29.92716819047928,-679.255313873291,-143.59032154083252,0.9999189376831055,-29.90888625383377,-678.3489418029785,-149.8032832145691,0.9999112486839294,-27.417801395058632,-666.9998931884766,-138.49004745483398,0.9999143481254578,36.21749013662338,-607.4183464050293,-100.92791765928268,0.999966561794281,-31.71259604394436,-622.0893859863281,-70.53408533334732,0.9997255802154541,-18.632882237434387,-616.4586067199707,-125.22391140460968,0.9998337030410767,-38.1860813498497,-601.8548583984375,-130.03471612930298,0.9997483491897583,39.00979042053223,-439.8847961425781,-77.43565320968628,0.9999731779098511,-30.404500141739845,-549.7638702392578,61.92399725317955,0.9996025562286377,84.02988821268082,-258.2435417175293,-70.31529754400253,0.9705190062522888,5.144056286662817,-266.71711921691895,84.80318516492844,0.007834491319954395,52.97060787677765,-91.69893264770508,-1.7607455793768167,0.5874196887016296,-11.501382999122143,-133.93499851226807,57.952894270420074,0.013302180916070938,40.599558502435684,-64.98396635055542,5.879622101783752,0.44818219542503357,8.966256938874722,-117.80454397201538,45.399528443813324,0.023535441607236862,30.54797351360321,-72.45770215988159,5.346551667898893,0.44539037346839905,7.822087425738573,-155.57185649871826,35.17961606383324,0.024627385661005974,52.129268646240234,-73.27528953552246,-0.3203830565325916,0.3659684956073761,-9.347437731921673,-145.92583179473877,48.91271397471428,0.02417968586087227,24.554604291915894,7.396269142627716,-22.634001150727272,0.9998168349266052,-23.160546272993088,-10.698951780796051,23.30153726041317,0.999713659286499,44.5145121216774,397.3305416107178,7.234752047806978,0.6014869809150696,-18.31631988286972,302.33593940734863,22.369920909404755,0.33556222915649414,46.12611874938011,659.6445465087891,133.5231140255928,0.5613918900489807,-21.488338485360146,639.6549224853516,73.39966624975204,0.3989529311656952,34.110698103904724,690.7355117797852,145.1058554649353,0.43964332342147827,-22.861897721886635,664.5895957946777,58.37348744273186,0.32215821743011475,-16.912167370319366,711.8245697021484,128.90286952257156,0.49451109766960144,-63.30031245946884,654.3984603881836,50.129452496767044,0.350447416305542
7,-38.09145703911781,-640.1424980163574,-152.7691251039505,0.999921977519989,-17.733526825904846,-653.6331367492676,-150.3971242904663,0.9999042749404907,-15.854814425110817,-652.2617340087891,-143.53718161582947,0.9998968839645386,-17.607920989394188,-652.9363632202148,-144.70999360084534,0.9999240040779114,-27.316763922572136,-675.9274864196777,-149.67030465602875,0.9999068975448608,-27.29977749288082,-674.8194122314453,-155.89445114135742,0.9998981952667236,-24.785667210817337,-663.3960342407227,-144.53203439712524,0.9999006986618042,38.059499859809875,-606.1919975280762,-107.21809476613998,0.9999632835388184,-30.941051244735718,-620.9639167785645,-76.64265811443329,0.9996684193611145,-15.066284202039242,-615.5085754394531,-131.14135265350342,0.9998111724853516,-34.872488379478455,-601.5615463256836,-135.92825889587402,0.9997053742408752,42.5415475666523,-438.7822723388672,-84.84225958585739,0.9999722242355347,-31.192268952727318,-548.821964263916,60.134499818086624,0.9995575547218323,86.58826500177383,-254.84636306762695,-80.90169757604599,0.9714528322219849,0.7113970792852342,-269.41792488098145,85.90068876743317,0.007960863411426544,53.089343905448914,-78.21063995361328,-15.195112712681293,0.5953595042228699,-11.860662885010242,-135.40258884429932,61.16255700588226,0.013350683264434338,39.93216320872307,-49.2001748085022,-8.437269162386656,0.4552237391471863,8.259591590613127,-119.1951584815979,48.36798548698425,0.023789966478943825,28.598692193627357,-55.26642680168152,-8.287645149976015,0.4519253969192505,6.97710458189249,-157.05522537231445,38.84301200509071,0.024835998192429543,51.589042246341705,-58.35091710090637,-13.333895690739155,0.3728557527065277,-9.875110387802124,-147.17529773712158,52.13782623410225,0.024536121636629105,25.591557025909424,7.398683577775955,-22.807367742061615,0.9997802972793579,-24.157615900039673,-10.700178444385529,23.48375715315342,0.9996468424797058,45.244284868240356,398.9506530761719,0.8151851152069867,0.5929174423217773,-21.357170417904854,301.4803218841553,21.557796970009804,0.3238036632537842,47.426027208566666,662.9852485656738,128.4431979060173,0.5184996128082275,-21.484035551548004,638.917236328125,77.25331664085388,0.371631920337677,35.4634889960289,694.6440124511719,142.05890357494354,0.40872928500175476,-22.86161206662655,664.0474891662598,62.48063072562218,0.30985426902770996,-16.696502678096294,713.8096046447754,123.72526735067368,0.45279717445373535,-62.53836929798126,655.6375694274902,53.120238929986954,0.32480713725090027
8,-34.881315529346466,-639.887523651123,-150.2869337797165,0.9999108910560608,-14.401508085429668,-652.6496315002441,-147.62351632118225,0.9998880624771118,-12.597644403576851,-651.5741729736328,-140.7191240787506,0.9998813271522522,-14.330750070512295,-652.0325660705566,-141.9632613658905,0.9999123811721802,-24.092444255948067,-675.3738784790039,-147.31922507286072,0.9998898506164551,-24.024490490555763,-674.1434669494629,-153.61192882061005,0.9998801946640015,-21.559593379497528,-662.7739334106445,-142.24473237991333,0.9998818039894104,39.45512697100639,-605.2536964416504,-104.39287573099136,0.9999571442604065,-29.65069815516472,-619.8985290527344,-76.15965932607651,0.9995880722999573,-12.838753536343575,-614.5869827270508,-128.94448667764664,0.9997715353965759,-32.50050567090511,-600.4733276367188,-134.31223064661026,0.9996394515037537,42.50315710902214,-438.90506744384766,-84.67154234647751,0.9999709725379944,-30.78563265502453,-549.4490432739258,58.78817841410637,0.9995014071464539,89.28215503692627,-254.85734939575195,-82.0383882522583,0.9719385504722595,0.12942473898874596,-269.14767265319824,80.91816902160645,0.007751044817268848,52.62097790837288,-77.33121156692505,-17.342340052127838,0.5979849696159363,-12.275753170251846,-134.08201217651367,60.071402192115784,0.012988473288714886,37.903338968753815,-47.795501947402954,-10.440112352371216,0.4575774371623993,7.757443338632584,-117.39903688430786,45.361721366643906,0.023372739553451538,24.99458983540535,-56.00904822349548,-9.661854654550552,0.4539019465446472,6.454613953828812,-154.85836029052734,37.80178248882294,0.024345485493540764,50.22562578320503,-58.36013674736023,-15.1960863545537,0.37636318802833557,-10.294432193040848,-145.3927230834961,51.62176787853241,0.02417936734855175,25.503947362303734,7.2921618819236755,-22.862207517027855,0.9997471570968628,-24.050986021757126,-10.542518198490143,23.562125265598297,0.9995796084403992,44.58395853638649,399.43448066711426,1.1725637968629599,0.5717180371284485,-19.82505239546299,301.93885803222656,21.83114491403103,0.3035498559474945,48.50789621472359,665.33203125,124.54834878444672,0.4767446517944336,-16.421673148870468,642.4399566650391,79.06737238168716,0.34388914704322815,36.93902716040611,697.196159362793,137.5001835823059,0.3792630434036255,-17.375982999801636,667.7948570251465,64.29531812667847,0.29506683349609375,-15.125499330461025,714.5734405517578,124.52534347772598,0.4135114848613739,-58.151388466358185,659.289608001709,53.27008321881294,0.2996475398540497
9,-32.36388199031353,-629.285774230957,-155.84844052791595,0.9999077320098877,-11.571319252252579,-640.8851051330566,-153.75976145267487,0.9998837113380432,-9.78794027119875,-640.2337074279785,-146.79880142211914,0.9998781085014343,-11.583756320178509,-640.2235794067383,-148.15839171409607,0.9999096393585205,-21.512494459748268,-664.2854118347168,-152.98960268497467,0.9998843669891357,-21.43611989915371,-662.8772163391113,-159.50640499591827,0.9998749494552612,-18.988456651568413,-651.6770553588867,-148.0012732744217,0.9998753666877747,41.615421026945114,-598.2919692993164,-110.98796367645264,0.9999557137489319,-29.155649542808533,-616.7546653747559,-81.27508521080017,0.9995565414428711,-10.774702169001102,-606.5705108642578,-134.93695467710495,0.9997597932815552,-30.87692566215992,-593.1691360473633,-139.8070228099823,0.9996182322502136,44.960794150829315,-436.76462173461914,-87.39394962787628,0.9999704957008362,-32.33396664261818,-548.4033393859863,55.018373876810074,0.9994787573814392,94.84881162643433,-253.49773406982422,-84.08746182918549,0.9724248051643372,-2.444203197956085,-268.07312965393066,78.1657800078392,0.007985242642462254,53.72434347867966,-79.61216926574707,-24.309516102075577,0.603746771812439,-12.605628669261932,-131.06868267059326,58.96330118179321,0.013126816600561142,38.7320651113987,-52.59730339050293,-18.235497549176216,0.4628542959690094,7.390290834009647,-115.1529335975647,44.42336395382881,0.023702532052993774,25.62585175037384,-63.47939729690552,-18.12106043100357,0.4589996039867401,6.016436889767647,-153.84751796722412,37.166976034641266,0.024655086919665337,50.73363348841667,-61.82280778884888,-22.53365568816662,0.3815976083278656,-10.48484355211258,-142.58837699890137,50.032896995544434,0.024523843079805374,26.848337575793266,7.29761928319931,-22.762401178479195,0.9997314214706421,-25.3700253367424,-10.540809631347656,23.507144674658775,0.999546229839325,46.88314542174339,399.5393371582031,-0.6106921588070691,0.569831907749176,-24.646184965968132,298.83679389953613,22.00879029929638,0.2963288724422455,52.94341430068016,666.9293403625488,123.67411494255066,0.4456612467765808,-21.82911515235901,640.605354309082,81.60275995731354,0.32704102993011475,41.66934549808502,698.8928031921387,135.8827954530716,0.35628458857536316,-23.073725178837776,666.4956092834473,67.55379974842072,0.2895529270172119,-9.50395368039608,719.0255928039551,122.54865735769272,0.38235610723495483,-64.13337171077728,659.4881057739258,57.92345568537712,0.282684862613678
