frame,NOSE_x,NOSE_y,NOSE_distance,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_distance,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_distance,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_distance,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_distance,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_distance,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_distance,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_distance,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_distance,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_distance,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_distance,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_distance,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_distance,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_distance,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_distance,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_distance,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_distance,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_distance,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_distance,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_distance,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_distance,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_distance,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_distance,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_distance,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_distance,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_distance,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_distance,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_distance,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_distance,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_distance,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_distance,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_distance,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_distance,RIGHT_FOOT_INDEX_vis
0,7.860995382070541,-538.2658195495605,-87.83152520656586,0.9999973773956299,19.022725224494934,-551.3863563537598,-80.67163646221161,0.9999946355819702,19.652695655822754,-554.4482231140137,-76.07925742864609,0.9999927282333374,18.828413262963295,-553.8183403015137,-77.55685955286026,0.9999958276748657,7.46407438069582,-562.313289642334,-85.22556066513062,0.9999949932098389,7.89828646928072,-561.4694023132324,-91.02128863334656,0.9999932050704956,9.268091954290867,-548.5117149353027,-80.82924574613571,0.999994158744812,62.39443123340607,-536.784782409668,-31.71800136566162,0.9999936819076538,-18.50139431655407,-503.1878471374512,-13.50047193467617,0.9999634027481079,31.75262600183487,-521.5477180480957,-65.22732675075531,0.9999879598617554,8.31966619938612,-491.42194747924805,-73.79368543624878,0.9999792575836182,111.70984268188477,-409.6790027618408,22.69021086394787,0.9999847412109375,-51.14374592900276,-475.62801361083984,71.8728107213974,0.9999053478240967,207.27121531963348,-367.02014923095703,-29.058132469654083,0.9676536917686462,-113.96746069192886,-427.5355052947998,24.033880904316902,0.9544804692268372,156.5563666820526,-442.81253814697266,-50.045558363199234,0.9809990525245667,-96.10806047916412,-575.7979202270508,-22.281774133443832,0.9742743372917175,131.2134423851967,-474.44809913635254,-57.0597830414772,0.9591600894927979,-71.01933717727661,-624.1745567321777,-49.590260088443756,0.9427127838134766,111.96630477905273,-491.0203742980957,-53.645949214696884,0.9530131816864014,-48.58133375644684,-672.8074836730957,-44.86734867095947,0.9348413348197937,145.97466588020325,-439.260778427124,-49.753349125385284,0.91713947057724,-88.39016228914261,-598.6794090270996,-24.24907185137272,0.912887692451477,45.932689905166626,-0.21038442850112915,-4.52061016112566,0.9999678134918213,-44.7326722741127,-4.381813108921051,5.513947661966085,0.9999531507492065,83.83534491062164,407.6080799102783,-64.02137875556946,0.9529647827148438,-81.798075735569,308.43761444091797,21.49040848016739,0.8104200959205627,162.59519934654236,728.7574195861816,-50.206209272146225,0.9732076525688171,-131.76235109567642,688.5437393188477,91.58891379833221,0.9474068880081177,159.43778336048126,758.2871246337891,-48.15202206373215,0.8231003880500793,-139.53478932380676,722.0049476623535,76.0493078827858,0.8437027931213379,175.08057117462158,761.4841461181641,-85.321444272995,0.9705092310905457,-192.22654938697815,705.5123519897461,47.65492960810661,0.9399564862251282
1,8.316216710954905,-538.070240020752,-72.13044762611389,0.999997615814209,19.100751355290413,-551.4181709289551,-63.99696931242943,0.9999951124191284,19.855850860476494,-554.4777488708496,-59.83460605144501,0.9999933838844299,19.052932262420654,-553.8254356384277,-60.87287038564682,0.9999961853027344,8.433961998671293,-562.1307563781738,-68.43421339988708,0.9999954700469971,8.79442423582077,-561.1233901977539,-73.28108310699463,0.9999938011169434,9.991480708122253,-548.1635856628418,-63.36658447980881,0.999994695186615,64.26749289035797,-534.528636932373,-16.717788018286228,0.9999942779541016,-18.02938923239708,-499.3373107910156,5.009419117122889,0.9999668002128601,32.982904985547066,-519.7061920166016,-49.472026973962784,0.9999889731407166,8.64466242492199,-488.7629699707031,-56.635242998600006,0.9999809861183167,111.77932530641556,-407.45856285095215,40.70039078593254,0.9999854564666748,-46.84784084558487,-459.8118209838867,92.86929309368134,0.9999077320098877,211.15334272384644,-368.587646484375,1.2921154266223311,0.9693501591682434,-113.78099620342255,-424.7555351257324,79.42899584770203,0.9538219571113586,157.1978920698166,-445.23353576660156,7.415252476930618,0.9822142720222473,-99.16180372238159,-580.0510025024414,88.62683773040771,0.9752295613288879,132.39446192979813,-484.7747611999512,6.942780688405037,0.9616060853004456,-72.10750669240952,-637.6603317260742,71.40242904424667,0.9446556568145752,112.87284582853317,-498.81723403930664,12.72428423166275,0.9557774066925049,-51.17028772830963,-686.132755279541,77.10695654153824,0.9369420409202576,146.30708813667297,-442.29440689086914,8.661803752183914,0.9220445156097412,-92.54267245531082,-606.8339538574219,87.67272502183914,0.9161512851715088,46.26971483230591,-0.833081379532814,-4.596099592745304,0.999966025352478,-45.056211054325104,-3.931863158941269,5.522527378052473,0.9999496936798096,79.74210619926453,407.1986675262451,-64.02429163455963,0.9557619094848633,-81.81529551744461,310.9637260437012,15.56696243584156,0.8215022087097168,162.2425800561905,731.1922073364258,-61.523476392030716,0.9738975167274475,-126.18151634931564,697.5691223144531,60.998023599386215,0.9491690993309021,159.20193672180176,761.3830375671387,-62.499994933605194,0.8287050127983093,-133.7474861741066,732.0570373535156,43.58948394656181,0.8502547144889832,166.08445823192596,764.4513130187988,-96.6070157289505,0.9712041020393372,-190.89531540870667,708.6706924438477,20.293386206030846,0.9420410394668579
2,8.31319821998477,-538.4373664855957,-68.58408987522125,0.9999977350234985,19.0886190533638,-552.1200370788574,-61.41924038529396,0.9999952912330627,19.850938394665718,-555.0058364868164,-57.00471594929695,0.9999936819076538,19.049892649054527,-554.3801307678223,-58.46089795231819,0.9999963045120239,8.353886995464563,-562.4261283874512,-65.88912561535835,0.9999957084655762,8.728433847427368,-561.4755821228027,-71.44919604063034,0.999994158744812,9.901134185492992,-548.8359832763672,-61.41998469829559,0.9999949932098389,63.75447615981102,-535.8882522583008,-14.919010810554028,0.9999944567680359,-18.171884939074516,-500.46804428100586,5.335103329271078,0.9999685883522034,32.9473851621151,-520.4392433166504,-47.05067217350006,0.99998939037323,8.634194768965244,-489.17118072509766,-54.88579764962196,0.9999818205833435,111.40517324209213,-409.8775863647461,39.75796177983284,0.9999858736991882,-46.99376240372658,-458.60100746154785,89.62486892938614,0.9999107718467712,209.37577843666077,-368.572940826416,-2.093735500238836,0.9696758985519409,-112.86751091480255,-377.4616241455078,46.953134983778,0.953368067741394,157.3401242494583,-445.16223907470703,-27.936203330755234,0.9828694462776184,-99.4822445511818,-551.8405151367188,-16.439249999821186,0.9768799543380737,133.2902929186821,-483.82009506225586,-35.13702929019928,0.963243305683136,-73.90772223472595,-611.7841529846191,-44.7337344288826,0.948511004447937,113.58738631010056,-498.7054252624512,-28.338452205061913,0.9577011466026306,-53.34865853190422,-665.0921058654785,-39.28681567311287,0.9412944316864014,146.50741696357727,-442.18345642089844,-27.543966472148895,0.9253196716308594,-92.8000921010971,-579.0995407104492,-18.108785301446915,0.9218346476554871,46.28654435276985,-1.0118339583277702,-3.8988767098635435,0.9999638795852661,-45.06222993135452,-3.7310079485177994,5.001140143722296,0.9999472498893738,74.38430786132812,407.3960781097412,-64.6039666235447,0.9516733884811401,-82.58194595575333,314.7552680969238,6.644188463687897,0.810822069644928,157.3850566148758,733.0824279785156,-60.58233082294464,0.9690769910812378,-126.38685017824173,704.1570854187012,55.15188351273537,0.9423384666442871,154.65063571929932,763.3780860900879,-60.846851617097855,0.8131999373435974,-133.59580725431442,738.5451507568359,37.12660610675812,0.8403757214546204,163.57123911380768,764.3031692504883,-95.88194221258163,0.9662790894508362,-189.57346379756927,710.3940010070801,7.983856815844774,0.9340599775314331
3,6.15641551092267,-533.1500816345215,-26.764063239097595,0.9999977946281433,16.49731546640396,-548.3809089660645,-18.591158464550972,0.9999953508377075,17.29684241116047,-551.1269187927246,-14.415543414652348,0.9999937415122986,16.750694699585438,-550.5531120300293,-16.508902609348297,0.9999963045120239,5.21782424300909,-555.6368637084961,-22.248298153281212,0.9999958276748657,5.8733090199530125,-554.7548675537109,-28.322479650378227,0.9999943375587463,7.0163183100521564,-543.3475112915039,-18.48040670156479,0.9999951124191284,61.807892471551895,-533.979320526123,26.342924907803535,0.9999945163726807,-19.023330733180046,-487.97876358032227,49.9741405248642,0.9999696016311646,31.431764736771584,-516.0304069519043,-7.504397034645081,0.9999896287918091,7.13572321459651,-481.1667823791504,-14.237264357507229,0.9999822974205017,110.78589677810669,-407.86245346069336,69.40071791410446,0.9999862909317017,-46.78619563579559,-434.3548393249512,112.76837646961212,0.9999135136604309,200.92678785324097,-367.4953365325928,2.2252846509218216,0.9709419012069702,-113.58307331800461,-330.4782485961914,44.59236726164818,0.9524031281471252,153.88086318969727,-444.44437980651855,-31.862846687436104,0.9839780330657959,-104.62906837463379,-497.8184509277344,-41.954747289419174,0.9782202839851379,131.53493732213974,-481.9475555419922,-43.787394762039185,0.9656532406806946,-80.51393866539001,-551.0263252258301,-75.09262830018997,0.9518146514892578,112.68084526062012,-496.3021659851074,-37.00123965740204,0.9604722261428833,-58.24852332472801,-608.8461112976074,-70.59992283582687,0.9450535178184509,143.56732428073883,-440.8838367462158,-32.468381524086,0.9300663471221924,-96.97938948869705,-524.6873474121094,-43.97332012653351,0.9265856146812439,46.25719025731087,-2.18942329287529,-3.0099142715334892,0.9999637007713318,-45.04092648625374,-2.384185418486595,4.273151233792305,0.9999476075172424,74.23257261514664,406.42650604248047,-63.633555471897125,0.9524129629135132,-79.55909371376038,323.66806983947754,-2.532707042992115,0.8174237608909607,156.69686079025269,728.5295677185059,-59.93555501103401,0.9680159687995911,-123.78901273012161,713.5805511474609,45.64248830080032,0.9418923258781433,153.9689737558365,758.9341163635254,-60.01958191394806,0.8101442456245422,-129.85894560813904,747.9611206054688,26.5174300968647,0.8410351872444153,164.57368791103363,753.9316749572754,-95.24122953414917,0.9640916585922241,-181.66060388088226,718.1702613830566,-6.733969710767269,0.9326423406600952
4,-1.956927627325058,-544.9416160583496,-37.86515772342682,0.9999972581863403,10.285185612738132,-560.3087425231934,-39.68495875597,0.9999939799308777,11.244196705520153,-562.5346755981445,-34.56493020057678,0.9999920725822449,10.442706383764744,-561.7920684814453,-37.11298316717148,0.9999951124191284,-0.9069025190547109,-568.436450958252,-37.157476991415024,0.9999948740005493,-0.36809163400903344,-567.9426383972168,-44.34687674045563,0.9999933838844299,1.004323409870267,-556.9258117675781,-33.88861522078514,0.9999943375587463,59.55671176314354,-545.265998840332,-9.838298074901104,0.9999926090240479,-19.000868573784828,-504.6961784362793,34.69522923231125,0.9999645948410034,25.252785980701447,-528.3157539367676,-25.81541620194912,0.9999872446060181,2.658511782065034,-494.5697021484375,-25.72795942425728,0.9999790787696838,110.7504352927208,-416.97486877441406,38.534753769636154,0.9999851584434509,-46.04483172297478,-438.2958984375,106.60588324069977,0.9999132752418518,190.12861669063568,-377.7890396118164,-27.68824853003025,0.9706501960754395,-114.04469221830368,-322.930269241333,30.86429849267006,0.9459115266799927,147.24192917346954,-474.12614822387695,-68.8053560256958,0.9844476580619812,-111.1500871181488,-468.20889472961426,-68.7997716665268,0.9791258573532104,126.4691510796547,-510.798282623291,-80.3211897611618,0.9671642780303955,-89.65708762407303,-516.9207572937012,-102.08120048046112,0.9546986818313599,109.63088393211365,-529.5027923583984,-74.87300366163254,0.9622465968132019,-67.46545985341072,-573.0255889892578,-99.45930361747742,0.9483731389045715,138.71495068073273,-471.3647747039795,-68.6918181180954,0.9328068494796753,-103.1771993637085,-493.1399917602539,-72.32628643512726,0.9308021664619446,46.27457097172737,-1.9512232393026352,-3.06866898201406,0.9999641180038452,-45.04871562123299,-2.52669520676136,4.38431890681386,0.9999488592147827,73.2682728767395,405.92857360839844,-57.28878602385521,0.9480607509613037,-84.1820740699768,324.14809226989746,0.2659387921448797,0.8147198557853699,154.12947177886963,726.1354064941406,-32.62730039656162,0.9665524959564209,-123.28389376401901,712.481575012207,48.83433982729912,0.9417916536331177,151.41593992710114,756.0760688781738,-29.08501222729683,0.803399384021759,-128.65488052368164,746.6847038269043,29.890441372990608,0.8419362306594849,165.18022656440735,753.7148094177246,-63.064067512750626,0.9623428583145142,-182.05232977867126,719.4943428039551,-5.553389210253954,0.9318954348564148
5,-2.0019383216276765,-553.1270599365234,-92.82869786024094,0.9999961853027344,10.070884823799133,-569.8710823059082,-90.57676076889038,0.9999908208847046,11.087763234972954,-571.4563179016113,-85.25435954332352,0.9999882578849792,10.171669833362103,-570.8027458190918,-87.42607176303864,0.9999920725822449,-2.1625539008527994,-578.3666610717773,-94.26109403371811,0.9999927878379822,-1.4766367804259062,-578.1154632568359,-101.43093645572662,0.9999913573265076,-0.043676172208506614,-567.8779792785645,-90.4886743426323,0.9999923706054688,56.13475486636162,-558.3606719970703,-44.134823977947235,0.9999880194664001,-23.523264080286026,-522.9010391235352,-23.490721508860588,0.9999555349349976,23.952105045318604,-538.9827919006348,-72.07432240247726,0.9999828934669495,1.2311680102720857,-507.0637893676758,-80.5031481385231,0.999974250793457,110.20851910114288,-432.6001453399658,13.300125002861023,0.9999821186065674,-52.67088711261749,-462.4453926086426,60.77103227376938,0.9999086856842041,180.5198496580124,-389.7663688659668,-58.52146491408348,0.9705331325531006,-121.8932917714119,-312.49972343444824,-21.37262798845768,0.9389011859893799,144.23007667064667,-493.674259185791,-122.0612570643425,0.9848938584327698,-118.86848419904709,-415.06299018859863,-136.7386507987976,0.9790263175964355,124.74437266588211,-527.5177574157715,-137.94572532176971,0.9686461091041565,-98.2941198348999,-449.1709613800049,-174.61739122867584,0.956407904624939,108.44339489936829,-550.4130363464355,-134.46553498506546,0.9640894532203674,-74.74907755851746,-506.0360527038574,-172.42288291454315,0.9504702687263489,136.21246576309204,-489.9250030517578,-123.08280855417252,0.9356257915496826,-109.60770159959793,-437.19017028808594,-141.18578016757965,0.9327799081802368,47.712644040584564,-1.6669689863920212,-0.04701281926827505,0.9999642372131348,-46.39062747359276,-2.699938863515854,1.5243078907951713,0.9999496340751648,73.44375371932983,402.9195785522461,-43.13149407505989,0.9443702697753906,-92.81081825494766,318.3706855773926,-23.1990996748209,0.8217859864234924,148.55192005634308,725.9908676147461,7.657536920160055,0.9655387997627258,-122.5735455751419,709.134464263916,46.40268534421921,0.9430228471755981,145.10846257209778,756.0339546203613,14.041023217141628,0.7973159551620483,-126.42783164978027,742.5465774536133,29.847502559423447,0.840781569480896,165.2980613708496,753.7576675415039,-18.08737926185131,0.9614036679267883,-175.77699065208435,719.3574142456055,-5.999070256948471,0.9327548742294312
6,-2.0062563428655267,-553.0120468139648,-139.15909230709076,0.9999950528144836,9.854003079235554,-570.2457046508789,-136.82238399982452,0.9999879598617554,10.69309126585722,-571.4221572875977,-131.7217880487442,0.9999852776527405,9.540433064103127,-570.7292747497559,-133.47282260656357,0.9999894499778748,-2.7057444769889116,-577.4320220947266,-139.88922715187073,0.9999908208847046,-1.676555103622377,-577.3326301574707,-147.52352893352509,0.9999896287918091,-0.0776137804496102,-566.8498992919922,-135.90585708618164,0.9999904036521912,55.57298764586449,-557.486572265625,-96.64795696735382,0.9999857544898987,-22.364917919039726,-521.6722297668457,-72.35049068927765,0.99994957447052,23.901463598012924,-538.6710548400879,-119.56969946622849,0.9999810457229614,1.402470893226564,-506.27031326293945,-127.90538549423218,0.9999719262123108,117.37247943878174,-431.63758277893066,-42.78425395488739,0.9999809861183167,-52.53722861409187,-457.0133399963379,6.263299360871315,0.9999083876609802,184.02809858322144,-406.704683303833,-135.23533165454865,0.9718624353408813,-121.64928585290909,-277.8100776672363,-87.23535060882568,0.9377590417861938,144.3364530801773,-499.4378471374512,-206.97268545627594,0.9853039979934692,-117.11330562829971,-383.49005699157715,-209.61088478565216,0.9794960618019104,124.67839032411575,-525.4766464233398,-223.88362169265747,0.9698479771614075,-96.09850108623505,-412.6607036590576,-246.67300522327423,0.9586519002914429,108.30333530902863,-547.9925537109375,-219.91544365882874,0.9655594229698181,-72.02881872653961,-473.272762298584,-243.5042917728424,0.9530611634254456,136.07216477394104,-492.66345977783203,-208.76293122768402,0.9378659725189209,-107.85213679075241,-404.47797775268555,-214.24902498722076,0.9351447820663452,50.48184648156166,-1.1170820519328117,2.0483522722497582,0.9999660849571228,-49.21086564660072,-3.13986137509346,-0.6246451358310878,0.9999521970748901,82.675721347332,387.85998344421387,-82.17697530984879,0.9452399611473083,-96.56321793794632,318.30190658569336,-33.78800421953201,0.8302570581436157,146.4822953939438,707.1051406860352,-8.968949541449547,0.9648399949073792,-120.5446046590805,703.6870765686035,43.50663185119629,0.9447738528251648,142.91297256946564,735.3922462463379,-4.592982530593872,0.7997177243232727,-122.52248167991638,735.2685928344727,28.250826448202133,0.8409982323646545,167.13278889656067,734.0536880493164,-37.609822154045105,0.9614260196685791,-169.07896220684052,719.1611480712891,-7.60287668555975,0.9345453381538391
7,-18.989321663975716,-553.7385749816895,-149.5031762123108,0.9999878406524658,-6.021598801016808,-571.4451599121094,-150.5637538433075,0.9999655485153198,-5.414765942841768,-572.3574829101562,-145.30962824821472,0.999963104724884,-7.0588643476367,-571.571159362793,-147.03719079494476,0.9999693036079407,-17.579029574990273,-578.7565040588379,-152.78005242347717,0.9999759793281555,-16.1759140715003,-578.9241027832031,-160.3874945640564,0.9999783039093018,-14.50033474713564,-568.7895011901855,-148.7608104944229,0.9999781250953674,40.92454969882965,-557.9344367980957,-115.43352395296097,0.9999732375144958,-26.97202429175377,-523.1625366210938,-87.9980742931366,0.9999234676361084,6.544517409056425,-539.3690299987793,-131.31219059228897,0.9999698400497437,-11.902192533016205,-508.12591552734375,-138.93431782722473,0.9999603033065796,111.5104392170906,-440.8332824707031,-54.717188626527786,0.9999780058860779,-61.35303273797035,-460.20029067993164,-4.4542803056538105,0.999904215335846,178.53949427604675,-445.00760078430176,-132.42219865322113,0.9738063812255859,-136.11597061157227,-298.6138916015625,-93.9827048778534,0.9382233023643494,136.72365188598633,-545.3012466430664,-190.3995305299759,0.9863824248313904,-126.93959712982178,-413.62732887268066,-205.0378578901291,0.980899453163147,117.091563642025,-571.5536499023438,-204.67975080013275,0.9721445441246033,-102.87332653999329,-448.50820541381836,-240.12998700141907,0.9618841409683228,99.17200684547424,-592.3559761047363,-197.5299847126007,0.968193769454956,-76.98297411203384,-503.43000411987305,-234.47621762752533,0.9567028284072876,128.11068713665009,-536.1641120910645,-190.40991067886353,0.942359447479248,-115.70189505815506,-433.97006034851074,-208.34964036941528,0.9397748112678528,53.20261225104332,-1.118093803524971,5.400117561221123,0.9999663829803467,-51.91688194870949,-3.1467966735363007,-4.009749926626682,0.9999529123306274,93.1596314907074,385.1820373535156,-74.44249302148819,0.9469624757766724,-99.80694204568863,308.04402351379395,-47.431253492832184,0.8425130248069763,144.55102443695068,698.7362480163574,24.677361622452736,0.9658950567245483,-126.04464322328568,694.9823570251465,40.07217049598694,0.9484367370605469,139.70606982707977,726.218433380127,34.285627752542496,0.8054025769233704,-127.3561629652977,726.1057090759277,26.161491572856903,0.8472827076911926,166.53006434440613,731.2440490722656,2.213534312322736,0.9625710248947144,-171.22958421707153,713.5388946533203,-15.014137029647827,0.9382742047309875
8,-23.76033179461956,-558.7581253051758,-156.68440461158752,0.9999868869781494,-10.042039677500725,-575.6485176086426,-157.21561074256897,0.9999619126319885,-9.684905223548412,-576.5151786804199,-151.847625374794,0.9999595880508423,-11.424975246191025,-575.5300140380859,-153.47212672233582,0.9999664425849915,-21.80809937417507,-584.6033477783203,-159.59947228431702,0.9999731779098511,-20.401810482144356,-584.8888206481934,-167.4172854423523,0.9999760389328003,-18.81015546619892,-574.7782516479492,-155.62617659568787,0.999975323677063,36.47211357951164,-558.017520904541,-121.6940090060234,0.9999720454216003,-30.003162547945976,-527.9213905334473,-96.11849695444107,0.9999160766601562,1.0156636219471693,-542.3668670654297,-138.7320578098297,0.9999674558639526,-17.243905663490295,-513.6783027648926,-146.93079829216003,0.9999580979347229,103.88707280158997,-438.687801361084,-63.76887559890747,0.9999766945838928,-66.7570348083973,-467.5111198425293,-14.248047843575478,0.9999021291732788,175.01907885074615,-447.83143043518066,-136.8011087179184,0.976016104221344,-145.1265835762024,-309.0954780578613,-114.19511586427689,0.9409601092338562,132.29634135961533,-580.5615234375,-174.40748691558838,0.9875285029411316,-125.09453773498535,-431.2547206878662,-218.79433929920197,0.9821368455886841,110.96198111772537,-614.8019027709961,-185.56864142417908,0.9744592905044556,-100.04697293043137,-474.713716506958,-251.44935429096222,0.9646273851394653,93.36782991886139,-636.9537734985352,-176.49244844913483,0.9708282947540283,-76.38179451227188,-529.6131134033203,-242.7137589454651,0.959750235080719,124.00796949863434,-574.3172836303711,-173.2198691368103,0.9470142722129822,-113.59703421592712,-456.96192741394043,-220.48675417900085,0.9437997341156006,53.200246542692184,-1.7818963900208473,7.141944766044617,0.9999665021896362,-51.94479167461395,-2.5865504890680313,-6.006466615945101,0.9999527335166931,104.44245904684067,367.02601432800293,-72.50494569540024,0.9484025239944458,-89.09606873989105,312.73810386657715,-35.44086992740631,0.8481088876724243,145.37607729434967,692.4580192565918,8.580284379422665,0.9670831561088562,-126.75961017608643,694.78271484375,40.84644913673401,0.9516192674636841,140.46805322170258,720.3486442565918,16.60662990063429,0.813377320766449,-129.2770618200302,725.3597259521484,28.214516043663025,0.8532981872558594,167.23472356796265,726.4171028137207,-16.679366379976273,0.9642825722694397,-172.30009138584137,709.4712066650391,-8.208423089236021,0.941808819770813
9,-22.33992710709572,-566.1553573608398,-145.38999795913696,0.9999877214431763,-9.702269844710827,-581.8640899658203,-142.62911975383759,0.9999643564224243,-9.279556386172771,-582.9474449157715,-137.3794037103653,0.9999619126319885,-10.955453552305698,-581.9214248657227,-138.95147323608398,0.9999687075614929,-21.826940551400185,-591.5777206420898,-146.1665940284729,0.99997478723526,-20.864368826150894,-591.3916397094727,-153.35295617580414,0.9999772310256958,-19.226775616407394,-580.6993675231934,-141.98431134223938,0.9999766945838928,36.65484443306923,-559.7110176086426,-101.0043928027153,0.9999738335609436,-36.75695210695267,-529.3210601806641,-79.24581438302994,0.9999200701713562,2.4184192903339863,-546.8931198120117,-125.52372068166733,0.9999686479568481,-18.01148548722267,-518.8458251953125,-134.29254859685898,0.9999597668647766,98.3784806728363,-437.2873306274414,-46.49277538061142,0.9999749660491943,-69.65091168880463,-476.1261177062988,1.822087406180799,0.9998996257781982,169.4707202911377,-453.3867645263672,-113.32162231206894,0.9781825542449951,-145.5198222398758,-402.4544620513916,-84.94997173547745,0.945841372013092,121.81521534919739,-613.2051658630371,-121.87566965818405,0.9885755181312561,-121.40659958124161,-530.8725929260254,-175.76228141784668,0.9832963347434998,96.07667058706284,-657.9099655151367,-120.80748796463013,0.9762284755706787,-90.73477238416672,-568.6715698242188,-236.21177852153778,0.966227650642395,80.9800073504448,-668.6203193664551,-105.11292815208435,0.9727465510368347,-65.17916768789291,-601.7279434204102,-212.1048080921173,0.9613410234451294,113.61969351768494,-605.4643249511719,-115.54076135158539,0.9505394697189331,-108.22518646717072,-543.9079284667969,-186.44163608551025,0.9463094472885132,53.078283816576004,-2.2294507920742035,7.426401078701019,0.9999671578407288,-51.80383890867233,-2.159361094236374,-6.664013843983412,0.9999539852142334,110.93209594488144,363.53261947631836,-72.13995069265366,0.951403021812439,-75.40466040372849,319.086971282959,-29.754592180252075,0.8570807576179504,146.8582981824875,694.2526245117188,2.2558231092989445,0.9687496423721313,-124.67955708503723,694.9956321716309,48.85574385523796,0.9544633030891418,140.86314260959625,722.4964141845703,9.794325269758701,0.8222554922103882,-128.8596349954605,725.463924407959,37.46879294514656,0.8582479953765869,172.58618116378784,723.9830589294434,-22.86188766360283,0.9662451148033142,-172.76307821273804,708.6821937561035,-0.7344488427042961,0.9452371001243591
