frame,NOSE_x,NOSE_y,NOSE_distance,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_distance,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_distance,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_distance,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_distance,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_distance,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_distance,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_distance,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_distance,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_distance,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_distance,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_distance,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_distance,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_distance,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_distance,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_distance,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_distance,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_distance,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_distance,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_distance,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_distance,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_distance,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_distance,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_distance,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_distance,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_distance,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_distance,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_distance,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_distance,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_distance,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_distance,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_distance,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_distance,RIGHT_FOOT_INDEX_vis
0,-521.9546127319336,-441.5477156639099,-913.6528015136719,0.9999986886978149,-462.6200008392334,-475.8707320690155,-915.5991554260254,0.9999983310699463,-457.97593116760254,-474.5111417770386,-895.9733963012695,0.9999982118606567,-464.0233039855957,-474.79328870773315,-900.1253128051758,0.9999986886978149,-512.2067642211914,-488.96507263183594,-919.9688529968262,0.9999990463256836,-509.1950225830078,-488.9938151836395,-943.1021690368652,0.9999991655349731,-484.8966407775879,-481.6703224182129,-899.8367500305176,0.9999991655349731,-250.04247665405273,-483.7544631958008,-783.3298301696777,0.9999990463256836,-440.8897590637207,-445.340895652771,-672.4772644042969,0.9999977350234985,-432.9697895050049,-436.55813097953796,-838.2663345336914,0.9999994039535522,-454.9570083618164,-415.7216477394104,-866.2920570373535,0.9999991655349731,-14.278993606567383,-364.40853238105774,-562.8640365600586,0.9999967813491821,-566.521167755127,-376.3361442089081,-194.22921180725098,0.9999961853027344,350.4378604888916,-267.5921595096588,-589.9263381958008,0.998420238494873,-621.6486740112305,-122.30342030525208,-120.32904624938965,0.9893938899040222,730.3962707519531,-151.38808250427246,-512.779483795166,0.9991946816444397,-849.8342514038086,112.11386382579803,-225.76472282409668,0.999388575553894,820.6991958618164,-147.43065476417542,-518.814754486084,0.9979925155639648,-872.0138740539551,138.2656592130661,-267.25685119628906,0.9986769556999207,791.4311599731445,-107.4626076221466,-565.0815582275391,0.998314380645752,-856.5964508056641,113.99931728839874,-355.2984809875488,0.9988805651664734,762.451343536377,-120.93502700328827,-536.206226348877,0.9977926015853882,-848.8023948669434,120.44217109680176,-280.08856773376465,0.9986644983291626,138.49844455718994,-19.81297641992569,-42.419986724853516,0.9999598264694214,-136.94927215576172,14.32693898677826,44.37199831008911,0.9999749660491943,-9.711127281188965,243.99594068527222,-302.2367763519287,0.9773141741752625,-273.063383102417,323.02353858947754,-17.78483211994171,0.9687206149101257,-714.0078735351562,614.5745944976807,-78.27422618865967,0.9560192227363586,-182.0701789855957,733.5824060440063,201.709942817688,0.971651554107666,-834.6956634521484,666.3176250457764,-36.53319239616394,0.9282248020172119,-202.8464698791504,772.4719476699829,155.43076515197754,0.9322969913482666,-993.383674621582,738.9314818382263,-99.12257194519043,0.9679909944534302,-318.0117988586426,820.7585334777832,72.3508071899414,0.9680279493331909
1,-469.96676445007324,-471.6494071483612,-907.1151351928711,0.9999985694885254,-417.1604919433594,-503.37732195854187,-905.8165740966797,0.9999978542327881,-413.2854652404785,-500.9149897098541,-887.2719383239746,0.9999976754188538,-417.05469131469727,-501.7563772201538,-890.5777931213379,0.999998152256012,-462.27707862854004,-513.0139946937561,-909.2528915405273,0.9999987483024597,-458.12313079833984,-512.8139555454254,-932.1691131591797,0.999998927116394,-436.7223358154297,-504.08371925354004,-890.7104301452637,0.999998927116394,-206.47710800170898,-509.2601144313812,-765.267162322998,0.9999986290931702,-401.52408599853516,-455.79291701316833,-653.7074089050293,0.9999970197677612,-374.84716415405273,-468.4664189815521,-829.1501998901367,0.9999991059303284,-402.7310371398926,-439.1825866699219,-857.501335144043,0.9999987483024597,55.41362285614014,-386.89286828041077,-513.9284133911133,0.9999967217445374,-506.82483673095703,-393.2896149158478,-193.05424690246582,0.9999958872795105,426.77501678466797,-286.0137212276459,-523.3664703369141,0.9984181523323059,-544.4257164001465,-126.10872656106949,-123.32460880279541,0.9882174730300903,840.2259063720703,-163.02294194698334,-468.5361099243164,0.9990671277046204,-788.4816741943359,106.58347338438034,-279.0114212036133,0.9992066621780396,930.3547096252441,-159.55449163913727,-457.75397300720215,0.9975757598876953,-814.9002456665039,133.1230840086937,-329.6494674682617,0.9982439875602722,912.121696472168,-131.96664690971375,-514.7757911682129,0.9979807138442993,-804.4614601135254,104.57328915596008,-411.6266441345215,0.99851393699646,876.4455986022949,-133.4367173910141,-492.9876708984375,0.9973998665809631,-788.6227798461914,112.6661279797554,-331.4295959472656,0.9982216358184814,150.04351615905762,-10.255719870328903,-30.447850227355957,0.999961256980896,-150.01431941986084,4.760376010090113,33.95495653152466,0.9999750256538391,62.64540910720825,400.20849108695984,-188.04184913635254,0.9778364896774292,-506.4517593383789,295.2027440071106,-68.70594263076782,0.9702632427215576,-67.26358652114868,777.8653764724731,135.92994689941406,0.9560875296592712,-722.2177505493164,725.4691529273987,160.51777839660645,0.9723567366600037,-118.68337154388428,829.6385979652405,178.86335849761963,0.9195515513420105,-769.4900321960449,762.3420810699463,113.76702547073364,0.9302898645401001,-159.12710666656494,886.0641860961914,48.96482706069946,0.9671885967254639,-910.9198951721191,766.5771818161011,-15.297190546989441,0.9692180752754211
2,-443.2254409790039,-476.397625207901,-915.7593727111816,0.9999984502792358,-393.05102348327637,-507.92418122291565,-913.1166458129883,0.9999973177909851,-390.0625419616699,-504.9979770183563,-895.0473403930664,0.999997079372406,-392.9388999938965,-506.0665690898895,-897.9707908630371,0.9999975562095642,-437.26112365722656,-516.1977231502533,-914.8746299743652,0.9999983906745911,-432.45068550109863,-516.060061454773,-937.950439453125,0.9999986886978149,-412.17650413513184,-506.6648840904236,-897.2431182861328,0.9999986290931702,-179.28282737731934,-514.4647371768951,-771.6107368469238,0.9999982118606567,-375.17334938049316,-456.3375127315521,-654.3965721130371,0.9999961853027344,-342.78748512268066,-474.0808403491974,-837.6865768432617,0.9999988079071045,-373.20837020874023,-442.38163590431213,-864.4901275634766,0.9999982714653015,105.66069602966309,-393.0797266960144,-519.140567779541,0.9999966621398926,-473.23997497558594,-395.74538111686707,-213.27269554138184,0.9999954700469971,489.6684265136719,-298.7443542480469,-532.8104209899902,0.9984537959098816,-517.2432518005371,-125.51164269447327,-179.19736862182617,0.9867973327636719,900.1131248474121,-172.2626906633377,-471.8496894836426,0.9989003539085388,-765.7338523864746,109.18202698230743,-362.5879955291748,0.9987404942512512,991.9695281982422,-166.99186027050018,-465.0827693939209,0.9970096349716187,-791.257495880127,139.05854165554047,-413.7843704223633,0.9970954060554504,966.7440032958984,-143.07533740997314,-515.7047653198242,0.9975214004516602,-780.5996704101562,108.55520278215408,-494.7974395751953,0.9975326657295227,933.2794189453125,-142.22442269325256,-498.45542907714844,0.9968829154968262,-764.9126243591309,115.02409547567368,-415.3373050689697,0.9971490502357483,158.1278371810913,-5.293362960219383,-23.846774697303772,0.9999635815620422,-158.83315086364746,-0.2455316187115386,27.98115313053131,0.9999759197235107,82.32805967330933,423.63009810447693,-158.09200286865234,0.9787128567695618,-541.0089683532715,293.3611285686493,-72.7369236946106,0.9718430638313293,12.738248705863953,807.4422025680542,159.44738388061523,0.9574031233787537,-817.9511260986328,724.6606922149658,151.41287326812744,0.9735870361328125,-32.328611612319946,859.1715216636658,200.66483974456787,0.9142043590545654,-869.4619560241699,760.7214260101318,103.37512493133545,0.9299980998039246,-43.625478744506836,920.9935641288757,57.803664207458496,0.9674951434135437,-1009.6499633789062,756.5639591217041,-40.059202909469604,0.9707953929901123
3,-430.14750480651855,-475.30508637428284,-925.8452224731445,0.9999983906745911,-380.4796028137207,-506.7412304878235,-923.2598304748535,0.9999969601631165,-377.94965744018555,-503.75020265579224,-905.2320671081543,0.9999966621398926,-380.42049407958984,-504.8905384540558,-907.9033470153809,0.9999971389770508,-424.2920780181885,-514.9546802043915,-923.0569267272949,0.999998152256012,-419.14475440979004,-514.8127698898315,-946.2616539001465,0.9999985694885254,-399.68167304992676,-505.3481662273407,-906.0091781616211,0.9999985098838806,-163.72218132019043,-513.5696303844452,-781.4864158630371,0.9999979138374329,-362.34023094177246,-456.0127830505371,-656.242790222168,0.9999956488609314,-327.16137886047363,-473.0206489562988,-847.6159858703613,0.9999986290931702,-359.4934844970703,-441.2023866176605,-872.5251388549805,0.9999979734420776,123.8810920715332,-393.2780921459198,-522.1120834350586,0.9999966621398926,-455.5920124053955,-397.05665946006775,-225.08864879608154,0.999995231628418,511.3176727294922,-304.6693754196167,-536.4614295959473,0.9985102415084839,-501.91274642944336,-125.51142543554306,-206.9022274017334,0.9859620928764343,922.5533866882324,-173.18739295005798,-475.0535774230957,0.9987879395484924,-756.0106086730957,109.61553901433945,-400.4674816131592,0.9984623193740845,1017.4377822875977,-167.01667606830597,-470.56251525878906,0.9965878129005432,-781.4122581481934,141.09216570854187,-453.6666011810303,0.9963567852973938,988.3525085449219,-141.8379110097885,-519.580078125,0.9971892237663269,-768.6904335021973,110.40540397167206,-536.242561340332,0.9969070553779602,954.0998268127441,-142.26681232452393,-500.2788734436035,0.9965105652809143,-754.0492057800293,115.59485077857971,-454.2028999328613,0.9964437484741211,162.1339988708496,-2.3459272272884846,-18.48077952861786,0.999965250492096,-163.19744110107422,-3.2658163737505674,23.08876097202301,0.9999762177467346,87.47036933898926,436.602258682251,-148.73303890228271,0.9789989590644836,-526.0000419616699,293.9779829978943,-72.27116346359253,0.9725938439369202,49.622286558151245,826.8987536430359,151.55802726745605,0.9570960402488708,-800.7217597961426,724.9813985824585,151.9630765914917,0.9735501408576965,7.79225617647171,878.6577486991882,190.39180755615234,0.9036639928817749,-850.6864929199219,761.0936951637268,103.6077618598938,0.9251708388328552,-0.23428443353623152,938.2436656951904,39.87622261047363,0.9664906859397888,-978.0110549926758,757.3253631591797,-45.18780827522278,0.971206784248352
4,-434.6268653869629,-483.481650352478,-925.5329132080078,0.9999983906745911,-383.73438835144043,-514.256876707077,-923.1065940856934,0.9999967813491821,-381.2446975708008,-511.0559928417206,-905.0213813781738,0.9999964833259583,-383.9297389984131,-512.4386608600616,-907.7571487426758,0.9999969601631165,-426.956090927124,-522.1606922149658,-922.6768112182617,0.9999980330467224,-421.91699981689453,-521.9821858406067,-945.8807945251465,0.9999985098838806,-402.7727794647217,-511.7481315135956,-905.7534027099609,0.9999984502792358,-163.14903259277344,-518.6116468906403,-783.6197090148926,0.9999977946281433,-358.9281463623047,-460.09068489074707,-654.9624824523926,0.9999954104423523,-330.0942134857178,-480.27552008628845,-847.5680351257324,0.9999985098838806,-362.25637435913086,-447.1530282497406,-872.3050117492676,0.9999977946281433,127.24506855010986,-396.6713869571686,-523.1793594360352,0.9999966621398926,-444.0676975250244,-404.07376885414124,-225.9737777709961,0.9999951124191284,521.6084289550781,-314.9534475803375,-538.7419509887695,0.9985751509666443,-516.7329025268555,-128.4407839179039,-208.43939781188965,0.985872209072113,933.9261817932129,-182.60857701301575,-477.96298027038574,0.9986910820007324,-766.296443939209,109.64506208896637,-401.5011405944824,0.9982107281684875,1030.7080078125,-174.44667398929596,-473.03921699523926,0.9962170720100403,-790.7486915588379,142.96122014522552,-455.022668838501,0.9956458210945129,1003.8988494873047,-152.1967202425003,-523.4595680236816,0.9968938231468201,-775.2816009521484,112.32760637998581,-538.1810760498047,0.9962979555130005,965.9575653076172,-151.68770670890808,-502.4582290649414,0.996178925037384,-764.2599105834961,115.6810462474823,-455.806245803833,0.9958043098449707,162.96216487884521,0.42919448227621615,-17.972046732902527,0.9999669194221497,-164.03954029083252,-6.092821508646011,22.638334035873413,0.9999768137931824,76.9868016242981,437.9894006252289,-140.31177520751953,0.9794880151748657,-526.8534851074219,284.2096674442291,-69.76031541824341,0.9736897349357605,27.74648666381836,825.0991415977478,142.83405303955078,0.958122193813324,-815.2250862121582,725.0054097175598,148.25324535369873,0.9744743704795837,-14.970070123672485,875.902841091156,179.42692279815674,0.8979639410972595,-866.4483833312988,761.1343789100647,98.67065906524658,0.925037145614624,-33.09999346733093,938.8051271438599,28.620829582214355,0.9667157530784607,-1006.8279647827148,758.0533576011658,-50.794676542282104,0.9724403619766235
5,-435.8254623413086,-486.7068350315094,-925.2784538269043,0.9999984502792358,-383.33072662353516,-517.3547637462616,-923.078784942627,0.9999967813491821,-380.9248352050781,-514.0141904354095,-904.9345207214355,0.9999964237213135,-383.67493629455566,-515.5974125862122,-907.7680778503418,0.9999969005584717,-426.09972953796387,-526.0306692123413,-922.481575012207,0.9999980330467224,-421.0634708404541,-525.7111859321594,-945.6580352783203,0.9999985098838806,-402.5038719177246,-515.1283264160156,-905.5896949768066,0.9999984502792358,-156.4450979232788,-520.327799320221,-787.7661323547363,0.9999977350234985,-352.51928329467773,-464.5677316188812,-653.6888694763184,0.9999953508377075,-329.3815326690674,-482.8521144390106,-847.6643371582031,0.9999984502792358,-362.1418762207031,-449.93616342544556,-871.8827819824219,0.9999976754188538,134.18579578399658,-397.0218336582184,-523.9690017700195,0.9999966621398926,-431.1316108703613,-411.15309476852417,-227.6288652420044,0.9999949932098389,527.1576690673828,-322.5325334072113,-538.7793159484863,0.9986265301704407,-525.142822265625,-133.0378058552742,-215.8750820159912,0.9855717420578003,938.6457252502441,-192.00304627418518,-473.9912509918213,0.9985141754150391,-772.4187469482422,108.7306272983551,-401.87307357788086,0.9976849555969238,1035.6972885131836,-183.79967093467712,-463.70158195495605,0.9955918788909912,-795.8325576782227,143.02826464176178,-454.80637550354004,0.9942129254341125,1011.221809387207,-163.20798218250275,-521.843433380127,0.9963886141777039,-777.6543617248535,112.56910175085068,-536.9781303405762,0.9950494766235352,971.6729736328125,-161.677143573761,-500.75328826904297,0.9956249594688416,-770.0325393676758,115.48968940973282,-456.08911514282227,0.9945611953735352,163.0569362640381,2.3631190974265337,-17.69002676010132,0.9999687075614929,-164.0636157989502,-8.011301849037409,22.378093600273132,0.9999775886535645,71.33030891418457,429.28240299224854,-151.28150939941406,0.9802951216697693,-511.7471122741699,284.6286714076996,-67.46691942214966,0.974738359451294,29.072306156158447,818.0786848068237,121.76952838897705,0.9601160883903503,-775.5890464782715,733.3832359313965,129.09936904907227,0.9757190942764282,-15.907988548278809,868.2731580734253,173.12145709991455,0.8962754607200623,-824.9563407897949,770.2725791931152,74.97274875640869,0.9265817999839783,-49.276403188705444,929.1773700714111,-34.8871636390686,0.967983603477478,-979.5100021362305,762.8804326057434,-81.33548498153687,0.973974883556366
6,-437.65302658081055,-499.45446252822876,-925.4952621459961,0.9999982118606567,-382.84947395324707,-530.4339122772217,-925.1317405700684,0.9999957084655762,-380.592041015625,-526.713570356369,-907.0412063598633,0.9999952912330627,-383.4672260284424,-528.6617875099182,-910.1705932617188,0.9999958276748657,-424.8306083679199,-540.1939558982849,-923.034496307373,0.9999973177909851,-419.92541313171387,-540.0978469848633,-946.2969589233398,0.9999979734420776,-401.6806411743164,-528.8104569911957,-906.0365295410156,0.9999979138374329,-149.7075319290161,-529.7839379310608,-805.1740264892578,0.9999969601631165,-342.1870994567871,-480.1835632324219,-654.4464111328125,0.9999939203262329,-329.1127109527588,-494.01822566986084,-851.0121917724609,0.9999977946281433,-362.1946907043457,-461.91189408302307,-872.3898696899414,0.9999967813491821,144.60727214813232,-402.492059469223,-538.2447624206543,0.9999964237213135,-426.0537815093994,-423.50006461143494,-245.39045333862305,0.9999943971633911,535.7975578308105,-339.03632640838623,-570.0761032104492,0.9986830949783325,-530.083065032959,-144.78894710540771,-257.55929946899414,0.9851641654968262,949.5598983764648,-214.1904455423355,-509.98695373535156,0.9983504414558411,-774.0985107421875,102.11275935173035,-441.10782623291016,0.9970688819885254,1050.2430725097656,-206.03588104248047,-496.39257431030273,0.9950437545776367,-797.3736190795898,140.5957853794098,-492.9698181152344,0.9925196170806885,1023.8788604736328,-186.62674069404602,-561.1273956298828,0.9959360957145691,-781.116886138916,111.00332468748093,-577.5655174255371,0.9936033487319946,982.7701950073242,-183.96158516407013,-540.2721405029297,0.9951195120811462,-771.4247131347656,110.67313134670258,-496.6896057128906,0.993156909942627,164.81948375701904,2.3020255845040083,-14.989596605300903,0.9999702572822571,-165.6709098815918,-7.928443215787411,19.516046047210693,0.9999780058860779,118.8642168045044,427.49112725257874,-128.69371891021729,0.9810652732849121,-491.95993423461914,292.99565076828003,-65.03169536590576,0.9757352471351624,110.47893047332764,815.5414867401123,113.50966930389404,0.9625231027603149,-721.5513610839844,750.8031535148621,123.57815265655518,0.9770433306694031,67.23926067352295,864.8047399520874,152.9482126235962,0.8972674012184143,-768.6597633361816,787.4870824813843,66.84885263442993,0.928401529788971,55.15353798866272,917.2474408149719,-36.02723836898804,0.9696000814437866,-919.401912689209,772.1288394927979,-97.07456588745117,0.9754964709281921
7,-434.1325378417969,-511.31998658180237,-927.407054901123,0.9999979734420776,-377.6960277557373,-541.6911435127258,-927.6445770263672,0.9999945759773254,-375.3969097137451,-538.1230115890503,-909.5905494689941,0.9999940991401672,-378.4892749786377,-539.9404549598694,-912.8280258178711,0.9999946355819702,-419.12132263183594,-551.5307521820068,-924.6940612792969,0.9999966025352478,-414.40303802490234,-551.3913202285767,-947.9116058349609,0.9999974966049194,-396.7525005340576,-539.9096524715424,-907.4382591247559,0.9999973773956299,-139.6400499343872,-538.2024800777435,-809.4988632202148,0.9999960660934448,-338.0156707763672,-489.6379315853119,-654.9413681030273,0.9999924898147583,-322.98837661743164,-504.901385307312,-854.2422294616699,0.9999970197677612,-358.5871982574463,-472.2165334224701,-873.8250160217285,0.999995768070221,155.16101360321045,-407.88458704948425,-538.3543968200684,0.9999959468841553,-419.16486740112305,-431.24301195144653,-252.64752388000488,0.9999938607215881,547.7457618713379,-351.22011065483093,-565.6282997131348,0.998712956905365,-535.7940101623535,-155.18197059631348,-255.4745864868164,0.9854854345321655,959.8687934875488,-233.43606233596802,-491.24914169311523,0.9979720711708069,-803.4207916259766,91.64174795150757,-429.178991317749,0.9966477751731873,1058.2557678222656,-227.29838490486145,-470.7487964630127,0.9937610626220703,-825.1583290100098,131.26020938158035,-481.2841987609863,0.9911852478981018,1038.0852127075195,-213.98797631263733,-541.7730903625488,0.9948859810829163,-807.7606773376465,102.43733614683151,-566.9157600402832,0.9924675822257996,994.5803833007812,-206.0523283481598,-524.53125,0.9940268397331238,-800.7725715637207,100.64765363931656,-485.82653045654297,0.9920824766159058,165.7748794555664,2.2882573027163744,-11.746957898139954,0.9999712109565735,-166.43108367919922,-7.861453536897898,16.041988134384155,0.9999781250953674,152.1460247039795,426.8554759025574,-130.77930450439453,0.9820106029510498,-450.5251693725586,305.9683907032013,-63.02943706512451,0.9767972230911255,175.2035093307495,817.1706390380859,109.71894979476929,0.9649141430854797,-673.9935493469238,761.7169547080994,122.66098022460938,0.9781853556632996,136.09095096588135,865.5926012992859,132.96782970428467,0.898856520652771,-717.5217247009277,798.2531476020813,64.74772453308105,0.929460883140564,127.70205974578857,907.8035974502563,-75.7166862487793,0.97125244140625,-863.012523651123,779.3532299995422,-102.28365898132324,0.9767864346504211
8,-433.3839511871338,-522.1788132190704,-926.645679473877,0.9999973177909851,-373.3473873138428,-552.0840382575989,-927.8159523010254,0.9999921321868896,-371.1715507507324,-548.4376931190491,-909.7895622253418,0.9999915957450867,-374.9044990539551,-550.1849699020386,-912.945442199707,0.9999921917915344,-411.5570068359375,-563.5745573043823,-924.3813514709473,0.9999950528144836,-406.84481620788574,-563.9400029182434,-947.5844192504883,0.9999964237213135,-389.46736335754395,-552.2763848304749,-906.9200706481934,0.9999963045120239,-127.06021785736084,-541.6420912742615,-826.0507965087891,0.999994695186615,-311.53432846069336,-503.65869641304016,-655.2643775939941,0.9999898076057434,-319.92093086242676,-512.2863864898682,-855.0349044799805,0.9999959468841553,-353.72554779052734,-482.41183519363403,-873.6353302001953,0.9999943971633911,166.93987369537354,-408.1807351112366,-552.7255439758301,0.9999954700469971,-402.38951683044434,-443.6405146121979,-255.73697090148926,0.9999935626983643,558.4923934936523,-355.77762365341187,-568.7794303894043,0.9987613558769226,-537.9338836669922,-170.90479016304016,-255.1856517791748,0.9858280420303345,975.7698440551758,-244.45413172245026,-488.80680084228516,0.9976108074188232,-834.8387145996094,69.7322952747345,-430.7932662963867,0.9962825775146484,1078.780288696289,-240.12559354305267,-466.4809799194336,0.9926522970199585,-859.0583038330078,109.93066102266312,-479.78161811828613,0.9901890158653259,1066.1761093139648,-230.55966675281525,-539.1377449035645,0.9939480423927307,-843.8222122192383,81.59959763288498,-569.2827415466309,0.9915997982025146,1013.7375640869141,-218.73527705669403,-522.9723930358887,0.9930426478385925,-834.3916511535645,79.6689784526825,-489.3006134033203,0.9913365244865417,167.1451234817505,2.6797933503985405,-11.393873691558838,0.9999729990959167,-167.68996238708496,-8.091375343501568,15.714640617370605,0.9999791979789734,184.33743953704834,422.1735620498657,-155.80216884613037,0.9835203886032104,-393.8627243041992,315.2772116661072,-56.96649670600891,0.9785434603691101,213.57566356658936,809.3632221221924,69.52390909194946,0.9679226875305176,-648.0051612854004,782.7012062072754,121.8488359451294,0.9799962043762207,174.52826499938965,856.8386435508728,91.27933502197266,0.9047236442565918,-694.9518585205078,821.1962056159973,63.36640119552612,0.9340664148330688,160.95180988311768,903.6589407920837,-111.54360294342041,0.9735362529754639,-842.9207611083984,814.2019486427307,-105.4190182685852,0.978660523891449
9,-416.38278007507324,-538.4335148334503,-870.8305549621582,0.999997079372406,-350.89942932128906,-567.3163032531738,-874.3988800048828,0.9999909400939941,-348.6500930786133,-563.9200472831726,-857.0369338989258,0.9999903440475464,-352.6608467102051,-565.7459878921509,-860.1802253723145,0.9999908804893494,-386.21349334716797,-579.9404311180115,-867.3181915283203,0.9999943971633911,-381.7082405090332,-580.2415037155151,-889.8286056518555,0.9999960064888,-365.528039932251,-568.3028197288513,-848.9631271362305,0.9999958872795105,-98.51638555526733,-550.5521535873413,-786.1457633972168,0.9999939799308777,-284.082555770874,-518.2512545585632,-604.0239715576172,0.9999889135360718,-301.57665252685547,-525.8011794090271,-809.0453338623047,0.999995231628418,-336.7335319519043,-496.24231338500977,-820.4180717468262,0.999993622303009,191.21167659759521,-411.57328963279724,-511.4235305786133,0.9999948740005493,-378.7006187438965,-452.98049211502075,-234.969220161438,0.9999934434890747,587.2568321228027,-369.4380283355713,-511.8511962890625,0.9987513422966003,-539.3733215332031,-188.83964359760284,-250.7102108001709,0.9862860441207886,1009.3745040893555,-264.0223056077957,-410.45193672180176,0.9968639612197876,-859.3407440185547,36.57704561948776,-412.888126373291,0.9959396719932556,1113.8310241699219,-260.6800264120102,-382.15121269226074,0.9905921816825867,-887.3305892944336,73.35978716611862,-454.98719215393066,0.9891900420188904,1107.1273040771484,-252.5810158252716,-457.8289318084717,0.9922077059745789,-875.1504135131836,45.54602533578873,-548.9707374572754,0.9907010197639465,1048.974266052246,-239.27237749099731,-446.6264533996582,0.9913991689682007,-861.9145202636719,45.413565784692764,-473.67316246032715,0.9906425476074219,168.4290361404419,2.8053280245512724,-7.898446619510651,0.9999750256538391,-168.6322832107544,-8.12046742066741,12.218059301376343,0.999980628490448,206.08550548553467,421.65265560150146,-158.79518508911133,0.9849197864532471,-314.61859703063965,318.9125168323517,-56.04235053062439,0.9802879095077515,249.9386501312256,809.5844078063965,58.64599585533142,0.9707767367362976,-485.3268814086914,794.1626286506653,104.44421768188477,0.9817391633987427,209.85377311706543,856.3097548484802,77.51857280731201,0.910555362701416,-520.169506072998,834.0906357765198,41.682926416397095,0.9386852979660034,186.37636184692383,907.9430937767029,-116.98400974273682,0.9757756590843201,-674.3605041503906,846.199779510498,-128.8507604598999,0.9804987907409668
