frame,NOSE_x,NOSE_y,NOSE_distance,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_distance,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_distance,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_distance,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_distance,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_distance,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_distance,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_distance,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_distance,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_distance,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_distance,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_distance,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_distance,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_distance,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_distance,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_distance,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_distance,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_distance,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_distance,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_distance,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_distance,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_distance,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_distance,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_distance,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_distance,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_distance,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_distance,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_distance,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_distance,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_distance,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_distance,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_distance,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_distance,RIGHT_FOOT_INDEX_vis
0,-88.41381581872702,-707.0278930664062,24.33523342013359,0.9997790455818176,-99.61380644142628,-722.7170133590698,-42.99763788282871,0.9995428323745728,-100.83381913602352,-722.0036315917969,-22.078017374500632,0.9994576573371887,-99.96580298244953,-724.4803833961487,-26.05118440464139,0.9995808005332947,-27.90290849469602,-743.4232378005981,-70.21129186451435,0.9998071789741516,-22.92390155978501,-742.3731851577759,-94.65239433199167,0.9998502731323242,-10.399263512343168,-728.3301472663879,-54.266946759074926,0.9999040365219116,-199.34514988958836,-664.5479464530945,-216.55191032588482,0.9997442364692688,48.010941330343485,-633.28293800354,-210.0025196671486,0.9998631477355957,-110.63283294439316,-675.7308268547058,2.8132504890672863,0.9995998740196228,-36.9861487261951,-642.0002675056458,-50.47425262257457,0.9997348189353943,-351.37405931949615,-472.4042773246765,-145.54306735098362,0.9999480247497559,192.43791799247265,-569.7028684616089,-23.683124531060457,0.9999071359634399,-279.30539694428444,-273.12994480133057,-29.912493001669645,0.24447232484817505,342.5803191661835,-261.50041222572327,-5.7503868588246405,0.4222762882709503,-55.82456574961543,-250.8024698495865,370.02287378907204,0.0029634726233780384,28.283533692359924,-254.64605391025543,198.193201482296,0.004992707632482052,-39.36946697533131,-287.04201579093933,450.34945046901703,0.0038309055380523205,28.172341540455818,-290.87278962135315,190.40130533277988,0.004016461316496134,-0.4433163646608591,-300.9143042564392,439.90704837441444,0.003665066557005048,-7.071647056378424,-344.9794363975525,204.64970575273037,0.0035472935996949673,-3.2711870819330215,-244.12302911281586,377.53443881869316,0.0037574677262455225,-11.639679059386253,-281.744019985199,197.4488671272993,0.003151858691126108,-130.32121758162975,14.607096388936043,31.622677884995937,0.9999039173126221,133.93376928567886,-20.241612195968628,-32.700438648462296,0.9998879432678223,-55.88400946557522,463.8912355899811,84.73059186339378,0.849294900894165,82.57261241972446,293.2989764213562,192.2631629705429,0.17936953902244568,40.139309361577034,827.3657155036926,134.54823417961597,0.8821225762367249,-91.36225128173828,703.6037635803223,438.39437210559845,0.37740805745124817,-4.607836499810219,863.488118648529,156.45443138480186,0.8806842565536499,-115.9957571849227,736.9964289665222,387.70252597332,0.46770796179771423,-115.8645801693201,833.8326287269592,183.8933277130127,0.6764914989471436,-129.72452971339226,664.4336843490601,417.26469081640244,0.18010422587394714
1,-102.1257258951664,-707.0268630981445,24.603550042957067,0.999771237373352,-114.32373788952827,-722.6707935333252,-42.951330445706844,0.999530553817749,-115.21480415761471,-721.9466614723206,-22.007982823997736,0.9994403123855591,-114.70014211535454,-724.4506430625916,-26.013201016932726,0.9995682835578918,-46.44098274037242,-743.519024848938,-69.86876258999109,0.9998021721839905,-41.62017561495304,-742.4611830711365,-94.26039948314428,0.9998461008071899,-27.53160408884287,-728.6149978637695,-53.923531491309404,0.999902069568634,-204.21278247237206,-664.4563436508179,-216.34914648532867,0.9997262358665466,43.56104027107358,-634.0697693824768,-207.42249305546284,0.9998548030853271,-118.89376962929964,-675.8355617523193,3.476676780730486,0.9995760917663574,-43.60314281284809,-642.3469805717468,-49.00320731848478,0.9997205138206482,-351.1940026283264,-473.42504024505615,-145.6441706120968,0.9999486804008484,181.65012143552303,-571.6083741188049,-13.860770338214934,0.9999082684516907,-284.0816436111927,-294.26228642463684,-8.42383797466755,0.24371588230133057,335.02182507514954,-266.3813030719757,-5.95992247434333,0.41759586334228516,-74.14918886125088,-284.6292185783386,424.0217039883137,0.002937547629699111,26.085673835128546,-254.59643840789795,161.12337283790112,0.004833033308386803,-62.8707592561841,-322.9652810096741,508.13593035936356,0.003780202940106392,24.53575012460351,-290.87291836738586,143.9283875375986,0.0038704683538526297,-25.28782620280981,-333.3664798736572,498.0132575035095,0.003616735804826021,-10.307932971045375,-344.87228751182556,159.77922105789185,0.003423751797527075,-20.776646921411157,-278.35684061050415,434.30531322956085,0.003705502487719059,-13.051890661008656,-281.5454936027527,160.2595580071211,0.0030394853092730045,-129.31075657904148,14.65981587767601,31.69222478196025,0.9999041557312012,132.70578265190125,-20.290907844901085,-32.69329711422324,0.9998887181282043,-53.77069051191211,454.516464471817,116.34138743579388,0.8309026956558228,82.6138396859169,298.28688740730286,173.43047632277012,0.1768440157175064,44.157424472272396,819.429874420166,224.19167286157608,0.8615344166755676,-81.1698779091239,710.4910969734192,396.90788143873215,0.3673170208930969,-0.479109218926169,856.8352317810059,253.41907516121864,0.8633152842521667,-105.07338968664408,743.6806654930115,346.10054180026054,0.4568456709384918,-112.96152327954769,823.6553835868835,292.3589640259743,0.6460564732551575,-125.40807066857815,669.911699295044,375.1426571905613,0.17404183745384216
2,-105.69592140614986,-706.6752576828003,34.30010659247637,0.9997533559799194,-118.97210143506527,-722.0286083221436,-34.42513167113066,0.9995006322860718,-119.7094836011529,-721.280529499054,-13.451723692007363,0.9994032979011536,-119.18291066586971,-723.8791394233704,-17.67562948912382,0.9995397329330444,-51.302031107246876,-743.3513331413269,-60.23954509943724,0.9997894763946533,-46.25760714709759,-742.2817754745483,-84.05652248859406,0.9998359084129333,-31.77423631772399,-728.5727047920227,-44.131126906722784,0.9998961687088013,-206.0140496045351,-663.8211107254028,-209.83550994098186,0.9996969103813171,43.46305584907532,-634.1499137878418,-196.28973074257374,0.9998409152030945,-120.86865571141243,-675.7606315612793,13.88798247743398,0.9995375871658325,-44.402798157185316,-642.3435044288635,-37.01808735355735,0.9996971487998962,-350.26976877450943,-473.7439441680908,-142.67459277808666,0.9999494552612305,179.48191019892693,-572.3629546165466,-2.883669982198626,0.9999099373817444,-285.0340006053448,-299.63849544525146,15.64528844691813,0.24150796234607697,334.3475842177868,-267.77562260627747,-2.7208472886122763,0.4160541296005249,-75.89484562724829,-290.48030734062195,469.72249296307564,0.0028869027737528086,30.992175798863173,-253.47390174865723,163.74701318144798,0.004678388126194477,-64.4928342550993,-328.94250869750977,555.6678101420403,0.003708157455548644,30.677201628684998,-290.1419949531555,147.93780705332756,0.00372959952801466,-27.51319472119212,-338.51712584495544,546.7131621837616,0.0035479424986988306,-2.925674278754741,-343.86964559555054,163.76786260306835,0.0033039150293916464,-22.181857211515307,-283.97892236709595,481.3971687555313,0.003630314953625202,-6.668977417983115,-280.1418077945709,163.04267713427544,0.002931670518592,-127.34852448105812,14.727218449115753,31.840725108981133,0.9999038577079773,130.5805706679821,-20.389507189393044,-32.728919044137,0.9998888373374939,-48.27839696779847,451.4954388141632,114.38171328604221,0.813334584236145,80.63157270848751,303.2004153728485,135.01831075549126,0.1756555140018463,52.69794561341405,814.7342491149902,209.61096781492233,0.8426715135574341,-74.02858660370111,719.6634149551392,325.89412263035774,0.36054614186286926,7.832850115373731,852.6077914237976,236.8158047348261,0.8472071886062622,-96.76019369065762,753.4119987487793,273.26729583740234,0.44950762391090393,-111.54945011436939,823.0585169792175,274.5761650800705,0.6189466714859009,-117.30131109803915,687.0815920829773,302.6461458206177,0.16979195177555084
3,-110.81274673342705,-706.2066864967346,49.68375373259187,0.9997439980506897,-125.63468487560749,-721.0718965530396,-20.39621464163065,0.9994866251945496,-126.47174842655659,-720.3014159202576,0.6459418245940469,0.9993870854377747,-125.76295383274555,-722.9863500595093,-3.7045491964090616,0.9995248317718506,-57.880748856812716,-742.9401183128357,-44.98996517062187,0.9997837543487549,-52.80049575865269,-741.8635439872742,-68.43875520676374,0.9998317360877991,-38.06050127372146,-728.3219718933105,-28.838606672361493,0.9998933672904968,-210.93059758841991,-662.8546786308289,-198.43900744616985,0.9996823668479919,42.05034676939249,-634.0298581123352,-181.23103234171867,0.9998335242271423,-124.47008962929249,-675.6123161315918,28.812051882967353,0.9995130300521851,-46.673991817981005,-642.2919416427612,-20.641052443534136,0.9996823072433472,-351.43919411301613,-474.00043845176697,-138.9059347808361,0.999950647354126,177.73668928444386,-572.4794054031372,10.181615521200001,0.9999120831489563,-295.5339922606945,-302.7234435081482,28.566365599632263,0.2405070662498474,334.3170317411423,-267.78440952301025,-0.2733169974235352,0.4163303077220917,-82.5721980035305,-291.0077154636383,493.9566659927368,0.0028580494690686464,35.33985538780689,-249.86616432666779,159.2899813055992,0.0046059442684054375,-70.76379439234734,-328.3738052845001,582.0999037623405,0.0036639051977545023,35.40922722965479,-286.6025412082672,143.31822399795055,0.0036629249807447195,-32.788859345018864,-336.9203853607178,573.3157094717026,0.0035052350722253323,1.7872736637946218,-339.2028594017029,159.39858692884445,0.0032500019297003746,-27.529251562431455,-283.79040598869324,506.56400686502457,0.0035821846686303616,-2.1249489546753466,-275.87645173072815,158.87186394631863,0.0028805588372051716,-127.2801172286272,14.770137146115303,31.77448282390833,0.999904990196228,130.48531210422516,-20.444534048438072,-32.53206420689821,0.9998903870582581,-48.025978207588196,448.5065996646881,116.14258198440075,0.8071883916854858,81.74978192150593,304.197553396225,137.85827635228634,0.17857876420021057,52.49938666820526,809.9427723884583,205.46977823972702,0.8356962203979492,-61.76273896545172,720.627658367157,330.38596546649933,0.3633793890476227,7.688764571212232,848.1248545646667,232.06070758402348,0.8415173888206482,-84.08679630607367,754.5141291618347,277.4621022939682,0.4523544907569885,-114.03664035350084,820.5634832382202,272.6066021025181,0.6047488451004028,-106.69318539649248,689.7957515716553,309.8351807296276,0.17039531469345093
4,-113.53722596913576,-706.0616540908813,48.92685113474727,0.9997398257255554,-128.241434186697,-720.7976675033569,-20.79750170186162,0.999480664730072,-129.05384711921215,-720.0020813941956,0.20738534307747614,0.9993802905082703,-128.38853764533997,-722.7477836608887,-4.1730915838852525,0.9995200634002686,-61.19413136690855,-742.8626132011414,-45.63646872341633,0.9997802376747131,-56.099452298134565,-741.8016171455383,-69.27707629650831,0.9998287558555603,-41.235929634422064,-728.3143758773804,-29.557604478672147,0.9998915791511536,-213.26005959510803,-662.2290372848511,-198.16549275815487,0.9996724724769592,40.08486722037196,-634.0593409538269,-181.810100376606,0.9998265504837036,-127.17181169986725,-675.5196833610535,28.097457248717546,0.9995025992393494,-49.027582850307226,-642.2909760475159,-21.741697197780013,0.9996750354766846,-351.4947544634342,-473.94935846328735,-138.88106980919838,0.9999522566795349,172.92576026916504,-572.7423691749573,10.010738505981863,0.9999142289161682,-296.7915024757385,-301.39140486717224,25.10838577710092,0.24272745847702026,319.51731488108635,-267.95498192310333,-2.1985676693730056,0.41518452763557434,-88.72079818695784,-287.8938961029053,485.435583114624,0.002914582844823599,32.45076360926032,-248.0684995651245,139.31274858117104,0.004479024559259415,-78.07235979288816,-325.0183939933777,567.6839934587479,0.0037129928823560476,33.23519987612963,-284.3950295448303,120.66486297547817,0.0035460381768643856,-40.325950268656015,-334.2831516265869,562.3562017083168,0.003551434027031064,1.4103290892671794,-337.5932765007019,138.03523206710815,0.0031489948742091656,-34.34456344693899,-280.84344148635864,500.416757106781,0.0036114801187068224,-3.641127665527165,-274.00625467300415,139.10322546958923,0.002786941360682249,-127.07508124411106,14.837696626782417,31.97899007052183,0.9999068379402161,130.21198318898678,-20.513505712151527,-32.61602635681629,0.9998926520347595,-47.647762697190046,445.832222700119,125.61286371946335,0.7950212955474854,81.48150459676981,304.0515875816345,141.67865063250065,0.17871931195259094,52.919511802494526,807.7609133720398,223.9487106502056,0.8257420659065247,-60.236072577536106,720.7394099235535,336.3879409134388,0.3635990023612976,8.514065490104258,846.01895570755,252.2086083292961,0.8340039849281311,-82.00202562659979,754.5264887809753,283.3191749751568,0.4512283504009247,-111.08834779262543,818.313775062561,291.3246383666992,0.5888935923576355,-101.69055316597223,688.9160299301147,309.2284754216671,0.16989870369434357
5,-113.06039012223482,-704.8784136772156,58.85357300937176,0.9997401237487793,-127.97700807452202,-719.540011882782,-10.473644074052572,0.999483048915863,-128.74069137871265,-718.7142992019653,10.178473460488021,0.9993850588798523,-128.06043434143066,-721.520254611969,5.654850082471967,0.9995245337486267,-60.40184620022774,-741.9127893447876,-36.92993817105889,0.9997804164886475,-55.31257954984903,-740.7945013046265,-60.396415919065475,0.9998286962509155,-40.545297902077436,-727.6033759117126,-20.75457390025258,0.9998914003372192,-215.1303055882454,-660.7084822654724,-188.67581920325756,0.9996722936630249,40.026784647256136,-633.4065985679626,-176.8413931131363,0.9998239278793335,-127.17699904739857,-674.5873045921326,37.95899788662791,0.9995006322860718,-48.9518983066082,-641.4988660812378,-13.476006337441504,0.9996723532676697,-353.74829256534576,-473.8308799266815,-130.77758984267712,0.9999539256095886,169.94167786836624,-571.391179561615,16.984447583556175,0.9999155402183533,-303.2515078485012,-301.9640028476715,29.95302004739642,0.2457873523235321,309.29418182373047,-267.40055322647095,15.331439631059766,0.4114195704460144,-107.56929695606232,-287.6180577278137,477.7847170829773,0.0029923610854893923,29.909615309908986,-247.38249242305756,177.42543414235115,0.004351051524281502,-100.16444409638643,-324.01514053344727,559.5030176639557,0.0037853482645004988,32.54164579510689,-284.2293655872345,160.91332098841667,0.003437736304476857,-65.46982043236494,-332.9315435886383,553.8647281527519,0.003614502027630806,1.2342094635823742,-337.42436170578003,178.89605431258678,0.003053164342418313,-55.17578290775418,-280.3590667247772,490.9740126132965,0.003659465815871954,-5.515619638375938,-273.47376108169556,177.86665877699852,0.0027023719158023596,-126.91524520516396,14.817435219883919,32.7529587559402,0.9999088644981384,130.04973210394382,-20.499538779258728,-33.264737747609615,0.9998944997787476,-48.870486959815025,445.28988003730774,123.841591745615,0.7914212942123413,81.64449162781239,304.1470205783844,129.14260363578796,0.18477030098438263,43.235902186483145,806.175856590271,218.73205389082432,0.8206970691680908,-57.40000106394291,721.0974526405334,305.81231412291527,0.368341326713562,-1.130685797543265,844.2874503135681,246.5812365412712,0.8300741910934448,-79.10839313268661,754.8809909820557,250.91491529345512,0.45456963777542114,-116.39474709331989,810.6464982032776,283.71612852811813,0.5784705281257629,-99.33048866689205,687.9651117324829,275.5716499388218,0.17128527164459229
6,-113.19175291061401,-703.5441541671753,71.31194555014372,0.9997442364692688,-129.37256175279617,-717.9617142677307,1.1454094065120444,0.9994936585426331,-129.9922997355461,-717.1334266662598,21.46002279780805,0.9994001984596252,-129.2690005749464,-719.9761390686035,17.05112393386662,0.9995362758636475,-60.31713381409645,-740.688157081604,-26.284725792706013,0.999783992767334,-55.20166605710983,-739.4333338737488,-49.17853394895792,0.9998311400413513,-40.42379893362522,-726.5457272529602,-9.764556530863047,0.9998926520347595,-218.8390161395073,-658.1783652305603,-181.67923060059547,0.9996789693832397,40.08404553309083,-631.7776393890381,-171.18346884846687,0.9998255968093872,-127.73786135017872,-673.2640528678894,49.53147007152438,0.999505877494812,-48.90281142294407,-640.2823448181152,-2.2488518049940467,0.9996742606163025,-359.0629373192787,-472.63009786605835,-125.45924392342567,0.9999557137489319,170.12652178108692,-569.0620350837708,24.574867798015475,0.9999170899391174,-318.7214928865433,-301.01479053497314,39.51718848571181,0.25024276971817017,306.93006604909897,-266.63868248462677,53.61323379352689,0.40492162108421326,-134.86379067599773,-287.445570230484,504.056303024292,0.0030751610174775124,29.062182422727346,-247.10869789123535,274.0175320506096,0.0041673555970191956,-129.76428508758545,-323.96933913230896,587.507034778595,0.0038661083672195673,32.51631639152765,-284.27796721458435,266.9063502252102,0.0032908711582422256,-97.35995395481586,-332.43786692619324,582.654764175415,0.003687703749164939,1.293379990849644,-337.41374015808105,283.9923869371414,0.0029231396038085222,-83.99409569054842,-280.1262617111206,517.426341176033,0.0037170543801039457,-6.246757427696139,-273.32274198532104,274.95296943187714,0.002593395998701453,-126.86134251952171,14.770279973745346,32.99214120581746,0.9999105334281921,130.00601834058762,-20.477241575717926,-33.487339977175,0.9998959302902222,-52.066421777009964,443.261775970459,121.35260808467865,0.7888157367706299,81.4375050291419,304.961017370224,108.3832818120718,0.19278524816036224,40.433809228241444,801.017324924469,204.79858119785786,0.815619707107544,-55.565920028835535,723.9927577972412,271.3627819120884,0.3736840486526489,-3.452121281530708,838.9965033531189,230.23226046562195,0.8260394930839539,-77.5401850938797,758.0643010139465,216.0422212779522,0.4590212404727936,-119.54775410890579,800.9930562973022,272.7875447869301,0.5688478350639343,-99.7630319967866,688.4109592437744,244.96535634994507,0.17328253388404846
7,-113.92828480899334,-702.8632807731628,70.27261831611395,0.9997463822364807,-131.60607926547527,-717.076907157898,-0.575755775498692,0.9995025992393494,-132.2838498055935,-716.2913632392883,19.700166918337345,0.9994142651557922,-131.4885994195938,-719.1040134429932,15.514445465058088,0.999546468257904,-61.46099396049976,-739.9584889411926,-28.364087626338005,0.9997863173484802,-56.35041345655918,-738.6458587646484,-50.88980846107006,0.9998325705528259,-41.47082144767046,-725.81374168396,-11.570508173666894,0.999893069267273,-222.2148933261633,-657.2115468978882,-184.78269344568253,0.9996857643127441,39.17699923366308,-630.5059504508972,-174.7768859565258,0.9998264908790588,-128.5517604649067,-672.5941228866577,48.88542737811804,0.9995087385177612,-49.11769336462021,-639.6169853210449,-2.9203279525972903,0.9996735453605652,-362.57421427965164,-472.25953459739685,-127.47995157539845,0.9999570846557617,169.7485599219799,-567.8957891464233,23.25269436649978,0.9999173879623413,-331.3739908337593,-300.7390487194061,38.148686181753874,0.2530636489391327,304.15742164850235,-266.51733934879303,57.67630234360695,0.40006446838378906,-152.80321036279202,-290.5307114124298,511.73969358205795,0.0031641286332160234,19.691046189516783,-249.25196528434753,290.2849967479706,0.004023314919322729,-148.92724715173244,-328.2909893989563,597.4358751773834,0.003957177512347698,24.209392013028264,-289.46900725364685,284.48202681541443,0.0031748695764690638,-116.3101418837905,-336.74261927604675,591.5240709781647,0.003776990110054612,-7.168841497506946,-343.26656699180603,302.18871608376503,0.0028231546748429537,-101.7992302402854,-283.5190737247467,524.9889508485794,0.0037915443535894156,-16.61151945218444,-276.4040529727936,291.3487888276577,0.002507774857804179,-126.81159828603268,14.782546050846577,33.008764296770096,0.9999079704284668,129.94635669887066,-20.516271740198135,-33.504556111991405,0.9998921155929565,-55.37055851891637,442.49290466308594,122.53705243766308,0.7787444591522217,80.78349911421537,306.3697564601898,109.24351694434881,0.19189710915088654,40.297787830233574,798.6597919464111,203.24579229950905,0.8042743802070618,-55.83433311060071,728.0142045021057,289.09836599230766,0.36968183517456055,-3.4890634932089597,836.7074632644653,228.29114930331707,0.8178688883781433,-78.02985355257988,762.7032136917114,234.19555117189884,0.45593512058258057,-125.68397182226181,801.2340688705444,272.02810567617416,0.553135871887207,-100.05572415143251,693.7678241729736,255.6460048854351,0.1705397367477417
8,-119.0016964673996,-702.2068047523499,61.37504547089338,0.9997386932373047,-138.67083218693733,-716.1399579048157,-10.492553599178791,0.9994988441467285,-139.33902828395367,-715.4004406929016,10.019225106574595,0.9994144439697266,-138.45862251520157,-718.1640386581421,5.978789575397968,0.9995455145835876,-67.1115158945322,-739.1145586967468,-37.91977125033736,0.9997819662094116,-61.99644111841917,-737.7570605278015,-60.000362649559975,0.9998285174369812,-46.80523671209812,-724.9459290504456,-20.781125117093325,0.9998896718025208,-227.75286553800106,-655.9320688247681,-195.80103401839733,0.9996851086616516,35.761620324105024,-628.7514638900757,-182.56269447505474,0.9998226761817932,-132.70079536736012,-671.9627523422241,41.07210662588477,0.999493420124054,-52.02734161540866,-638.9093327522278,-9.766856362111866,0.99965900182724,-369.43848979473114,-471.03628635406494,-135.62921738624573,0.9999572038650513,169.81450925767422,-565.2198672294617,22.346743054687977,0.9999145865440369,-356.02100813388824,-297.3346495628357,36.33693003281951,0.2479592114686966,302.9563577771187,-264.3173110485077,67.98150409758091,0.39215102791786194,-166.41409577429295,-287.63627529144287,529.4270910620689,0.003130111610516906,10.153629031032324,-250.99132418632507,329.08232644200325,0.0038380641490221024,-158.23482051491737,-326.38867020606995,618.9088073968887,0.003915817476809025,14.616084936074913,-294.88393664360046,328.83562019467354,0.003031320869922638,-121.54558312892914,-332.17828273773193,611.713570535183,0.0037395108956843615,-18.04997413791716,-348.91217708587646,345.82305443286896,0.0026977292727679014,-112.84049946069717,-279.6855640411377,542.5771742463112,0.0037487817462533712,-28.02751737087965,-279.09130454063416,329.4141737818718,0.0024014173541218042,-126.6345997005701,14.785245694220066,32.780445981770754,0.999906063079834,129.79097920656204,-20.542282462120056,-33.287469904869795,0.999889075756073,-66.49743683636189,441.27252101898193,119.05514186620712,0.7723836898803711,70.73700024187565,308.6544191837311,111.42484659701586,0.19293542206287384,29.592658372595906,797.073769569397,186.84112726151943,0.8009054064750671,-55.61454962566495,730.6737112998962,300.86246994137764,0.37243813276290894,-14.17560160625726,835.2520537376404,209.86606241762638,0.8147330284118652,-77.4843460842967,765.540132522583,246.67432299256325,0.4569758176803589,-139.11853028833866,802.2507119178772,256.27348816394806,0.5480512380599976,-99.80493090301752,701.114137172699,268.0840924680233,0.17171087861061096
9,-127.61826655268669,-702.1757125854492,60.642793491482735,0.9997307062149048,-147.86212608218193,-716.0739755630493,-11.120838915929198,0.9994904398918152,-148.89099287986755,-715.3389000892639,9.500766333192587,0.999407947063446,-147.73359990119934,-718.0829286575317,5.391025052405894,0.9995404481887817,-76.00182931125164,-739.0797972679138,-38.23588863760233,0.9997757077217102,-71.2344497218728,-737.730667591095,-60.51020888984203,0.9998230338096619,-55.73831359297037,-724.9085927009583,-21.281948873773217,0.9998857975006104,-237.8100463449955,-655.8671164512634,-195.9464226514101,0.9996795058250427,29.56603391841054,-628.5875058174133,-182.79899744689465,0.9998149871826172,-141.06542898714542,-671.9511651992798,40.05506140738726,0.9994722604751587,-58.71693713217974,-638.902702331543,-10.78140347264707,0.9996408224105835,-385.3175179064274,-470.9961175918579,-136.112926825881,0.9999575614929199,168.47177220880985,-564.3107271194458,21.287686394527555,0.9999119639396667,-396.0769912600517,-297.0998167991638,36.15806657448411,0.2444586604833603,303.5264515578747,-263.1262493133545,63.06566347926855,0.38658347725868225,-199.36481322348118,-277.48764395713806,523.3523784279823,0.0031092625577002764,7.967713112942874,-249.25470113754272,305.15490713715553,0.003722607623785734,-189.8066038042307,-312.5556170940399,613.4929307699203,0.0038721440359950066,11.717545540072024,-293.59477043151855,301.4090420305729,0.002935827011242509,-146.36799851059914,-313.20324182510376,605.7897053956985,0.0036956286057829857,-23.124230705201626,-347.01674580574036,317.6907683610916,0.0026144429575651884,-141.91403903067112,-266.8670618534088,536.411975979805,0.003694141749292612,-31.030180621892214,-277.18937158584595,305.19351929426193,0.0023289225064218044,-127.76581300795078,14.822583049535751,32.60963148623705,0.9999041557312012,130.89928530156612,-20.57512879371643,-33.080422572791576,0.999885618686676,-75.65482719987631,440.94943284988403,121.96481512486935,0.7648182511329651,68.09919829666615,309.5188844203949,157.839967623353,0.18730293214321136,16.85621971078217,797.7194952964783,192.93530316650867,0.7932385802268982,-66.40501488000154,730.7288789749146,372.38441732525826,0.3642718493938446,-27.395491590723395,835.8322477340698,216.83115538954735,0.8086878657341003,-90.75515299290419,765.596137046814,321.8261275291443,0.44929733872413635,-149.5956004410982,802.6841354370117,266.29372876882553,0.5347424745559692,-120.95646907389164,699.7438287734985,369.6962280869484,0.1665172427892685
