frame,NOSE_x,NOSE_y,NOSE_distance,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_distance,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_distance,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_distance,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_distance,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_distance,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_distance,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_distance,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_distance,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_distance,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_distance,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_distance,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_distance,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_distance,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_distance,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_distance,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_distance,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_distance,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_distance,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_distance,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_distance,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_distance,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_distance,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_distance,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_distance,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_distance,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_distance,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_distance,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_distance,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_distance,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_distance,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_distance,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_distance,RIGHT_FOOT_INDEX_vis
0,-9.07263234257698,-587.7473831176758,-190.04039347171783,0.9996242523193359,3.4037262573838234,-603.6288070678711,-184.61799681186676,0.9989367127418518,4.177616648375988,-602.8540420532227,-178.11509907245636,0.998603880405426,2.635524831712246,-603.0769157409668,-179.37497556209564,0.9986598491668701,-9.714208021759987,-612.5090217590332,-189.67694342136383,0.9995346069335938,-8.25541589409113,-610.2679824829102,-197.67549991607666,0.9996079802513123,-5.881938524544239,-598.7837219238281,-186.0743397474289,0.9997318387031555,47.01666712760925,-589.6045875549316,-128.76795172691345,0.9990286827087402,-33.38355056941509,-554.3417930603027,-123.71047765016556,0.9995991587638855,12.655691765248775,-571.9695854187012,-162.70532548427582,0.9997393488883972,-7.972174622118473,-544.0021133422852,-177.43169903755188,0.9998471736907959,97.20355242490768,-407.13890075683594,-59.02891740202904,0.9997408986091614,-58.629949539899826,-487.533016204834,-32.37411931157112,0.9999550580978394,100.03821015357971,-230.6421947479248,-112.19102293252945,0.991320788860321,-62.868309170007706,-202.43030548095703,-50.16071364283562,0.9915018081665039,64.35633569955826,-391.92429542541504,-171.20850205421448,0.9963151812553406,-67.06965431571007,-32.56749629974365,-107.33794122934341,0.9972763657569885,47.3321995139122,-441.3936138153076,-180.00818073749542,0.9939318895339966,-52.717175334692,8.548303842544556,-128.28336775302887,0.9938907623291016,49.30118501186371,-478.5387325286865,-180.86579024791718,0.9938960671424866,-32.7768187969923,-21.828306913375854,-136.09698057174683,0.9943522214889526,64.9756483733654,-402.8310012817383,-173.1844961643219,0.9892030358314514,-57.3838247358799,-32.344629764556885,-113.51547360420227,0.9922852516174316,47.66538619995117,7.095679342746735,12.288411520421505,0.9959343671798706,-46.65621042251587,-11.690956950187683,-12.61862900108099,0.9978920817375183,48.72291415929794,393.402156829834,-34.23543691635132,0.2590740919113159,-33.38506132364273,257.1789264678955,-11.48271381855011,0.15243814885616302,47.35431969165802,655.946044921875,51.74232244491577,0.03220537304878235,-47.74322122335434,555.0013732910156,114.81308072805405,0.014165212400257587,34.0637943148613,680.6882858276367,64.71410483121872,0.018344594165682793,-47.981703132390976,577.2201919555664,106.83074623346329,0.013493997044861317,11.78939089179039,721.3525199890137,52.57705137133598,0.02548326551914215,-46.043520122766495,607.3540878295898,99.1663259267807,0.010950050316751003
1,-6.677246019244194,-589.8238563537598,-180.99373161792755,0.9995501041412354,4.798147883266211,-606.0272026062012,-176.01512253284454,0.9986957311630249,6.145524401217699,-605.2374458312988,-169.84271585941315,0.9982632398605347,4.232415687292814,-605.5578804016113,-171.2836253643036,0.9983241558074951,-8.027674723416567,-614.7979545593262,-180.8026885986328,0.999450147151947,-6.445473488420248,-612.3841094970703,-188.7185901403427,0.9995463490486145,-4.444689732044935,-601.6826820373535,-177.06931114196777,0.9996951222419739,48.252480179071426,-590.0217247009277,-121.5214490890503,0.9987515807151794,-32.55823016166687,-555.9769248962402,-114.8560094833374,0.9995179772377014,15.701167099177837,-573.9562225341797,-154.041827917099,0.9996827244758606,-5.9222641959786415,-545.2729225158691,-168.6623078584671,0.9998193383216858,98.21284085512161,-407.51197814941406,-53.121739625930786,0.9997245073318481,-54.75172072649002,-490.8392143249512,-21.072871014475822,0.9999551177024841,100.57051867246628,-230.21560192108154,-101.62823170423508,0.9910528659820557,-63.1118805706501,-210.41293144226074,-46.999419182538986,0.9907472133636475,63.957074135541916,-375.50889015197754,-152.00936257839203,0.9957155585289001,-68.17977100610733,-62.94379234313965,-107.89729446172714,0.9972202777862549,46.75002604722977,-421.1129665374756,-157.37647891044617,0.9929245710372925,-53.045208156108856,-27.064697742462158,-128.77205550670624,0.9938299655914307,48.77692312002182,-460.6410026550293,-156.53951704502106,0.9928615689277649,-33.200751319527626,-61.66043043136597,-136.1662620306015,0.9942911863327026,64.23350796103477,-384.7544574737549,-152.16327846050262,0.9877614378929138,-58.05264428257942,-66.69204711914062,-114.03239697217941,0.9922043085098267,48.35509076714516,7.112971097230911,13.599008917808533,0.9959268569946289,-47.169581204652786,-11.692131757736206,-13.73023733496666,0.9979533553123474,50.19625559449196,388.70598793029785,-24.65376690030098,0.24403436481952667,-33.48766587674618,259.5827007293701,-53.98040324449539,0.16076689958572388,46.86067923903465,659.5105934143066,76.4402773976326,0.030060572549700737,-60.20644873380661,598.4938430786133,18.32908384501934,0.01639452576637268,33.61436404287815,684.9362754821777,90.5580684542656,0.017376216128468513,-61.632620841264725,626.1716079711914,5.832254122942686,0.014296576380729675,13.76945961266756,724.8748397827148,80.82875490188599,0.023773087188601494,-61.78065061569214,646.9756507873535,-24.18627195060253,0.012016830034554005
2,-2.8345526196062565,-594.8698425292969,-181.63865268230438,0.9993852972984314,6.892620529979467,-611.0355949401855,-176.41983568668365,0.9981839060783386,8.340984731912613,-610.1129150390625,-170.04262626171112,0.9975970983505249,6.094284988939762,-610.9317398071289,-171.46053850650787,0.9976814985275269,-5.952211227267981,-619.0126419067383,-181.445694565773,0.9992357492446899,-4.429874885827303,-616.4039611816406,-189.26883459091187,0.9993900656700134,-2.5409928057342768,-606.4042282104492,-177.70299911499023,0.9995924830436707,49.10050615668297,-592.6424217224121,-122.6784896850586,0.9982702136039734,-31.2490077316761,-556.0378074645996,-115.16867727041245,0.999276876449585,20.47456607222557,-578.6156845092773,-154.23890590667725,0.9995629191398621,-1.609676443040371,-548.0170440673828,-168.94342482089996,0.9997444152832031,100.22520571947098,-409.17420387268066,-57.49226912856102,0.9997049570083618,-52.54164218902588,-491.8326759338379,-21.61601833999157,0.9999517798423767,100.79931646585464,-230.2067470550537,-102.82927125692368,0.9909090399742126,-65.47523126006126,-218.43885898590088,-52.060634940862656,0.9897642135620117,62.10172712802887,-360.8631706237793,-153.3537769317627,0.9954631328582764,-68.17334175109863,-101.23318433761597,-136.68145537376404,0.9972015619277954,43.684072047472,-403.20462226867676,-156.67003333568573,0.9926201701164246,-52.07127660512924,-75.6002140045166,-159.19849276542664,0.9939541816711426,45.60045272111893,-446.53063774108887,-155.27515053749084,0.9925726652145386,-32.46219366788864,-119.3443250656128,-165.34999430179596,0.9944189190864563,61.63190469145775,-369.3893337249756,-152.042498588562,0.9874850511550903,-57.860004007816315,-109.72103834152222,-143.02544832229614,0.9924193620681763,49.8971101641655,7.169324308633804,14.223715849220753,0.99589604139328,-48.54478195309639,-11.69103741645813,-14.281463474035263,0.9979897141456604,50.18255218863487,377.0916938781738,2.9254857916384935,0.2243763506412506,-33.536136746406555,255.89841842651367,-48.44554290175438,0.15829429030418396,45.93748167157173,656.7067909240723,115.25492906570435,0.027814818546175957,-63.876772820949554,600.8472061157227,22.12070882320404,0.01791401393711567,32.82410681247711,682.855224609375,131.0540145635605,0.016419943422079086,-65.6958818435669,629.7116088867188,9.977635480463505,0.015143013559281826,16.417365185916424,724.2854118347168,122.48054265975952,0.022008325904607773,-63.07800427079201,653.7591361999512,-22.72951863706112,0.012664726935327053
3,-2.8771826438605785,-596.2046813964844,-173.301220536232,0.9993298053741455,6.994803138077259,-613.1607627868652,-169.6542477607727,0.997969388961792,8.422257173806429,-612.5514793395996,-163.19892168045044,0.9973907470703125,6.261716187000275,-613.1811904907227,-164.99164581298828,0.9974771738052368,-5.97116706892848,-621.0439682006836,-173.6193197965622,0.9991222620010376,-4.471922032535076,-618.6669731140137,-180.29567062854767,0.9993224143981934,-2.565446002408862,-608.6380577087402,-169.37358140945435,0.999535858631134,49.21724259853363,-593.0085754394531,-117.54404962062836,0.9981254935264587,-31.138752847909927,-556.197624206543,-105.6238728761673,0.9990561008453369,21.053406223654747,-580.5753135681152,-147.25079655647278,0.9994677305221558,-0.8070080447942019,-549.1281509399414,-160.6897258758545,0.9996528625488281,102.31172025203705,-412.12045669555664,-51.43622875213623,0.9996992945671082,-52.41210758686066,-492.5065612792969,-10.53885754197836,0.9999432563781738,108.04286599159241,-221.27009868621826,-70.70785224437714,0.9883778095245361,-74.48773115873337,-218.46616744995117,-41.07291743159294,0.9823045134544373,56.18344098329544,-237.11966514587402,-91.98221683502197,0.9865077137947083,-78.19042682647705,-132.90515899658203,-133.39544624090195,0.9951134920120239,33.68669115006924,-248.6638641357422,-94.65112209320068,0.9821239709854126,-59.202068746089935,-119.47759866714478,-161.63436770439148,0.9918895959854126,29.155104383826256,-293.04393768310547,-97.69212752580643,0.9826149940490723,-40.663034319877625,-173.39332580566406,-168.78049671649933,0.992514431476593,52.74287223815918,-241.17384910583496,-92.67520844936371,0.9744275808334351,-66.965993642807,-147.63007164001465,-141.02285206317902,0.9898624420166016,50.65442651510239,7.211500257253647,14.36062216758728,0.9954964518547058,-49.497100263834,-11.777095198631287,-14.30739875882864,0.9977882504463196,49.85920652747154,365.9336757659912,-0.7131709204986691,0.20610886812210083,-37.95739218592644,252.2054386138916,-60.72966456413269,0.15130004286766052,42.631629556417465,654.2744636535645,70.15310168266296,0.02532469853758812,-64.39072296023369,595.1115417480469,5.482118725776672,0.016804449260234833,30.163926109671593,680.8980560302734,81.05719059705734,0.01519143395125866,-65.54459720849991,622.3780632019043,-8.432715777307749,0.014397579245269299,16.43447533249855,711.3874626159668,68.19396525621414,0.020054351538419724,-61.93035811185837,647.6055908203125,-32.921235635876656,0.01179333683103323
4,4.50554184615612,-593.1546020507812,-157.64774680137634,0.9992616772651672,13.21951288729906,-611.055908203125,-154.7362196445465,0.9976506233215332,13.712598122656345,-610.1866149902344,-148.46347153186798,0.9971403479576111,11.945920921862125,-611.4414596557617,-150.61494648456573,0.9971843957901001,-0.7280200906097889,-619.2741966247559,-157.14266002178192,0.9989593625068665,0.6630973261781037,-617.1950912475586,-163.31197679042816,0.9992527961730957,2.728553395718336,-606.7065811157227,-152.46517181396484,0.9994634389877319,50.939703583717346,-589.4791030883789,-102.65994608402252,0.9979785084724426,-28.425257205963135,-551.1230850219727,-90.92758566141129,0.9988030195236206,28.512730076909065,-578.7542152404785,-133.2044756412506,0.9993002414703369,7.970275115221739,-546.712589263916,-145.35785973072052,0.9994858503341675,107.05497354269028,-414.11736488342285,-39.51111540198326,0.9997081160545349,-52.24502742290497,-488.2422065734863,-4.600635375827551,0.9999303817749023,121.19815170764923,-219.92743492126465,-23.879769891500473,0.9870501756668091,-72.12730944156647,-206.49561882019043,-42.09742605686188,0.9798864722251892,64.28493797779083,-106.0590648651123,-15.12525089085102,0.9834195375442505,-57.84670293331146,-184.36574935913086,-144.26836252212524,0.9953154921531677,39.09891486167908,-79.52209711074829,-14.597731120884418,0.9803529381752014,-31.18320845067501,-191.66091442108154,-176.66100919246674,0.9924706220626831,29.335533902049065,-109.35019254684448,-16.370831541717052,0.9812628030776978,-21.22166119515896,-255.7777976989746,-179.5833671092987,0.9930416345596313,54.568458795547485,-96.98559522628784,-14.212678894400597,0.9736232161521912,-47.91052266955376,-206.40794277191162,-151.33520007133484,0.990580141544342,53.13925713300705,8.46208781003952,14.410324171185493,0.9954514503479004,-52.30943262577057,-12.741609513759613,-14.305174872279167,0.997639000415802,49.94561120867729,355.9087085723877,-3.267931379377842,0.18843509256839752,-39.29197758436203,250.49328804016113,-52.678290009498596,0.13968583941459656,42.6903860270977,641.1504936218262,54.94560018181801,0.02327026054263115,-63.48552569746971,591.9494819641113,27.631920129060745,0.01583264395594597,30.2291701734066,669.8772239685059,64.73336443305016,0.01458185724914074,-64.50957968831062,618.0997467041016,14.783279299736023,0.014100187458097935,16.353982910513878,694.4893455505371,42.527731508016586,0.018396738916635513,-61.0617770254612,647.0598793029785,-12.638299986720085,0.010974695906043053
5,5.498086251318455,-586.6172218322754,-158.78871023654938,0.9991852045059204,14.07873373478651,-606.1179542541504,-155.9274584054947,0.9974190592765808,14.277059957385063,-604.5041656494141,-149.69082355499268,0.9969896674156189,12.793179452419281,-606.4336395263672,-151.38961136341095,0.9969905614852905,-0.7104981201700866,-612.7504348754883,-157.3039948940277,0.998774528503418,1.045017025899142,-611.9595336914062,-164.54504191875458,0.9991632103919983,2.9439367074519396,-600.596866607666,-153.13125550746918,0.9993586540222168,51.31002947688103,-586.7199325561523,-105.04401683807373,0.997957706451416,-28.393867313861847,-542.3325347900391,-91.69238537549973,0.9985536336898804,29.386851266026497,-573.9138221740723,-135.1115745306015,0.9991675019264221,8.754581362009048,-540.7428359985352,-146.2805825471878,0.9992949366569519,107.91432112455368,-414.0680122375488,-41.69974163174629,0.999725341796875,-52.35331490635872,-479.0038776397705,-7.638097275048494,0.9999070763587952,119.13617938756943,-203.8700008392334,-35.28077021241188,0.9858917593955994,-62.77479127049446,-190.08267402648926,-81.36663168668747,0.9732235670089722,66.80479556322098,-22.261966466903687,-32.34955497086048,0.9819835424423218,-37.91773438453674,-251.0112476348877,-193.06624710559845,0.9954225420951843,42.14688867330551,22.010884881019592,-37.359431236982346,0.9800878763198853,-9.115459509193897,-272.45421409606934,-229.22608315944672,0.9929561018943787,30.405691042542458,9.441140592098236,-37.05914720892906,0.9812157154083252,-4.7325170785188675,-339.0150833129883,-223.50291967391968,0.9934592247009277,55.05101904273033,-2.4060550332069397,-33.1436363607645,0.9740346074104309,-31.222423687577248,-278.5678482055664,-198.3066612482071,0.9911158680915833,53.2337486743927,8.694590628147125,14.479957669973373,0.9954672455787659,-52.36952483654022,-12.876010537147522,-14.301140494644642,0.9974569082260132,49.85932722687721,349.38700675964355,3.9665460772812366,0.1726873368024826,-39.32630851864815,252.21854209899902,-47.0969121158123,0.13078714907169342,43.88461410999298,639.818229675293,94.28232103586197,0.022180693224072456,-63.050114661455154,591.4244270324707,40.26590511202812,0.01625598780810833,32.959511429071426,670.0241088867188,106.71758651733398,0.014927098527550697,-63.78679543733597,618.2476043701172,26.89752660691738,0.015056624077260494,23.13517726957798,697.0858955383301,88.2625749707222,0.017359932884573936,-61.638607531785965,645.6103134155273,-5.217283107340336,0.010856801643967628
6,5.195251442492008,-576.8595314025879,-162.02115297317505,0.9991937279701233,14.165163561701775,-596.8338203430176,-158.85673642158508,0.9974319934844971,14.305123575031757,-596.0310745239258,-152.58004546165466,0.997075080871582,12.922888062894344,-596.9382476806641,-154.23100411891937,0.9970380067825317,-0.9404564509168267,-603.3003616333008,-160.69246172904968,0.9987383484840393,0.8065676805563271,-603.3855628967285,-168.19038927555084,0.999160647392273,2.7107122633606195,-591.976432800293,-156.72166049480438,0.9993270635604858,52.35452190041542,-580.9309387207031,-105.73052287101746,0.9980541467666626,-28.116357252001762,-534.9198532104492,-94.8411512374878,0.9984718561172485,29.658276066184044,-565.8305168151855,-137.74629771709442,0.9991282820701599,8.43813769519329,-532.7531433105469,-149.62823688983917,0.9992062449455261,108.42673033475876,-413.72806549072266,-44.04505178332329,0.9997423887252808,-51.093675792217255,-473.80906105041504,-9.384305365383625,0.9998874664306641,117.85246074199677,-195.1508331298828,-47.29784846305847,0.983989417552948,-60.622093230485916,-186.23767375946045,-104.75798338651657,0.9618821740150452,70.03470361232758,-18.614206910133362,-54.76651445031166,0.9781439304351807,-27.206342071294785,-286.7501735687256,-224.69177663326263,0.9952952265739441,48.07337433099747,23.975438475608826,-58.73920261859894,0.977672815322876,0.17086178006138653,-316.91067695617676,-260.97263395786285,0.9931801557540894,31.07314869761467,5.578891932964325,-60.698934495449066,0.979281485080719,9.379760026931763,-386.4872932434082,-256.1534124612808,0.9936105012893677,56.33432328701019,-0.2777804061770439,-55.72795361280441,0.9717596769332886,-19.463101029396057,-314.5418071746826,-229.6157169342041,0.9912536144256592,53.19774404168129,8.615113198757172,14.49447076767683,0.995581328868866,-52.344990670681,-12.874295711517334,-14.207924343645573,0.997378408908844,47.67269253730774,347.23840713500977,-1.8381223222240806,0.16098417341709137,-39.3391589820385,254.75332260131836,-39.28220897912979,0.12449579685926437,43.953911662101746,634.8190498352051,87.6940405368805,0.02163763716816902,-62.41837799549103,593.5491943359375,47.55783900618553,0.01698174886405468,33.39881904423237,666.0481452941895,100.31198054552078,0.01563331112265587,-62.308054715394974,621.0403060913086,33.30611988902092,0.01616641692817211,22.95097589492798,697.0963096618652,83.60573440790176,0.017094096168875694,-61.41824662685394,645.7729911804199,-1.1961228121072054,0.011125043965876102
7,8.036456108093262,-577.3986053466797,-163.03591310977936,0.9991406202316284,17.06289477646351,-597.2043228149414,-160.15311241149902,0.9972469806671143,16.893654093146324,-596.3697624206543,-153.83250296115875,0.997001051902771,15.528116337954998,-597.3103523254395,-155.48985064029694,0.9969220757484436,1.0402020625770092,-603.9017486572266,-162.07025349140167,0.998589813709259,3.035066518932581,-603.7821006774902,-169.71316516399384,0.9990978837013245,4.690434727817774,-592.4018669128418,-158.1396049261093,0.9992184042930603,52.95237824320793,-580.7132148742676,-107.61781096458435,0.9980963468551636,-27.968409955501556,-535.6468963623047,-96.64492338895798,0.9982560276985168,32.04043373465538,-565.810432434082,-139.02167201042175,0.9990138411521912,10.54175030440092,-533.1199264526367,-150.8186548948288,0.9990265369415283,109.12858128547668,-416.6827583312988,-44.74716827273369,0.9997594952583313,-51.164341270923615,-472.7328300476074,-12.40161046385765,0.9998568892478943,120.25898158550262,-198.19949626922607,-46.1084121465683,0.9828996658325195,-54.88491252064705,-187.75447368621826,-111.11749827861786,0.9491166472434998,69.74222481250763,-68.22925329208374,-52.85960868000984,0.9780533313751221,-22.878365144133568,-306.43238067626953,-226.45356953144073,0.9952235817909241,46.506647765636444,-36.21520757675171,-56.011927127838135,0.9786689877510071,5.667834375053644,-337.60748863220215,-261.71878159046173,0.993563175201416,26.698622032999992,-65.70641040802002,-55.34672051668167,0.9803348183631897,10.30357114970684,-407.25010871887207,-255.71855664253235,0.9939373135566711,56.67789414525032,-57.47739315032959,-52.43699982762337,0.9733787178993225,-16.8859776109457,-335.7164669036865,-230.78341126441956,0.9917207360267639,53.75405162572861,8.44688594341278,15.304931066930294,0.9955957531929016,-52.838007509708405,-12.751109898090363,-14.802751131355762,0.9971575736999512,46.87993884086609,340.3504943847656,-2.652411935850978,0.14611241221427917,-38.94783541560173,254.57136154174805,-46.08651325106621,0.11422072350978851,44.42690849304199,624.7371482849121,88.08134078979492,0.020032217726111412,-61.48512616753578,593.2646942138672,41.82952970266342,0.01633964665234089,34.46040853857994,655.9309387207031,100.65578073263168,0.015258772298693657,-60.897750556468964,620.503978729248,28.738226741552353,0.016281940042972565,24.0550334751606,687.0058822631836,83.85272562503815,0.015858935192227364,-58.93672317266464,639.8115921020508,-0.9176338906399906,0.010560289956629276
8,7.466573361307383,-577.8013801574707,-163.4055107831955,0.9990196824073792,16.60076390951872,-597.7780151367188,-160.7378125190735,0.9968443512916565,16.52868825942278,-597.2321319580078,-154.3383139371872,0.9967100024223328,15.140900574624538,-598.0363082885742,-156.02453291416168,0.9966309666633606,0.7707464229315519,-604.9080276489258,-163.06663513183594,0.9983113408088684,2.7284384798258543,-604.9334907531738,-170.70874214172363,0.99894118309021,4.420353714376688,-593.6379432678223,-159.16303932666779,0.9990285634994507,51.98414370417595,-580.9299659729004,-108.69424045085907,0.9980244040489197,-29.280315935611725,-536.1678886413574,-97.8894630074501,0.9977830052375793,31.316792517900467,-566.2137222290039,-139.51063334941864,0.9987574815750122,9.800779670476913,-533.3802223205566,-151.51816427707672,0.9986652135848999,107.44945138692856,-421.9824028015137,-44.86779123544693,0.9997678399085999,-51.36780023574829,-473.33112716674805,-12.569752782583237,0.9997895359992981,119.14577096700668,-204.86177444458008,-42.33621373772621,0.9796168804168701,-54.02467980980873,-192.9645538330078,-100.40798485279083,0.9215519428253174,67.59422600269318,-114.60979700088501,-43.24846789240837,0.9733428955078125,-25.760485902428627,-316.1375141143799,-202.24807620048523,0.9923364520072937,42.67935007810593,-95.18619775772095,-44.6291846036911,0.9760929346084595,2.1832634042948484,-347.68152236938477,-234.58999693393707,0.9920167326927185,23.991815149784088,-130.13789176940918,-44.415888637304306,0.9782724380493164,6.548991836607456,-419.6081829071045,-231.80819749832153,0.9922806620597839,55.409532487392426,-108.60990285873413,-42.91635945439339,0.9713038206100464,-19.87781412899494,-347.18976974487305,-207.15066075325012,0.989803671836853,53.796469420194626,7.864628434181213,16.04927323758602,0.9955432415008545,-52.85976558923721,-12.32278972864151,-15.399042405188084,0.9969052076339722,47.4421526491642,342.85826683044434,7.310087587684393,0.13256508111953735,-38.36348131299019,253.89910697937012,-48.39581876993179,0.10492369532585144,44.96924713253975,626.876106262207,95.32239586114883,0.01847895421087742,-61.34979397058487,592.1056938171387,35.436991453170776,0.015556699596345425,35.024364441633224,657.4409294128418,107.26569056510925,0.014608834870159626,-60.640841871500015,619.1810989379883,22.463881373405457,0.015902342274785042,25.14500141143799,689.5609474182129,91.5038850903511,0.014649154618382454,-57.975911647081375,638.9176940917969,-5.1841566525399685,0.00996553897857666
9,4.549038894474506,-578.2357978820801,-163.83568346500397,0.9987651705741882,13.102825731039047,-598.6185836791992,-161.41393840312958,0.9962210059165955,13.291515111923218,-597.8184700012207,-155.0396579504013,0.9961071610450745,11.809850446879864,-598.9759826660156,-156.6343867778778,0.9961174726486206,-2.493424918502569,-605.3234481811523,-163.84784996509552,0.9979054927825928,-0.05177321640076116,-605.3936004638672,-171.46403074264526,0.9986770749092102,1.3036684971302748,-594.2465972900391,-159.87273573875427,0.9988086819648743,48.542862832546234,-581.2407875061035,-109.46643501520157,0.9977381229400635,-32.175991237163544,-537.0403289794922,-98.67960155010223,0.997044563293457,27.85789556801319,-566.3257598876953,-139.66108918190002,0.9984479546546936,6.89701147377491,-533.6623764038086,-151.74007415771484,0.9982950091362,105.0404280424118,-421.70308113098145,-42.92384281754494,0.9997622966766357,-53.49429041147232,-474.17633056640625,-12.413432970643044,0.9997508525848389,115.25286912918091,-205.16472816467285,-42.47494965791702,0.9761497378349304,-54.20894354581833,-194.57342147827148,-84.40785437822342,0.9106748700141907,65.45150980353355,-127.33031272888184,-49.79128897190094,0.9699665904045105,-28.921482637524605,-293.12267303466797,-200.98461091518402,0.9907065629959106,39.430154263973236,-134.36482429504395,-54.322915971279144,0.9737613201141357,-3.954391647130251,-321.80834770202637,-224.46222245693207,0.9911316633224487,24.752293825149536,-177.60542392730713,-52.54424527287483,0.9761806130409241,4.369791224598885,-392.3789978027344,-230.11653900146484,0.9913404583930969,55.711184442043304,-132.26009845733643,-50.34369394183159,0.9685987234115601,-20.298835784196854,-324.97572898864746,-206.15326523780823,0.9884180426597595,53.70549023151398,7.789072394371033,16.142914853990078,0.9950460195541382,-52.774756997823715,-12.144170701503754,-15.501226522028446,0.9964531064033508,47.94367074966431,338.99362564086914,5.476815495640039,0.12110305577516556,-38.62117454409599,251.38784408569336,-52.13074117898941,0.0975826159119606,43.11438292264938,627.8007888793945,86.58148169517517,0.01709570735692978,-63.29456314444542,590.5414009094238,35.586972534656525,0.014846953563392162,32.7388346940279,657.9580879211426,97.78748005628586,0.014028112404048443,-63.10440927743912,617.5783538818359,23.278189972043037,0.015487438067793846,25.87980128824711,689.5949363708496,83.21963310241699,0.013527924194931984,-60.659421533346176,634.4134140014648,-3.3339655213057995,0.009399092756211758
